rep,fold,arm,P1,S2,S4,E30,E45,E60,E75,E90
0,0,gb_ridge_both,0.12831153289631841,0.5300546448087432,0.1366120218579235,0.15924543749492978,0.14429084431987846,0.12090499919497828,0.1086629305292723,0.09913541619387271
0,0,gb_oracle_both,0.01902079703912793,1.0,0.0,0.021370625326922223,0.021623016764060386,0.018370148694759236,0.011203861682906338,0.020589165139656126
0,0,gb_oracle_g_ridge_b,0.10761865526011564,0.6120218579234973,0.06557377049180328,0.07876146689681869,0.10170217271894079,0.1183924822083929,0.11923586468154984,0.11431534629380392
0,0,gb_ridge_g_oracle_b,0.1440576878941202,0.5409836065573771,0.20765027322404372,0.1932994978118491,0.16915130987414753,0.12902670845461325,0.10639777646949077,0.10014823590384099
0,0,collapse_ridge_g,0.12464040118394767,0.4918032786885246,0.15846994535519127,0.17098201605346233,0.14014418836455345,0.10818930905384345,0.09568517262997463,0.09002709655683998
0,0,_r2_b_ridge,-0.05085638433949535,0.1518553134862599,-0.27050272500253836,,,,,
0,0,_r2_g_in_gb_ridge,0.1685372616781412,0.9741720604786186,0.11019736842105263,,,,,
0,1,gb_ridge_both,0.14176447001873774,0.5921052631578947,0.07236842105263158,0.20015183091707364,0.15920343281919264,0.1241410979284193,0.10485075466532792,0.09346085482011521
0,1,gb_oracle_both,0.03623149047855687,1.0,0.0,0.049805791983759354,0.037524000339349356,0.03312217605723503,0.029204859271038584,0.026981098142463772
0,1,gb_oracle_g_ridge_b,0.10541098834500333,0.6644736842105263,0.02631578947368421,0.08043892219803057,0.09759835071461732,0.11292465735957667,0.11636188517387554,0.11512329898646835
0,1,gb_ridge_g_oracle_b,0.17687581839944727,0.5328947368421053,0.16447368421052633,0.24465699199903845,0.20120890052841084,0.15783673653728025,0.13061317941494677,0.11918548241738434
0,1,collapse_ridge_g,0.13248540680882295,0.5855263157894737,0.07894736842105263,0.18108671968285475,0.14760472498852664,0.12083023735436,0.10313749449058919,0.08939164469725563
0,1,_r2_b_ridge,-0.11132281144902834,0.16038922272608086,-0.32913443218114047,,,,,
0,1,_r2_g_in_gb_ridge,0.19624201345482262,1.0280137941015892,0.1267605633802817,,,,,
0,2,gb_ridge_both,0.14594205771136198,0.625,0.08552631578947369,0.1814450331728689,0.16857492786801817,0.13774929364086377,0.11978161600100892,0.10870979877256728
0,2,gb_oracle_both,0.02774740930269686,1.0,0.0,0.0359792461950871,0.03206195005465029,0.02234019706225685,0.02307556028694618,0.022220961386069705
0,2,gb_oracle_g_ridge_b,0.09258877706192098,0.7894736842105263,0.03289473684210526,0.06877435432682762,0.08604350145306655,0.09421334151773376,0.10427204911605861,0.10480073861281596
0,2,gb_ridge_g_oracle_b,0.16694255009466033,0.6052631578947368,0.09210526315789473,0.2072385739030713,0.19559030791653603,0.15981705100261512,0.1326567585580149,0.12243797117221493
0,2,collapse_ridge_g,0.13681690384613224,0.6644736842105263,0.05921052631578947,0.17765429113403405,0.15922953183778962,0.12379380911480113,0.1072515754334797,0.0991418107732774
0,2,_r2_b_ridge,0.1278349074291869,0.1603142807911838,-0.38744204909666125,,,,,
0,2,_r2_g_in_gb_ridge,0.30672232483663286,1.0346189266502082,0.13302034428794993,,,,,
0,3,gb_ridge_both,0.1421885091068443,0.5328947368421053,0.07236842105263158,0.1870611699762596,0.16477821960166475,0.135623067173235,0.10766283222056988,0.09452627377012125
0,3,gb_oracle_both,0.038295718137163495,0.9868421052631579,0.0,0.04662176239905524,0.037162763131304496,0.03958365439877112,0.032632562328367185,0.033878022535060275
0,3,gb_oracle_g_ridge_b,0.09883382168930409,0.7236842105263158,0.05263157894736842,0.07381065654597344,0.08533597985671491,0.10614601996330264,0.11192153091208545,0.11107067204340075
0,3,gb_ridge_g_oracle_b,0.16933327796590078,0.4934210526315789,0.13815789473684212,0.22296617013179684,0.20083294105171523,0.16091841417593553,0.1232855527681813,0.11041006414374883
0,3,collapse_ridge_g,0.13394783103077576,0.5460526315789473,0.10526315789473684,0.17327534428222224,0.15139184223489294,0.12921564852950934,0.10696631463027399,0.09279768340934727
0,3,_r2_b_ridge,-0.017237926948984406,0.15807768688449192,-0.3602686846735715,,,,,
0,3,_r2_g_in_gb_ridge,0.20567882893139,1.0381606488749329,0.1298904538341158,,,,,
0,4,gb_ridge_both,0.14560549944141865,0.6381578947368421,0.07894736842105263,0.16936395002009833,0.16206932347170644,0.1418416371846837,0.1292711057912877,0.11897177171800176
0,4,gb_oracle_both,0.027277200031656977,0.9802631578947368,0.0,0.0369340988998244,0.030396385661473558,0.022441707766979995,0.017284652420865416,0.024989430648819227
0,4,gb_oracle_g_ridge_b,0.09880454463735948,0.743421052631579,0.03289473684210526,0.06808474695143442,0.0942745953669822,0.10441426671818221,0.10963901483563208,0.11143925252920062
0,4,gb_ridge_g_oracle_b,0.15824529171831875,0.5657894736842105,0.07894736842105263,0.19554624776414917,0.18183908888224906,0.15113228713392357,0.1294252695808504,0.1191281586581974
0,4,collapse_ridge_g,0.14180620212205278,0.5986842105263158,0.06578947368421052,0.176920871059123,0.15596530845525935,0.13244863528166537,0.1201648028481861,0.11324827341164236
0,4,_r2_b_ridge,0.05340542868973819,0.15525419781583702,-0.36273668286817956,,,,,
0,4,_r2_g_in_gb_ridge,0.31190844205508994,0.9783287973272441,0.10954616588419405,,,,,
1,0,gb_ridge_both,0.12831153289631841,0.5300546448087432,0.1366120218579235,0.15924543749492978,0.14429084431987846,0.12090499919497828,0.1086629305292723,0.09913541619387271
1,0,gb_oracle_both,0.01902079703912793,1.0,0.0,0.021370625326922223,0.021623016764060386,0.018370148694759236,0.011203861682906338,0.020589165139656126
1,0,gb_oracle_g_ridge_b,0.10761865526011564,0.6120218579234973,0.06557377049180328,0.07876146689681869,0.10170217271894079,0.1183924822083929,0.11923586468154984,0.11431534629380392
1,0,gb_ridge_g_oracle_b,0.1440576878941202,0.5409836065573771,0.20765027322404372,0.1932994978118491,0.16915130987414753,0.12902670845461325,0.10639777646949077,0.10014823590384099
1,0,collapse_ridge_g,0.12464040118394767,0.4918032786885246,0.15846994535519127,0.17098201605346233,0.14014418836455345,0.10818930905384345,0.09568517262997463,0.09002709655683998
1,1,gb_ridge_both,0.1467801218293415,0.5657894736842105,0.09210526315789473,0.1941906622499274,0.16743352359326197,0.1328998419492431,0.11648769202478737,0.10373387206497671
1,1,gb_oracle_both,0.03534917376909068,1.0,0.0,0.05098862238328361,0.03516402432511044,0.029596990763478687,0.026207055692383664,0.029083548670711074
