group_key,a,b,m,k,rmse,mu_lo,mu_hi,rng,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source,g_hat
VMXUWOKSQNHOCA,1.0499999999999996,0.296624920589695,3.032803198481682,2.4005372781165195,0.011955918431779771,0.8177258868168925,0.3079095889250747,0.5098162978918178,c1ccoc1,315.1485,43.0,10.0,1.0,1.0,5.5,83.58,0.3809523809523809,4.0,3.0,1.0,0.0,LCSB,0.5789776728521298
VOVIALXJUBGFJZ,1.0499999999975909,0.28815404036717873,2.8074681605785154,1.656160629900471,0.003017743017691415,0.7010330202665968,0.326786176950904,0.37424684331569275,O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2C3OCO[C@@H]3C[C@H]21,431.2428,65.0,4.0,5.0,0.0,9.0,93.06000000000002,0.1935483870967742,0.0,6.0,0.0,0.0,LCSB,0.5153385797591625
VTNQPKFIQCLBDU,0.7295254160694213,0.4415478157370249,3.80059021668206,2.401058321167707,0.005443674614949697,0.7110584203083258,0.4922454336878992,0.21881298662042659,c1ccccc1,270.1255,38.0,6.0,1.0,1.0,5.0,29.54,0.2222222222222222,1.0,2.0,0.0,1.0,LCSB,0.897603775416239
VUNOFAIHSALQQH,1.0013450487107696,0.3228189567246718,3.9474900679717946,5.310213623878791,0.004365061836949176,0.9951624692258656,0.3544838041880691,0.6406786650377965,C1CCCCC1,212.2009,40.0,3.0,1.0,0.0,2.0,29.1,0.1333333333333333,1.0,1.0,0.0,0.0,LCSB,1.5282434641106173
VVBLNCFGVYUYGU,1.0499999999999998,0.3385774058005847,3.5522218122051714,2.3723547075457314,0.016235604162879613,0.9667091731284548,0.3899216501923636,0.5767875229360913,O=C(c1ccccc1)c1ccccc1,269.1648,40.0,4.0,2.0,2.0,9.0,23.550000000000004,0.15,2.0,1.0,0.0,0.0,LCSB,1.157070114113158
VYBKAZXQKUFAHG,0.7725058079958624,0.5756673908758738,4.218069281018166,3.2855100059938933,0.004323253280078,0.7674848488878564,0.6302842869675159,0.13720056192034047,c1ccccc1,151.0866,21.0,1.0,1.0,1.0,5.0,69.11,0.2727272727272727,2.0,1.0,0.0,0.0,LCSB,1.7938481779752855
VYUUPUMKBLIKJV,1.0499999999999998,0.2910642027149766,2.9958848113605594,2.522963492692291,0.009927939102582922,0.8060423253988547,0.2925041040997042,0.5135382212991505,O=C(NCc1ccccc1)c1ccccc1NS(=O)(=O)c1cccc2cccnc12,464.1439,55.0,7.0,4.0,4.0,18.5,88.16000000000001,0.2424242424242424,3.0,3.0,1.0,1.0,LCSB,0.5568950468182592
VZRKEAFHFMSHCD,0.7361187820078642,0.34723668411433295,3.6667451175391275,4.013905916121851,0.009214973133401177,0.7260496001693783,0.3472416722075719,0.37880792796180635,__ACYCLIC__VZRKEAFHFMSHCD,216.1594,36.0,7.0,0.0,0.0,2.0,46.61,0.2666666666666666,1.0,3.0,0.0,0.0,LCSB,0.7054847719242864
WCCIEZDFRJREQJ,0.9773522565926563,0.6440465904696145,4.325371041400382,3.014529029038411,0.0037129414802436213,0.9716975170183946,0.7664674922998068,0.20523002471858776,c1ccccc1,179.0637,22.0,2.0,1.0,1.0,6.0,27.03,0.25,2.0,0.0,1.0,0.0,LCSB,3.398244361493818
WDQFELCEOPFLCZ,0.8511237224945045,0.5481123485702761,4.156630577516235,4.958096380805929,0.002360729966873633,0.8480490104557248,0.5935427684571989,0.2545062419985259,O=C1CCCN1,130.0863,20.0,2.0,1.0,0.0,2.0,40.54,0.3333333333333333,1.0,2.0,0.0,0.0,LCSB,2.027130432375206
WECDUOXQLAIPQW,0.9922566152930523,0.5739425677234021,3.751141741706123,6.243109930893139,0.002598939212592139,0.9905506362136196,0.5735561058731473,0.4169945303404723,c1ccc(Cc2ccccc2)cc1,227.1543,35.0,2.0,2.0,2.0,8.0,52.04,0.1176470588235294,2.0,0.0,0.0,0.0,LCSB,1.91381353598796
WFDXOXNFNRHQEC,0.9289793634111124,0.29042889797695487,3.9017398905104024,3.70916060191088,0.002029704688767727,0.9205196394669488,0.3508028403182937,0.5697167991486551,c1ccc(Oc2cc(Oc3ccccc3)ncn2)cc1,404.1241,47.0,7.0,3.0,3.0,16.0,103.56,0.2666666666666666,3.0,5.0,0.0,0.0,LCSB,1.1717088369454198
