cluster,complexity,expr,seed,test_r2_unweighted,test_r2_weighted,test_spearman,valid_r2
13,18,((aromatic_ring_count + 3.1572225) - heteroatom_fraction) / ((total_atom_count * 1.9991425) + (rotatable_bonds * (precursor_mz - 0.4311714))),1211763617,0.498593915844895,0.4966879115422457,0.6763538287328495,0.3560083725731392
0,10,sqrt((inv(heteroatom_fraction) + aromatic_ring_count) + 0.08461567) / total_atom_count,1211763618,0.4050768158920265,0.44700863604905505,0.6462542297487797,0.3667398681627726
14,14,(sqrt(((tpsa / square(heteroatom_fraction)) + aromatic_ring_count) + 0.8947356) / total_atom_count) + -0.3347111,1211763618,0.4102628074138036,0.42243090881776046,0.6314910324746943,0.36869660417561556
15,16,(sqrt((tpsa / square(heteroatom_fraction)) + ((ring_count * aromatic_ring_count) + 0.941515)) / total_atom_count) + -0.336608,1211763618,0.36860998901602915,0.4247278931905649,0.6278901014322233,0.3654143772215567
16,18,(sqrt((((ring_count + 0.09871659) * aromatic_ring_count) + 1.1520171) + (tpsa / square(heteroatom_fraction))) / total_atom_count) + -0.44500336,1211763618,0.37930107269585334,0.4252504598458212,0.6280178911270132,0.3623320092081589
15,20,((sqrt((((ring_count + 0.2414026) * aromatic_ring_count) + 1.264208) + (tpsa / square(heteroatom_fraction))) / total_atom_count) + -0.41154984) * 0.94009805,1211763618,0.36820248797450694,0.4196847133782079,0.6252065178416366,0.3592287457659631
17,17,(sqrt(inv((rotatable_bonds + 0.74615437) + cube(heteroatom_fraction))) + ((aromatic_ring_count + 0.79868495) * 0.4872855)) / total_atom_count,1211763619,0.4320133008282522,0.4830159581293578,0.644416537475797,0.3967200571807814
0,10,sqrt(inv(heteroatom_fraction) + aromatic_ring_count) / (total_atom_count - 0.015917594),1211763620,0.4146247874143256,0.4483280673780342,0.6462481445067039,0.3645561136692447
18,15,sqrt(aromatic_ring_count + inv(heteroatom_fraction + 0.10950846)) / (total_atom_count - (square(ring_count) * 0.045366354)),1211763620,0.38964710138103176,0.45473342725349497,0.6390174187642439,0.3687806096750482
-1,13,(0.53713715 / precursor_mz) - (aromatic_ring_count * (sqrt(rotatable_bonds) - 1.5624166)),1211763621,0.4428563753800068,0.5118043162550788,0.686538963921758,0.46534064315139434
-1,15,(0.5631032 / precursor_mz) + (-0.088473395 - (aromatic_ring_count * (sqrt(rotatable_bonds) - 1.5989498))),1211763621,0.4504896733679724,0.5115764150181505,0.6857950459072134,0.45912959251175334
19,8,(1.9421024 - (heteroatom_fraction * 0.524925)) / total_atom_count,1211763622,0.4125026889497919,0.4482151998656865,0.6639217074798347,0.3802262106919252
