rep,fold,arm,P1,S2,S4,E30,E45,E60,E75,E90
0,0,B0,0.15461922220279414,0.0,0.0,0.17616682373263307,0.16380103242496624,0.15151478516442785,0.1425913439391356,0.135918047543582
0,0,direct_ridge_per_energy,0.1202118524243713,0.5409836065573771,0.11475409836065574,0.15044129386470342,0.13969474590964986,0.11270438983585347,0.09846665611611646,0.08840649868969101
0,0,direct_hgb_per_energy,0.13019620652737304,0.4644808743169399,0.16393442622950818,0.16783924135636255,0.15142603756803152,0.11844429465599868,0.10428743903371814,0.09429260168450326
0,0,collapse_ridge_g,0.12464040118394767,0.4918032786885246,0.15846994535519127,0.17098201605346233,0.14014418836455345,0.10818930905384345,0.09568517262997463,0.09002709655683998
0,0,collapse_hgb_g,0.13493212746257358,0.453551912568306,0.16939890710382513,0.17367868110334672,0.15194458625220555,0.12204850537422127,0.11103581655658194,0.10345370628475717
0,0,collapse_gp_ridge_both,0.12616025485860868,0.5191256830601093,0.14207650273224043,0.15375749410744816,0.13873553540308436,0.11825813914639327,0.1094086886916995,0.10408575637275057
0,0,collapse_gp_ridge_g_oracle_p,0.13024708636291882,0.5792349726775956,0.16393442622950818,0.1649478449294219,0.15266921743250694,0.12189516645349212,0.10308105059319829,0.09464419680561806
0,0,collapse_gp_oracle_g_ridge_p,0.07442524129795364,0.7158469945355191,0.02185792349726776,0.05955187622821894,0.06820589349329702,0.07867922032096722,0.08173025734361407,0.08125436217530134
0,0,collapse_gp_oracle_both,0.021498799691051392,1.0,0.0,0.026110889938049518,0.024728505607170815,0.019125150146385633,0.014803467266045346,0.020881067694055233
0,0,collapse_oracle_g_only,0.05220598791978447,0.8142076502732241,0.0,0.07188483445913771,0.03777965196106391,0.0381014228958403,0.0495585056012089,0.05609052445163361
0,0,_r2_logp_ridge,-0.3602910799510577,0.49664364827440594,0.3647250327565314,,,,,
0,0,mass_decile_per_energy_mean,0.12801547980989353,0.4918032786885246,0.14754098360655737,0.16650545661085467,0.14911057910252268,0.11870186104129092,0.10045924476021388,0.08914107807696958
0,1,B0,0.17795771811281658,0.0,0.0,0.21906823599591205,0.20315001206060007,0.17333793497530164,0.14814246722214353,0.1309812451927913
0,1,direct_ridge_per_energy,0.13653765813647661,0.5986842105263158,0.07894736842105263,0.17627635975136158,0.15709726828926485,0.1275337387857659,0.10899571614618696,0.0967451167328508
0,1,direct_hgb_per_energy,0.12714553805085604,0.6052631578947368,0.05921052631578947,0.16674979933685113,0.14365859045894658,0.11906134746924148,0.10131220724661308,0.08936425556019824
