group_key,s0,da,db,dk,dall
AEKQMJRJRAHOAP,0.0067079307616991915,0.002776224108105068,0.000789609521897953,0.004629705035659141,0.006141669191480764
AEOCXXJPGCBFJA,0.006208712352328904,0.0017476834910491275,0.0060828087950971724,0.0053594995771794746,0.006085340351291486
AFAIELJLZYUNPW,0.010604807165217464,1.1957992415535107e-05,0.007560998490688743,0.004368315215118377,0.010516882025796806
AFYCEAFSNDLKSX,0.009312650459448627,0.0026804767273260616,0.009030943349438306,0.008602627138573331,0.009187793894463874
AKNQMEBLVAMSNZ,0.04873645766053823,0.006397140097265809,0.048357712262023254,0.03849351395927143,0.048375993223406535
ALZOLUNSQWINIR,0.03948885457684563,0.017578089105740102,0.028168211243346043,0.029112788320042764,0.032704652231605305
AMFGTOFWMRQMEM,0.016836746150925924,0.00817049790659705,0.006108744586638447,0.013092204990929491,0.013737137104770468
AMRQXHFXNZFDCH,0.21741854841381347,0.20936417981864164,0.20936976883123715,0.2033901080631602,0.21234654729683583
AQHHHDLHHXJYJD,0.0017295992846505404,0.00010007259934662104,0.0005894022062115252,2.8196267900591548e-05,0.0017072442844129746
AQSQFWLMFCKKMG,0.062376867500402194,0.058413367316975745,0.015514068411473542,0.042515816607598234,0.062111508676186235
ASOKPJOREAFHNY,0.009612496494032638,0.006579026218348001,0.0072540675711282795,0.007857452707167362,0.009536991585365672
AUMLVMKWJGCERZ,0.0043031612442300205,0.0015013410057949728,0.00031830485558064035,0.0007028198208524389,0.004237829855123227
AWYOMXWDGWUJHS,0.01375935319948,0.008555438201654714,0.005238757001776255,0.011872286111418814,0.01324550003278123
BACYUWVYYTXETD,0.009531611097417724,6.423708044604043e-07,0.0069953605106309515,5.6945131511380864e-05,0.009507445578121143
BBXXLROWFHWFQY,0.0039003626053421784,0.002218421597803704,0.0013888610243448611,0.0030226944117799455,0.0038107219011614974
BCGWQEUPMDMJNV,0.014652658597163632,0.0001669665682785624,0.014595113836118237,0.0023327143347535648,0.01464149605500638
BDNFQGRSKSQXRI,0.003729154726581938,0.003262179668951014,0.0017328351375139658,0.0036069636544076513,0.003632805375052218
BEOZJBLIRPRMJM,0.0034760495627719325,9.28629422970069e-05,0.003049848241660416,0.002471978881854317,0.003266547474573168
BEZZFPOZAYTVHN,0.041090403282870724,0.010216474831211887,0.03856460446240745,0.036154275938394695,0.04012578724779385
BGRWYRAHAFMIBJ,0.10063276609030583,0.09840151075152277,0.0798339429318192,0.09491192358116463,0.10051951859068306
BHAAPTBBJKJZER,0.020970442101632472,0.018365651876589423,0.014048494564881768,0.018280964042396108,0.02092756132226835
BMLIZLVNXIYGCK,0.041354134642575424,0.03803957449397733,0.020567201322497175,0.03494932006703724,0.04130776642628138
BOFHKBLZOYVHSI,0.00017860461987479718,5.0356520694303663e-05,6.852515103891998e-05,2.60679701541281e-06,0.0001569363404800638
BQGRVFPPZJPWPB,0.0022984914170224367,0.0011858963418396931,0.001436200986463168,0.001768536016376394,0.0020834803195653555
BQYJATMQXGBDHF,0.030658827601434416,0.0038492774475415922,0.010674671491742088,0.01867070194918302,0.021715705679739388
BWHOZHOGCMHOBV,0.05109109690560734,0.04734176081448491,0.03605610052982635,0.04833273290238767,0.05096144136809741
BXNANOICGRISHX,0.02919506582522743,0.02225700530666362,0.010641916487899788,0.026794474028360472,0.027880821058829754
BZKPWHYZMXOIDC,0.024003144714576062,0.017127580085890545,0.0004534492327374351,0.003652144427033356,0.023163362535615222
CABMTIJINOIHOD,0.011508622677540232,1.7854310977172272e-06,0.009904860710195524,0.005031773954229154,0.011233869805550046
CAWXEEYDBZRFPE,0.03573515967913807,0.026483178105898193,0.0008904215620496522,0.012410321336398883,0.03499458134780514
CBVCZFGXHXORBI,0.13533878944854505,0.003847691186788904,0.13444265552572546,0.023313220861653508,0.13533158606406492
CEQFOVLGLXCDCX,0.035574444833838516,0.011398350276851862,0.03445286304282537,0.03266262003926726,0.03501075596584059
CGSLYBDCEGBZCG,0.10557310039551193,0.08097664829304077,0.003550380411323023,0.049430976863910764,0.10508434036412245
CIEXPHRYOLIQQD,0.017418436480803146,0.004342011334298575,0.00816443084970988,0.00031560194946326364,0.01741501555507486
CIFWZNRJIBNXRE,0.003852943753272273,0.0011762005468517302,0.0005123307912169727,3.4822844872666077e-06,0.003745847855358457
CJCSPKMFHVPWAR,0.06659392880199014,0.06425702672953634,0.031458086269163466,0.060138231173046584,0.06656449598140923
CJPQIRJHIZUAQP,0.0069132073653259,0.0045289219292560055,2.1786625919665258e-05,0.003751048543024988,0.006712725020023399
CLKZWXHKFXZIMA,0.004420085190941598,9.029533704704457e-05,0.0032093096239684763,0.0023719669232079655,0.003337273718761399
CMEWLCATCRTSGF,0.0025180133580405472,0.0005217568847592528,0.002440915113838326,0.002104759957066359,0.0024549492218292803
CNIGFESSDPOCKS,0.01570681123975679,0.0004302509296387723,0.008192055998633069,8.35416081972698e-05,0.0156474694773626
CNKHSLKYRMDDNQ,0.25331305459823916,0.12725891609544274,0.12700879229829667,0.07016128408895794,0.24830305565709648
CNWSQCLBDWYLAN,0.10760094910033702,0.10461720828267397,0.06188773383295993,0.09251804157467727,0.1075202263496647
COYBRKAVBMYYSF,0.07479051669706469,0.0489169412456817,0.06558571340382359,0.07346833276725737,0.07453764122542289
CPHJEACXPATRSU,0.09224151225259716,0.007771079490441063,0.07542918862723591,0.055894458013055065,0.09223342379534184
CVXBEEMKQHEXEN,0.019829037708623466,0.007562174071415576,0.0067980530857895335,0.012685052497778312,0.013688515776197202
CXXVJZRGOOIVOD,0.13094282044804148,0.003741260298919774,0.1284524123197718,0.02180257187539167,0.12930740392238516
DBEPLOCGEIEOCV,0.05671189307598485,0.0072895125838414315,0.04636271322778156,0.0423790305962536,0.05652346109776437
DFPAKSUCGFBDDF,0.004463563034597936,0.0026357154277623284,0.003247563768322363,0.003101405684705264,0.004414020252213551
DGFTWBUZRHAHTH,0.003285336521066538,1.2075217229587463e-05,0.0020565991530022494,0.0008360072365702249,0.0032064677906102975
DGFVZQGXKQCQGK,0.024534558621263504,0.0010947113642725964,0.018518987871244827,0.01559369521104801,0.02007507307014171
DIOYAVUHUXAUPX,0.07699016990702033,0.00014269208816077017,0.07547340141392038,0.003917146756510531,0.0763934775659352
DIZKGJLRHOCMTP,0.14139489954989537,0.10072848862198287,0.13717746578363557,0.1315507755517484,0.14100411153549913
DJNZZLZKAXGMMC,0.02080869946174178,0.009630065586528704,0.006668013409586228,0.015556590614326878,0.017666282361840365
DJRKHTCUXRGYEU,0.001482512788570065,2.086702513600996e-06,0.000540247117145556,9.877243480933243e-05,0.0009502866272882409
DMBHHRLKUKUOEG,0.008390835343772485,0.0004577438966661511,0.006986552229021637,0.004131547220167706,0.008232768885730978
DNRJTBAOUJJKDY,0.035681447862164664,0.025345681883885956,0.015180234599217756,0.030656880603428333,0.033849539758099796
DNTGGZPQPQTDQF,0.0060053603096941,0.00114028649328469,0.0036918017553795443,0.0014727007644805999,0.005964375276360453
DNUAYCRATWAJQE,0.009727489246260736,0.0047894124083524055,0.0007687248419640438,0.00588968280629064,0.009606777210722854
DOIRQSBPFJWKBE,0.18099348892689743,0.17346754298138917,0.1532939760135926,0.16380730554239567,0.17791039501066275
DPWPWRLQFGFJFI,0.2049644045676643,0.20141589112024263,0.1980255370146758,0.20342208558816344,0.20475787054963987
DSKJPMWIHSOYEA,0.00410030189351695,0.00023184653513841618,0.0004913777565903115,2.3100645406282094e-05,0.003111252463302792
DTAPQAJKAFRNJB,0.11512495165278232,0.10821113890753235,0.10967799529572846,0.11506484400499475,0.11509663256210824
DUFVKSUJRWYZQP,0.006798959761967038,0.006120936138443481,0.004143284529521812,0.006642567871837031,0.006769621151902234
DWFZBUWUXWZWKD,0.004550409278986762,0.002938875310533834,4.322888214771097e-05,0.002405560958653119,0.004442068043703666
FAOZLTXFLGPHNG,0.043280682007561494,0.04144180525472085,0.02168830148640963,0.04015627263629606,0.04327590172219197
FBOUIAKEJMZPQG,0.05864409015730984,0.004993495587218552,0.050499823548800955,0.02568325661966385,0.05864284207044384
FCBQJNCAKZSIAH,0.029682912483926047,5.6474926627563676e-05,0.020736993646804525,5.592178849682036e-05,0.027214478835870817
FFGPTBGBLSHEPO,0.04186678790145579,0.03164555185563725,0.040645858830545764,0.040718607821323555,0.04168108028726481
FFHQNQNMELQOEF,0.03803968749385272,0.00679189266478605,0.02956334572932172,0.017074427901381736,0.03595677643791819
FFSSWMQPCJRCRV,0.013098070295047146,0.011842805760013128,0.0016368913038706905,0.0044725632296328255,0.012964617587054627
FIQMHBFVRAXMOP,0.00835331529805268,0.0034738429783093107,0.0028104484832856685,0.006635826693456518,0.008142218922873644
FMKMKBLHMONXJM,0.008444546676970794,0.0008374659552666478,0.00794861539257126,0.005905098812462213,0.008262894486191903
FNYLWPVRPXGIIP,0.007255346843276678,0.0034666373566166857,0.0035827049598712735,0.005963555083673305,0.007251405116551812
FOXFZRUHNHCZPX,0.0031648789310431535,0.00011782185615202227,0.0030324901826117292,0.0018981150711891834,0.003043735503103009
FQEBOQLYHASAOY,0.07976814932396314,0.059936207668209354,0.07817421811843162,0.07717974080249736,0.07974530847646492
FQNKTJPBXAZUGC,0.07179164024183077,0.05794891127296715,0.053504025547370423,0.0711920482267585,0.07150196880445037
FSAVDKDHPDSCTO,0.0022804201939089193,0.0017254946680522656,0.0010999031602129943,0.001577725220218146,0.0021344658638483846
FTLQSQQQFMZPKO,0.012450916856279151,4.608672089633642e-07,0.011710602974156959,0.006100655846000986,0.012403283965062342
FULZLIGZKMKICU,0.07034482025436195,0.0671889394398568,0.0437090580922422,0.06537343652851568,0.06991200473217733
FUSNMLFNXJSCDI,0.01499697231679276,0.010602377458734998,0.002590754113128757,0.011043168791108013,0.013762934848637914
FWQYJOPJMIEKHZ,0.161781142189254,0.161719111227558,0.14264890835876073,0.15457117088620304,0.16176627211040562
FXKFFTMLFPWYFH,0.0037389343873429296,0.0023953171418738158,0.0001659345163667128,0.0016348338202184496,0.00354092282540979
GCAOVMKRBUCSET,0.005372483696325716,5.2512270930878645e-05,0.0017898538947158553,9.630887048289911e-06,0.004573916483650634
GDLIGKIOYRNHDA,0.032652487112641376,0.0009841247811158207,0.031939963872470056,0.008519161631364645,0.03263198306130222
GFNANZIMVAIWHM,0.027941435126157134,0.026204324967141885,0.013066778527169495,0.026558261831136125,0.027857070279175007
GGLIEWRLXDLBBF,0.031186932328190493,0.018705017328654424,0.024949705818529233,0.027446347346141903,0.03012080499599394
GHOKWGTUZJEAQD,0.04314488466400299,0.04199953707374555,0.013153161795878849,0.03628307726050706,0.042978635883701315
GJTKAAFWJZWEPS,0.08669525797768993,0.0007381125322005189,0.08580481325987932,0.021331083993918948,0.08660692150195341
