spectrum_id,adduct,precursor_mz,compound_name,key,scaffold_group
CCMSLIB00012271066,[M+Na]1+,314.086,1191237-69-0,BRDWIEOJOWJCLU,c1ncc2ccc(C3CCCO3)n2n1
CCMSLIB00012271067,[M+H]1+,338.052,famotidine,XUFQPHANEAPEMJ,c1cscn1
CCMSLIB00012271068,[M+H]1+,338.052,famotidine,XUFQPHANEAPEMJ,c1cscn1
CCMSLIB00012271069,[M+Na]1+,360.034,famotidine,XUFQPHANEAPEMJ,c1cscn1
CCMSLIB00012271070,[M+Na]1+,360.034,famotidine,XUFQPHANEAPEMJ,c1cscn1
CCMSLIB00012271071,[2M+H]1+,607.397,Vildagliptin,SYOKIDBDQMKNDQ,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCCC1
CCMSLIB00012271072,[M+H]1+,304.202,Vildagliptin,SYOKIDBDQMKNDQ,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCCC1
CCMSLIB00012271073,[M+H]1+,304.202,Vildagliptin,SYOKIDBDQMKNDQ,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCCC1
CCMSLIB00012271074,[M+H]1+,440.175,Ziresovir,GAAICKUTDBZCMT,O=S1(=O)CCN(c2nc(NCC3COC3)c3ccccc3n2)Cc2ccccc21
CCMSLIB00012271075,[M+H]1+,440.175,Ziresovir,GAAICKUTDBZCMT,O=S1(=O)CCN(c2nc(NCC3COC3)c3ccccc3n2)Cc2ccccc21
CCMSLIB00012271077,[M+H]1+,453.261,GSK3326595,JLCCNYVTIWRPIZ,O=C(NCCCN1CCc2ccccc2C1)c1cc(NC2CCNCC2)ncn1
CCMSLIB00012271078,[M+H]1+,453.261,GSK3326595,JLCCNYVTIWRPIZ,O=C(NCCCN1CCc2ccccc2C1)c1cc(NC2CCNCC2)ncn1
CCMSLIB00012271079,[M+Na]1+,475.243,GSK3326595,JLCCNYVTIWRPIZ,O=C(NCCCN1CCc2ccccc2C1)c1cc(NC2CCNCC2)ncn1
CCMSLIB00012271081,[M+H]1+,314.114,71079-08-8,XTKGXPFBKPYFDW,O=C(Oc1ccccc1)c1ccccc1
CCMSLIB00012271082,[M+H]1+,341.172,Tomivosertib,HKTBYUWLRDZAJK,O=C1NC2(CCCCC2)n2c1ccc(Nc1ccncn1)c2=O
CCMSLIB00012271084,[M+H]1+,918.493,Thymoctonan,NYJVPTKMDYSZDU,O=C(CNC(=O)C1CCCN1)NCCc1ccccc1
CCMSLIB00012271085,[2M+NH3+H]1+,698.363,Tomivosertib,HKTBYUWLRDZAJK,O=C1NC2(CCCCC2)n2c1ccc(Nc1ccncn1)c2=O
CCMSLIB00012271086,[M+H]1+,444.225,lanraplenib,XCIGZBVOUQVIPI,c1cnc(-c2cn3ccnc3c(Nc3ccc(N4CCN(C5COC5)CC4)cc3)n2)cn1
CCMSLIB00012271087,[M-H2O+H]1+,499.124,19870-46-3,YDDUMTOHNYZQPO,O=C(C=Cc1ccccc1)OC1CCCC(OC(=O)C=Cc2ccccc2)C1
CCMSLIB00012271088,[M+H]1+,517.134,19870-46-3,YDDUMTOHNYZQPO,O=C(C=Cc1ccccc1)OC1CCCC(OC(=O)C=Cc2ccccc2)C1
CCMSLIB00012271089,[M+Na]1+,539.116,19870-46-3,YDDUMTOHNYZQPO,O=C(C=Cc1ccccc1)OC1CCCC(OC(=O)C=Cc2ccccc2)C1
CCMSLIB00012271091,[M+H]1+,631.344,VTP50469,ADHHOUXZPBYYSU,c1ccc(Oc2cncnc2N2CC3(CCN(CC4CCCCC4)CC3)C2)cc1
CCMSLIB00012271092,[M+Na]1+,653.326,VTP50469,ADHHOUXZPBYYSU,c1ccc(Oc2cncnc2N2CC3(CCN(CC4CCCCC4)CC3)C2)cc1
CCMSLIB00012271093,[M+H]1+,578.129,Subasumstat,LXRZVMYMQHNYJB,O=C(c1cc(C2NCCc3ccccc32)cs1)c1cncnc1NC1CCCC1
CCMSLIB00012271094,[M+H]1+,691.337,DALFOPRISTIN,SUYRLXYYZQTJHF,O=C1CCC=CC=CCNC(=O)C=CCCOC(=O)C2CCCN2C(=O)c2coc(n2)C1
CCMSLIB00012271097,[M+H]1+,726.389,E-7386,ZGNKNLOBYFTGRG,O=C1C(Cc2ccccc2)N2C(=O)CNN(C(=O)NCc3ccccc3)C2CN1Cc1cccc(N2CC(N3CCNCC3)C2)n1
CCMSLIB00012271098,[M+H]1+,294.172,Selgantolimod,HTCJUBZBSJQWBW,c1cnc2cncnc2c1
CCMSLIB00012271099,[M+H]1+,294.172,Selgantolimod,HTCJUBZBSJQWBW,c1cnc2cncnc2c1
CCMSLIB00012271100,[M+H]1+,438.121,Elenbecestat,AACUJFVOHGRMTR,O=C(Nc1cccc(C23COCC2CSC=N3)c1)c1cnccn1
CCMSLIB00012271101,[M+H]1+,526.256,Selpercatinib,XIIOFHFUYBLOLW,c1cncc(CN2C3CC2CN(c2ccc(-c4cccn5nccc45)cn2)C3)c1
CCMSLIB00012271102,[M+H]1+,306.01,Taminadenant,ATFXVNUWQOXRRU,c1cnn(-c2ccnc(-n3cccn3)n2)c1
CCMSLIB00012271103,[M+H]1+,306.01,Taminadenant,ATFXVNUWQOXRRU,c1cnn(-c2ccnc(-n3cccn3)n2)c1
CCMSLIB00012271104,[M+H]1+,561.242,Sotorasib,NXQKSXLFSAEQCZ,O=c1nc(N2CCNCC2)c2ccc(-c3ccccc3)nc2n1-c1cccnc1
CCMSLIB00012271105,[M+H]1+,406.234,N~2~-[(benzyloxy)carbonyl]-N-{(2S)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-L-leucinamide,JUCVXDDMQHPCKT,O=C(CNC(=O)OCc1ccccc1)NCCC1CCNC1=O
CCMSLIB00012271106,[M+Na]1+,428.216,N~2~-[(benzyloxy)carbonyl]-N-{(2S)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-L-leucinamide,JUCVXDDMQHPCKT,O=C(CNC(=O)OCc1ccccc1)NCCC1CCNC1=O
CCMSLIB00012271107,[M+H]1+,434.207,SCHEMBL288920,GNVOKCURJPYONL,O=C(CC(Cc1ccccc1)NC(=O)c1cccn1Cc1ccccc1)NC1CC1
