spectrum_id,compound_name,adduct,adduct_csv,precursor_mz,source_file,well,scan,task,create_time,smiles,recorded_inchikey_csv,ppm_csv,classyfire_superclass,key,scaffold_group,mono_parent,formula_parent,elements,charged_raw,n_components_raw,charged_parent,any_formal_charge_parent,theoretical_mz,precursor_err_da,recorded_block1,scan_i,coinjected_ion_within_0p7_lower_bound,coinjected_isomer_lower_bound,in_msg15_recorded_all,in_msg15_parent_all,in_msg15_simchallenge_all,in_msg15_recorded_train,in_msg15_recorded_val,in_msg15_recorded_test,in_muru_registry_all,in_muru_registry_direct_reason,in_muru_exposed_union,in_pr7_study2_population,in_comparator_common_population,in_msnlib_9lib,in_msnlib_v1_0_4lib,in_multims2_reserved_validation_secondary,in_muru_exposed_populations_union,in_muru_dev_compounds_csv_keys,in_pop_ENTACT-MIX-LISTS-499-503-505,in_pop_LCSB-ALL-MASSBANK-V1-EXPOSURE-SET,in_pop_LCSB-CONFIRMATION,in_pop_LCSB-DEV,in_pop_LCSB-NEG,in_pop_LCSB-POS-V2-SPECTRA,in_pop_LCSB-RAW-MIX-REPLICATE-SET-92,in_pop_LCSB-RAW-MIXES-499-503-505,in_pop_MultiMS2-ANCHOR,in_pop_V2-DEVELOPMENT-POPULATION,in_pop_WUR-DEV-ANALYSIS,in_pop_WUR-DEV-HOLD,in_pop_WUR-NEG-D6-EXCLUDED,in_pop_WUR-NEG-DEV,in_pop_WUR-POS-IDENTITY,in_pop_WUR-SEALED,sg_in_msg15_scaffold_groups,sg_in_muru_registry_scaffold_groups,sg_in_muru_dev_scaffold_groups,sg_in_pr7_scaffold_groups,sg_in_comparator_scaffold_groups,in_msg15_any_route,formula_in_msg,formula_and_scaffold_in_msg,excluded_key_level_conservative,excluded_scaffold_level_muru_pr7_comparator
CCMSLIB00013569924,Sapitinib (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,474.17,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,1063,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,CNC(=O)CN1CCC(Oc2c(OC)cc3ncnc(Nc4c(F)c(Cl)ccc4)c3c2)CC1,DFJSJLGUIXFDJP-UHFFFAOYSA-N,0.5702964037969134,Organic acids and derivatives,DFJSJLGUIXFDJP,c1ccc(Nc2ncnc3ccc(OC4CCNCC4)cc23)cc1,473.16299556,C23H25ClFN5O3,C;Cl;F;H;N;O,False,1,False,False,474.17027156,-0.000271559999987403,DFJSJLGUIXFDJP,1063,True,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False
CCMSLIB00013569925,osalmid (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,230.081,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,1560,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,O=C(Nc1ccc(O)cc1)c1ccccc1O,LGCMKPRGGJRYGM-UHFFFAOYSA-N,0.7423693099971879,Benzenoids,LGCMKPRGGJRYGM,O=C(Nc1ccccc1)c1ccccc1,229.073893212,C13H11NO3,C;H;N;O,False,1,False,False,230.081169212,-0.00016921200000297176,LGCMKPRGGJRYGM,1560,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,True
CCMSLIB00013569926,SCHEMBL12852913 (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,508.222,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,1380,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,Cc1c(Cl)ccc(CN2CCC(N3C(=O)CCC3C(=O)Nc3cccc(-c4nnnn4C)c3)CC2)c1,JYBQRBNJBJKERM-UHFFFAOYSA-N,0.4435364860164814,,JYBQRBNJBJKERM,O=C(Nc1cccc(-c2nnn[nH]2)c1)C1CCC(=O)N1C1CCN(Cc2ccccc2)CC1,507.2149508800001,C26H30ClN7O2,C;Cl;H;N;O,False,1,False,False,508.2222268800001,-0.00022688000012749399,JYBQRBNJBJKERM,1380,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
CCMSLIB00013569927,SCHEMBL12852913 (known structural isomers: 0; isobaric peaks in run: 0),[M+K]+,[M+K]1+,546.178,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,1386,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,Cc1c(Cl)ccc(CN2CCC(N3C(=O)CCC3C(=O)Nc3cccc(-c4nnnn4C)c3)CC2)c1,JYBQRBNJBJKERM-UHFFFAOYSA-N,0.2021007394723188,,JYBQRBNJBJKERM,O=C(Nc1cccc(-c2nnn[nH]2)c1)C1CCC(=O)N1C1CCN(Cc2ccccc2)CC1,507.2149508800001,C26H30ClN7O2,C;Cl;H;N;O,False,1,False,False,546.1781088800001,-0.00010888000008435483,JYBQRBNJBJKERM,1386,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
CCMSLIB00013569928,dicloxacillin (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,470.034,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,1917,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,Cc1c(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c(-c2c(Cl)cccc2Cl)no1,YFAGHNZHGGCZAX-UHFFFAOYSA-N,0.2765773026655548,Organic acids and derivatives,YFAGHNZHGGCZAX,O=C(NC1C(=O)N2CCSC12)c1conc1-c1ccccc1,469.026597004,C19H17Cl2N3O5S,C;Cl;H;N;O;S,False,1,False,False,470.033873004,0.00012699600000587452,YFAGHNZHGGCZAX,1917,False,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,True,False,False,True,True,True,True,True
CCMSLIB00013569929,PD162835 (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,410.255,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,1929,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,CCN(Cc1cc(OC2CCCC2)c(OC)cc1)c1c2[nH]c(C(C)C)nc2ncn1,OMGXSVMUPGUWHJ-UHFFFAOYSA-N,0.1278404731211447,,OMGXSVMUPGUWHJ,c1cc(CNc2ncnc3nc[nH]c23)cc(OC2CCCC2)c1,409.2477752320001,C23H31N5O2,C;H;N;O,False,1,False,False,410.2550512320001,-5.123200008938511e-05,OMGXSVMUPGUWHJ,1929,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
CCMSLIB00013569930,SCHEMBL4134195 (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,567.219,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,2705,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,Cc1ccccc1-c1nc(N2CCOCC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ONQLQNSIWJUKOU-UHFFFAOYSA-N,0.1369331962886057,,ONQLQNSIWJUKOU,O=C(Cc1ccccc1)Nc1cnc(N2CCOCC2)nc1-c1ccccc1,566.2116454559999,C28H28F6N4O2,C;F;H;N;O,False,1,False,False,567.218921456,7.854400007545337e-05,ONQLQNSIWJUKOU,2705,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00013569931,Usistapide (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,573.236,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,1949,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,COC(=O)C(c1ccccc1)N1CCC(c2ccc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)cc2)CC1,WSYALRNYQFNNGP-UHFFFAOYSA-N,0.0786130033229267,,WSYALRNYQFNNGP,O=C(Nc1ccc(C2CCN(Cc3ccccc3)CC2)cc1)c1ccccc1-c1ccccc1,572.2286775119999,C34H31F3N2O3,C;F;H;N;O,False,1,False,False,573.2359535119999,4.648800006634701e-05,WSYALRNYQFNNGP,1949,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00013569932,MK-0752 (known structural isomers: 0; isobaric peaks in run: 0),[M+NH4]+,[M+NH3+H]1+,460.116,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,2142,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,O=C(O)CCC1CCC(c2c(F)ccc(F)c2)(S(=O)(=O)c2ccc(Cl)cc2)CC1,XCGJIFAKUZNNOR-UHFFFAOYSA-N,1.002900274540247,Lipids and lipid-like molecules,XCGJIFAKUZNNOR,O=S(=O)(c1ccccc1)C1(c2ccccc2)CCCCC1,442.08171427199994,C21H21ClF2O4S,C;Cl;F;H;O;S,False,1,False,False,460.1155372719999,0.0004627280000590872,XCGJIFAKUZNNOR,2142,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
CCMSLIB00013569933,Mebicar (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,199.119,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,612,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,CN1C(=O)N(C)C2C1N(C)C(=O)N2C,XIUUSFJTJXFNGH-UHFFFAOYSA-N,0.2365344900132457,,XIUUSFJTJXFNGH,O=C1NC2NC(=O)NC2N1,198.111675688,C8H14N4O2,C;H;N;O,False,1,False,False,199.11895168799998,4.8312000018313483e-05,XIUUSFJTJXFNGH,612,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
CCMSLIB00013569934,Saredutant (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,552.218,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,1642,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,CC(=O)NC1(c2ccccc2)CCN(CCC(CN(C)C(=O)c2ccccc2)c2cc(Cl)c(Cl)cc2)CC1,PGKXDIMONUAMFR-UHFFFAOYSA-N,0.1728020754319034,Organoheterocyclic compounds,PGKXDIMONUAMFR,O=C(NCC(CCN1CCC(c2ccccc2)CC1)c1ccccc1)c1ccccc1,551.2106327199999,C31H35Cl2N3O2,C;Cl;H;N;O,False,1,False,False,552.21790872,9.127999999236636e-05,PGKXDIMONUAMFR,1642,False,False,True,True,True,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True
