key,libraries,routes,in_msnlib_v1_0
PLAPMLGJVGLZOV,MCEBIO;NIHNP;TARGETMOL,parent;recorded,True
PLARKKXQJFYTGF,MCEDIV,parent;recorded,False
PLAVWQHGBMTMFR,MCEBIO,parent;recorded,True
PLCHJRMJIWHBGX,MCEDIV,parent;recorded,False
PLCPJFCKCSVEKC,ENAMDISC,parent;recorded,False
PLCVJNJRUVNDEY,MCEBIO,parent;recorded,True
PLCZRJPTXRWXBJ,MCEDIV;MCESCAF,parent;recorded,True
PLDIECYCYNMISS,ENAMDISC,parent;recorded,False
PLDSPANMGJZYSP,OTAVAPEP,parent;recorded,True
PLERQJAPNWHLMM,MCEDIV,parent;recorded,False
PLFFNNHALWJMMN,MCEDIV,parent;recorded,False
PLFKNDGGIKWJSQ,MCEDIV,parent;recorded,False
PLFPURRZLGMMCI,MCEBIO,parent;recorded,True
PLGCVJUJUUCYQH,MCEDIV,parent;recorded,False
PLGGTWWJEUFFEL,ENAMDISC,parent;recorded,False
PLGLHUYFLZTBAK,MCEDIV;MCESCAF,parent;recorded,True
PLGNGKJSMAJHIT,MCEDIV,parent;recorded,False
PLGNVFSTPJUFKJ,NIHNP,parent;recorded,True
PLHGEJJIFJBALA,ENAMDISC,parent;recorded,False
PLHJCIYEEKOWNM,MCEBIO,parent;recorded,True
PLHJDBGFXBMTGZ,MCEBIO;MCEDRUG,parent;recorded,True
PLHQDIXWDFDLEZ,MCEDIV,parent;recorded,False
PLICODIWSUDBEF,MCEDIV,parent;recorded,False
PLIGPBGDXASWPX,MCEBIO,parent;recorded,True
PLISOUAGIKEZAK,MCESCAF,parent;recorded,True
PLIVFNIUGLLCEK,MCEBIO,parent;recorded,True
PLKAEFKZZLRAEF,MCEDIV,parent;recorded,False
PLKBCEKRBXOTJA,ENAMMOL,parent;recorded,False
PLKKSHXMLPUXLV,MCEDIV,parent;recorded,False
PLKOJNUQWAKPNC,NIHNP,parent;recorded,True
PLKSIRZJEVTPSX,MCEDIV,parent;recorded,False
PLLQKIGLOMUIIE,MCEDIV,parent;recorded,False
PLNHTCOKIGJEIU,MCEDIV;MCESCAF,parent;recorded,True
PLNMMTCSZQTASX,MCEDIV;MCESCAF,parent;recorded,True
PLOZFSHVROKSNF,ENAMDISC,parent;recorded,False
PLQBOTRFWSWZGY,MCEDIV,parent;recorded,False
PLQCQYJFTKQHLT,MCEDIV,parent;recorded,False
PLQMEXSCSAIXGB,MCEBIO,parent;recorded,True
PLQYUMDHVHCXAC,ENAMMOL,parent;recorded,False
PLRACCBDVIHHLZ,MCEBIO,parent;recorded,True
PLRAHOJZKPFKTE,MCEDIV,parent;recorded,False
PLRGZSBSZKDJEJ,MCEDIV,parent;recorded,False
PLSJOUKFYIEMGT,ENAMDISC,parent;recorded,False
PLSSEPIRACGCBO,NIHNP,parent;recorded,True
PLSSRCHMQALKQF,ENAMDISC,parent;recorded,False
PLTCOQZXRXMGRR,MCEDIV,parent;recorded,False
PLTXACXZZGZCLU,ENAMMOL,parent;recorded,False
PLUKZIOFBUFIFQ,MCEDIV,parent;recorded,False
PLVBYCVJVXNERE,MCEDIV,parent;recorded,False
PLVGDGRBPMVYPB,MCEBIO,parent;recorded,True
PLVPPLCLBIEYEA,TARGETMOL,parent;recorded,False
PLVYASGRBCVBTR,OTAVAPEP,parent;recorded,True
PLWCGSWVJUWKFW,ENAMDISC,parent;recorded,False
PLWFATVWMKRMPJ,ENAMDISC,parent;recorded,False
PLWMWPJJVUXNJX,MCEDIV,parent;recorded,False
PLWQDKAYYGYPBY,ENAMDISC,parent;recorded,False
PLWRRSAFOULORB,ENAMMOL,parent;recorded,False
PLXBWHJQWKZRKG,MCEBIO,parent;recorded,True
PLXFAOAYEPZFSK,ENAMDISC,parent;recorded,False
PLXFJERQJNPSNG,MCEDIV,parent;recorded,False
PLXNODRJTJCUGK,MCEDIV,parent;recorded,False
PLXPNPKALDBHON,ENAMDISC,parent;recorded,False
PLXXUCHBFMFGPB,ENAMDISC,parent;recorded,False
PLYDHVSNRRBSPF,MCEDIV,parent;recorded,False
PLYDPNDLLLVVLV,MCEDIV,parent;recorded,False
PLYNBLLEIDIMDU,NIHNP,parent;recorded,True
PLZYWTUVQMJZHL,ENAMMOL,parent;recorded,False
PMACSOMCNCJTMD,MCEDIV,parent;recorded,False
PMAFAVMXUPCVBK,MCEDIV,parent;recorded,False
PMAJAFBSQDRBPY,ENAMDISC,parent;recorded,False
PMATZTZNYRCHOR,MCEBIO;MCEDRUG,parent;recorded,True
PMAVPZICWJLCKI,ENAMMOL,parent;recorded,False
PMBBEVWZSREKAH,MCEDIV,parent;recorded,False
PMBOOVZSTMWOFS,TARGETMOL,parent;recorded,False
PMBUOHOVNBZYGV,MCEDIV,parent;recorded,False
PMBZSEOAOIYRMW,NIHNP,parent;recorded,True
PMCAXNOWFFQTHM,NIHNP,parent;recorded,True
PMCDONAGGYBIOG,MCEDIV,parent;recorded,False
PMCWTIRQELLNJQ,MCEDIV,parent;recorded,False
PMDYXAWFXJZXMM,ENAMDISC,parent;recorded,False
PMEKGIRVYIAXGU,MCEDIV,parent;recorded,False
PMEKKJJZHNQEIZ,ENAMMOL,parent;recorded,False
PMERQKPAQUWZOM,ENAMMOL,parent;recorded,False
PMFHBNLDQVCDDX,ENAMDISC,parent;recorded,False
PMGLDCMGYHVDSZ,ENAMDISC,parent;recorded,False
PMGMZCFZCYRJAG,TARGETMOL,parent;recorded,False
PMHDSACGRKBACK,ENAMMOL,parent;recorded,False
PMHOZLJLJCHEJN,ENAMDISC,parent;recorded,False
PMIQHWMFUZMWOX,ENAMMOL,parent;recorded,False
PMJIHLSCWIDGMD,MCEBIO;MCEDRUG,parent;recorded,True
PMJVTIFXFFXIPK,NIHNP,parent;recorded,True
PMKJEXRUKASYTK,ENAMDISC,parent;recorded,False
PMKZRWMLBKBKJR,MCEDIV;OTAVAPEP,parent;recorded,True
PMLKMGFNRKVFTQ,MCEBIO,parent;recorded,True
PMLQSTXWYSJCAT,MCEDIV,parent;recorded,False
PMLRZHYUAYSKHT,MCEDIV,parent;recorded,False
PMLVJIGALZGRTO,MCEDIV,parent;recorded,False
PMMBSTFHDDYYOE,ENAMDISC,parent;recorded,False
PMMQOFWSZRQWEV,NIHNP,parent;recorded,True
PMMWVYKBDULGDG,NIHNP,parent;recorded,True
PMMYEEVYMWASQN,ENAMMOL;MCEBIO,parent;recorded,True
PMMZWYVFJMPBLQ,ENAMMOL,parent;recorded,False
PMNJLLZLMHRTJK,MCEDIV,parent;recorded,False
PMNLXWFBCJLZRV,MCEDIV;MCESCAF,parent;recorded,True
PMOIXGFSVINTKW,MCEDIV,parent;recorded,False
PMOMCCJENVVISL,MCESCAF,parent;recorded,True
PMOSXMSGHMWBFL,MCEDIV,parent;recorded,False
PMOWTIHVNWZYFI,NIHNP,parent;recorded,True
PMPCVGQVNAPMHY,ENAMMOL,parent;recorded,False
PMPFLADPNPUEKL,MCEDIV,parent;recorded,False
PMPHCGXWGWRVSJ,MCESCAF,parent;recorded,True
PMPMWODVOPSICU,MCEDIV,parent;recorded,False
PMPSTGIVMYCGLG,MCEDIV,parent;recorded,False
PMQBMQJAYIKELJ,ENAMDISC,parent;recorded,False
PMQMUWWEPXEURZ,MCEDIV,parent;recorded,False
PMQMZNUMZCJQKQ,ENAMDISC,parent;recorded,False
PMQQMWSMTZGTMH,MCEDIV,parent;recorded,False
PMRYVIKBURPHAH,MCEBIO;MCEDRUG,parent;recorded,True
PMSMVKOSDJTWFT,ENAMMOL,parent;recorded,False
PMSVKFWEFOGZDO,MCEDIV,parent;recorded,False
PMTANRWPSSFWQC,MCEDIV,parent;recorded,False
PMTAUBQAHBAMAE,MCEDIV,parent;recorded,False
PMTLKNOARSHUJB,MCEBIO,parent;recorded,True
PMTMAFAPLCGXGK,NIHNP,parent;recorded,True
PMTPYUTZAJWGPE,MCEBIO,parent;recorded,True
PMTSPAGBAFCORP,NIHNP,parent;recorded,True
PMTVWHOHJIJZTO,MCEDIV;MCESCAF,parent;recorded,True
PMUJUSJUVIXDQC,MCEBIO,parent;recorded,True
PMUVNAUPWLXPSA,MCEBIO,parent;recorded,True
PMUWRZNUMOUBHR,MCEDIV,parent;recorded,False
PMVCHAWVCIWVLP,TARGETMOL,parent;recorded,False
PMWFORPJUWEXBG,NIHNP,parent;recorded,True
PMWVYONICYRLNY,MCEBIO,parent;recorded,True
PMXCMJLOPOFPBT,MCEBIO,parent;recorded,True
PMXJWTHGUDCZIN,ENAMMOL,parent;recorded,False
PMXMFELSKPYMBT,MCESCAF,parent;recorded,True
PMXMIIMHBWHSKN,MCEBIO;MCEDRUG,parent;recorded,True
PMXSWDXSHXLUDI,ENAMDISC,parent;recorded,False
PMYCSYZOEWQYLX,ENAMDISC,parent;recorded,False
PMYKMOSLSQSYOI,OTAVAPEP,parent;recorded,True
PMYWDSQWIZHMFB,MCEDIV;MCESCAF,parent;recorded,True
PMZCEKCDRDKGAO,MCEDIV,parent;recorded,False
PMZMBVJXQWOWTL,MCEDIV,parent;recorded,False
PMZQDTWXNAICAT,MCEDIV,parent;recorded,False
PNAHJZDXKJQFIV,MCEDIV,parent;recorded,False
PNALOBAQBMAHBZ,MCEBIO,parent;recorded,True
PNAMYQLWFXYBBK,MCESCAF,parent;recorded,True
PNAPEMAREIYPRI,MCEDIV,parent;recorded,False
PNASASNCCSKSQC,MCEDIV,parent;recorded,False
PNASQBDERCVHPK,ENAMDISC,parent;recorded,False
PNAWUIKCVQSLFG,MCEBIO,parent;recorded,True
PNBCBCXKQVLVFA,MCEDIV,parent;recorded,False
PNBOTEQHOVYGHC,MCEDIV,parent;recorded,False
PNBPAAQUZUBGQE,ENAMDISC,parent;recorded,False
PNCHHYMVNNPMDY,MCEDIV,parent;recorded,False
PNCPYILNMDWPEY,MCEBIO;MCEDRUG,parent;recorded,True
PNCZHMUIIXRYJF,MCEDIV,parent;recorded,False
PNDKCRDVVKJPKG,MCEBIO,parent;recorded,True
PNDYUQDFAHTOGM,MCEDIV,parent;recorded,False
PNECAQBGAWMOLL,MCEDIV,parent;recorded,False
PNEJESWGOJZLAA,ENAMDISC,parent;recorded,False
PNENGEFVBQPWCZ,MCESCAF,parent;recorded,True
PNEPLVHCVRVQKA,ENAMDISC,parent;recorded,False
PNEUYGZLUKDSBZ,ENAMDISC,parent;recorded,False
PNEVHEXERAKZBI,ENAMDISC,parent;recorded,False
PNEZKPARQSZCID,MCEBIO,parent;recorded,True
PNFIGXHZFOIEAJ,NIHNP,parent;recorded,True
PNFLCXVKWPUFLH,MCESCAF,parent;recorded,True
PNFMVADNCOGWME,MCEBIO,parent;recorded,True
PNFMZAHWOASGJC,MCEBIO,parent;recorded,True
PNFQCBCIJWCSEV,MCEDIV,parent;recorded,False
PNFZODLOGOLONL,MCEDIV,parent;recorded,False
PNGFTRMXNBLNEW,MCEDIV,parent;recorded,False
PNGNXUXNRUYHEL,MCESCAF,parent;recorded,True
PNGOVUAUDUUOSM,MCEDIV,parent;recorded,False
PNGSTNBZQYRRMZ,MCEDIV,parent;recorded,False
PNGVTBJVHXBBEC,MCEDIV,parent;recorded,False
PNGZPTUFKSLWEZ,MCEBIO,parent;recorded,True
PNHFDVSKDSLUFH,MCEBIO,parent;recorded,True
PNHSIQPVIHXZHR,MCEDIV,parent;recorded,False
PNIDZWROXAENRK,MCEDIV,parent;recorded,False
PNIGQLHRNLKUER,MCEDIV;MCESCAF,parent;recorded,True
PNIQALWCCHJUNZ,MCEDIV,parent;recorded,False
PNIWDPVVUWIDHD,MCEDIV,parent;recorded,False
PNIZEFAZYFNBAJ,MCEDIV,parent;recorded,False
PNJSLQPSAJHYCH,ENAMDISC,parent;recorded,False
