group_key,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source
LVNYJXIBJFXIRZ,c1ccccc1,336.103149414063,43.0,7.0,1.0,1.0,7.0,81.69999999999999,0.38095238095238093,1.0,5.0,1.0,0.0,WUR
LVQDKIWDGQRHTE,c1ncnc(NC2CC2)n1,167.10400390625,22.0,2.0,2.0,1.0,5.0,102.74,0.5,6.0,0.0,0.0,0.0,WUR
LVXYAFNPMXCRJI,c1ccc(CCCCN2CCN(c3ccccn3)CC2)cc1,330.198028564453,48.0,6.0,3.0,2.0,9.0,39.6,0.20833333333333334,3.0,1.0,0.0,1.0,WUR
MBMQEIFVQACCCH,O=C1CCC/C=C/c2ccccc2C(=O)OCCCC1,319.154235839844,45.0,0.0,2.0,1.0,8.0,83.83,0.21739130434782608,0.0,5.0,0.0,0.0,WUR
MCJGNVYPOGVAJF,c1ccc2ncccc2c1,146.060165405273,18.0,0.0,2.0,2.0,7.5,33.120000000000005,0.18181818181818182,1.0,1.0,0.0,0.0,WUR
METKIMKYRPQLGS,c1ccccc1,267.170440673828,41.0,8.0,1.0,1.0,5.0,84.57999999999998,0.2631578947368421,2.0,3.0,0.0,0.0,WUR
MFOUDYKPLGXPGO,c1ccccc1,212.083847045898,28.0,3.0,1.0,1.0,5.0,20.310000000000002,0.21428571428571427,1.0,1.0,0.0,1.0,WUR
MIZMDSVSLSIMSC,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,657.4434509277345,102.0,6.0,1.0,0.0,7.0,139.83,0.26666666666666666,3.0,9.0,0.0,0.0,WUR
MKUXAQIIEYXACX,O=c1nc[nH]c2[nH]cnc12,226.093688964844,27.0,4.0,2.0,2.0,8.0,119.05,0.5,5.0,3.0,0.0,0.0,WUR
MLBZKOGAMRTSKP,c1ccc(C2=NOC(c3ccccc3)C2)cc1,556.062683105469,53.0,6.0,3.0,2.0,12.0,79.78999999999999,0.3888888888888889,3.0,3.0,0.0,8.0,WUR
MLKCGVHIFJBRCD,O=c1[nH]cnn1-c1ccccc1,429.070068359375,40.0,6.0,2.0,2.0,9.5,66.12,0.4230769230769231,3.0,3.0,0.0,5.0,WUR
MMOXZBCLCQITDF,c1ccccc1,192.138412475586,31.0,3.0,1.0,1.0,5.0,20.310000000000002,0.14285714285714285,1.0,1.0,0.0,0.0,WUR
MOUVJGIRLPZEES,c1ccccc1,272.068389892578,32.0,5.0,1.0,1.0,6.0,64.63,0.3333333333333333,1.0,4.0,0.0,1.0,WUR
MPNJTIZLDHWBFX,c1ccccc1,325.027282714844,34.0,6.0,1.0,1.0,5.0,55.56,0.3684210526315789,2.0,2.0,0.0,3.0,WUR
MXMXHPPIGKYTAR,c1ccsc1,268.118621826172,38.0,4.0,1.0,1.0,5.5,29.1,0.23529411764705882,1.0,1.0,1.0,0.0,WUR
NBMKJKDGKREAPL,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,409.177551269531,57.0,2.0,4.0,0.0,8.0,94.83,0.21428571428571427,0.0,5.0,0.0,1.0,WUR
NDAUXUAQIAJITI,c1ccccc1,240.159408569336,38.0,4.0,1.0,1.0,4.0,72.72,0.23529411764705882,1.0,3.0,0.0,0.0,WUR
NDNUANOUGZGEPO,C1CCNCC1,128.143402099609,26.0,2.0,1.0,0.0,1.0,12.03,0.1111111111111111,1.0,0.0,0.0,0.0,WUR
NHDHVHZZCFYRSB,c1ccc(Oc2ccc(OCCOc3ccccn3)cc2)cc1,322.143768310547,43.0,7.0,3.0,3.0,12.0,40.58,0.16666666666666666,1.0,3.0,0.0,0.0,WUR
NHOWDZOIZKMVAI,c1ccc(C(c2ccccc2)c2cncnc2)cc1,331.039978027344,34.0,3.0,3.0,3.0,12.0,46.010000000000005,0.22727272727272727,2.0,1.0,0.0,2.0,WUR
NHUHCSRWZMLRLA,O=S(=O)(Nc1ccno1)c1ccccc1,268.075256347656,31.0,3.0,2.0,2.0,9.5,98.22,0.3888888888888889,3.0,3.0,1.0,0.0,WUR
NHZLNPMOSADWGC,O=S(=O)(Nc1cnc2ccccc2n1)c1ccccc1,301.075378417969,33.0,3.0,3.0,3.0,13.5,97.97,0.3333333333333333,4.0,2.0,1.0,0.0,WUR
NJKDOADNQSYQEV,c1ccccc1,777.862609863281,53.0,10.0,1.0,1.0,7.0,179.66,0.45161290322580644,3.0,8.0,0.0,3.0,WUR
NKRQJWQYBNTAEV,O=C1CCC[C@]2(CO2)C(=O)O[C@@H]2CC[NH+]3CC=C(CO1)[C@H]23,368.170867919922,51.0,0.0,4.0,0.0,7.0,108.42000000000002,0.3076923076923077,1.0,7.0,0.0,0.0,WUR
NLYNUTMZTCLNOO,c1ccccc1,292.969116210938,25.0,2.0,1.0,1.0,5.0,41.57,0.4,2.0,2.0,0.0,2.0,WUR
NNCAWEWCFVZOGF,C1CC[NH2+]CC1,114.12762069702151,24.0,0.0,1.0,0.0,1.0,0.0,0.125,1.0,0.0,0.0,0.0,WUR
NNJVILVZKWQKPM,c1ccccc1,235.180557250977,39.0,5.0,1.0,1.0,5.0,32.34,0.17647058823529413,2.0,1.0,0.0,0.0,WUR
NNKVPIKMPCQWCG,__ACYCLIC__NNKVPIKMPCQWCG,142.009033203125,15.0,2.0,0.0,0.0,1.0,52.32,0.7142857142857143,1.0,2.0,1.0,0.0,WUR
NOCJXYPHIIZEHN,O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,400.146850585938,48.0,3.0,4.0,3.0,14.5,65.78,0.27586206896551724,3.0,3.0,0.0,2.0,WUR
NPAGDVCDWIYMMC,O=C1C=C2CC[C@@H]3[C@H](CCC4CCC[C@H]43)[C@H]2CC1,275.200576782227,46.0,0.0,4.0,0.0,6.0,37.3,0.1,0.0,2.0,0.0,0.0,WUR
NPECRXRQVYMQGY,c1ccccc1,179.153884887695,31.0,2.0,1.0,1.0,4.0,52.04,0.15384615384615385,2.0,0.0,0.0,0.0,WUR
NQCPECCCWDWTJJ,O=c1cc[nH]cn1,182.12890625,28.0,3.0,1.0,1.0,5.0,48.99,0.3076923076923077,3.0,1.0,0.0,0.0,WUR
NQLVQOSNDJXLKG,c1ccccc1,252.141799926758,38.0,6.0,1.0,1.0,5.0,20.310000000000002,0.17647058823529413,1.0,1.0,1.0,0.0,WUR
NQSMEZJWJJVYOI,O=C(c1ccccc1)c1ccccc1,241.085861206055,30.0,3.0,2.0,2.0,10.0,43.370000000000005,0.16666666666666666,0.0,3.0,0.0,0.0,WUR
NRZWQKGABZFFKE,__ACYCLIC__NRZWQKGABZFFKE,77.0419082641602,13.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,WUR
NTAFJUSDNOSFFY,c1c[nH]cn1,170.092338562012,23.0,2.0,1.0,1.0,4.5,60.96,0.4166666666666667,3.0,2.0,0.0,0.0,WUR
NUPJIGQFXCQJBK,O=C1CN=C(c2ccccn2)N1,306.144958496094,41.0,5.0,2.0,1.0,8.0,100.88,0.3181818181818182,3.0,4.0,0.0,0.0,WUR
NVEPPWDVLBMNMB,C(=C\c1cccs1)/C1=NCCCN1,221.11067199707,31.0,2.0,2.0,1.0,6.5,15.6,0.2,2.0,0.0,1.0,0.0,WUR
NVGOPFQZYCNLDU,O=c1cccnn1-c1ccccc1,304.046081542969,29.0,2.0,2.0,2.0,9.0,46.92,0.4,3.0,1.0,0.0,4.0,WUR
NVKAWKQGWWIWPM,O=C1CCC2[C@H](CC[C@H]3[C@@H]4CCCC4CC[C@H]23)C1,291.231903076172,51.0,0.0,4.0,0.0,5.0,37.3,0.09523809523809523,0.0,2.0,0.0,0.0,WUR
NWBJYWHLCVSVIJ,c1ccc(CNc2[nH]cnc3ncnc2-3)cc1,226.108810424805,28.0,3.0,3.0,1.0,10.5,66.49000000000001,0.29411764705882354,5.0,0.0,0.0,0.0,WUR
NWUWYYSKZYIQAE,c1ccccc1,321.217529296875,51.0,6.0,1.0,1.0,6.0,67.42999999999999,0.21739130434782608,2.0,3.0,0.0,0.0,WUR
NXQDBZGWYSEGFL,c1ccccc1,368.030700683594,40.0,7.0,1.0,1.0,6.0,38.77,0.38095238095238093,1.0,3.0,2.0,1.0,WUR
NYPJDWWKZLNGGM,O=C(Cc1ccccc1)OCc1cccc(Oc2ccccc2)c1,437.16276550293003,52.0,7.0,3.0,3.0,15.0,59.32000000000001,0.16666666666666666,1.0,3.0,0.0,1.0,WUR
NYRMIJKDBAQCHC,O=C1C(c2ccccc2)=COC1c1ccccc1,334.105255126953,38.0,3.0,3.0,2.0,11.0,38.33,0.25,1.0,2.0,0.0,3.0,WUR
NZCRJKRKKOLAOJ,O=C1/C=C\C=C\CCCCCCCC/C=C/OC2Oc3ccc4cc(c5c(nc6ccccn65)c4c3C2=O)N1,786.359313964844,108.0,2.0,6.0,4.0,22.0,198.37999999999997,0.24561403508771928,3.0,11.0,0.0,0.0,WUR
OCQDPIXQTSYZJL,O=C1c2ccccc2C(=O)c2ccccc21,351.205841064453,52.0,8.0,3.0,2.0,11.0,58.199999999999996,0.15384615384615385,2.0,2.0,0.0,0.0,WUR
OIKHXEKXIIAQKY,c1ccc(CCCCn2cncn2)cc1,324.147766113281,44.0,7.0,2.0,2.0,7.5,71.17,0.2727272727272727,3.0,2.0,0.0,1.0,WUR
OJMMVQQUTAEWLP,O=C(NC[C@@H]1CCCCO1)[C@@H]1CCCN1,407.220886230469,61.0,7.0,2.0,0.0,3.0,122.49000000000002,0.3333333333333333,2.0,6.0,1.0,0.0,WUR
OMOLDRXZKFFGJI,c1ccccc1,242.084869384766,31.0,4.0,1.0,1.0,6.0,55.400000000000006,0.3125,1.0,3.0,1.0,0.0,WUR
ONCZDRURRATYFI,C(=NOCc1ccccc1)c1ccccc1,409.137268066406,48.0,7.0,2.0,2.0,11.0,69.48,0.3103448275862069,2.0,4.0,0.0,3.0,WUR
OUPZKGBUJRBPGC,O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,298.103546142578,36.0,6.0,4.0,1.0,10.0,103.59,0.42857142857142855,3.0,6.0,0.0,0.0,WUR
OWDLFBLNMPCXSD,O=C1OCCC1Nc1ccccc1,282.089294433594,35.0,3.0,2.0,1.0,7.0,46.61,0.2631578947368421,1.0,3.0,0.0,1.0,WUR
OWRCNXZUPFZXOS,N=C(Nc1ccccc1)Nc1ccccc1,212.118301391602,29.0,2.0,2.0,2.0,9.0,47.910000000000004,0.1875,3.0,0.0,0.0,0.0,WUR
OWUREPXBPJFMOK,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,685.474304199219,108.0,8.0,1.0,0.0,7.0,139.83,0.2553191489361702,3.0,9.0,0.0,0.0,WUR
OZMMLYFAEKBWEE,c1ccc(CCCN2CCOCC2)cc1,334.2376251220705,55.0,6.0,2.0,1.0,6.0,49.77,0.16666666666666666,1.0,3.0,0.0,0.0,WUR
PFEFOYRSMXVNEL,c1ccccc1,263.236785888672,49.0,0.0,1.0,1.0,4.0,20.23,0.05263157894736842,0.0,1.0,0.0,0.0,WUR
