accession,cs_dir,cs_blob_sha,head_ce_string,head_frag_mode,head_ce_has_percent,head_ce_form,blob_2023_11,title,title_ce_text,title_adduct,api_instrument_type,api_ion_mode,design_row,in_2023_11_tree,blob_identical_2023_11,arm,n_conv_match,n_raw_match
MSBNK-AAFC-AC000825,AAFC,82ffcb214096179778349583d278dfb6c9c6af20,40(NCE),HCD,False,N(NCE),1b30a0c523e750d5886edc2da954d5aab5e14c11,Andrastin D; LC-ESI-ITFT; MS2; CE: 40; R=17500; [M-H]-,40,[M-H]-,LC-ESI-ITFT,NEGATIVE,False,True,False,,,
MSBNK-AAFC-AC000836,AAFC,aadde5387cff2a61e0e73c8cd5c4db7f1554b60b,55(NCE),HCD,False,N(NCE),0801c9e57c04cb6ddaef00c2f7afda256455ea01,Fiscalin C; LC-ESI-ITFT; MS2; CE: 55; R=17500; [M+H]+,55,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000938,AAFC,67649242f83b76460172d0fcfee6b6b65008bd19,30(NCE),HCD,False,N(NCE),31b235a866d835212827b4e74073ade435abf147,Fumonisin Py2; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M-H]-,30,[M-H]-,LC-ESI-ITFT,NEGATIVE,False,True,False,,,
MSBNK-AAFC-AC000511,AAFC,e03478df9def13be9c766208ecde4e335d8f7e62,35(NCE),HCD,False,N(NCE),ebd9b838d5249bbd13ebfa44190dae37b2f1948b,Griseofulvin; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,35,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,3.0
MSBNK-AAFC-AC000025,AAFC,51a2fd5c28db19d943397d36182164ea482b80bb,50(NCE),HCD,False,N(NCE),6eea11596a0ac7651d619c8e1edf1d5d51a1a0c6,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,50,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000340,AAFC,6e2487432b827dff3d8a00b2d34e40c731b89262,40(NCE),HCD,False,N(NCE),f422344bd13f1a610386ba94d3d0dc384bb1c821,Ergocryptine; LC-ESI-ITFT; MS2; CE: 40; R=17500; [M+H]+,40,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000041,AAFC,5328e444aa964de5b2c5c247b76cd7c0547c7722,30(NCE),HCD,False,N(NCE),31c0d9190d464aa69e22ae1775cf218543125c72,Aflatoxin G2; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+Na]+,30,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,key_present_no_ce_match,0.0,0.0
MSBNK-AAFC-AC000469,AAFC,8590d9c848a40dc9c62f39f066ef5c9c6c233df2,35(NCE),HCD,False,N(NCE),c0247780d9fd38a2cf580ab6d463aa89d1f83c23,Enniatin B1; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+Na]+,35,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,raw_only,0.0,3.0
MSBNK-AAFC-AC000241,AAFC,0b327cc4bee67e7cea9403aa441da3e666f58e7d,35(NCE),HCD,False,N(NCE),e11cd867195f0ae15c755d934751af79a8e88e8b,T-2 Toxin; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+Na]+,35,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000670,AAFC,2f34ac243b1618ef6854768a94a61b45e00ac4fe,55(NCE),HCD,False,N(NCE),d5350c6d73c9851d9be0f44dd8e58588e2418235,Penicillic Acid; LC-ESI-ITFT; MS2; CE: 55; R=17500; [M+H]+,55,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
