compound_id,dirs,n_records,recorded_key14,parent_key,scaffold_group,smiles,n_distinct_nce,nce_values,in_msg15_all_recorded,in_msg15_all_parent,in_msg15_train_recorded,in_msg15_val_recorded,in_msg15_test_recorded,in_msg15_simchallenge_all,in_muru_v2_development_population,in_muru_exposed_populations_union,in_muru_exposure_registry_full,in_pr7_msnlib_study2_population,in_comparator_common_population,in_msg15_any,excluded_any_key,excluded_scaffold,formula,formula_in_msg
OWHASZQTEFAUJC,Eawag,9,OWHASZQTEFAUJC,OWHASZQTEFAUJC,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)C(Cc2ccccc2)NC(=O)CNC1=O,CO[C@@H](Cc1ccccc1)[C@@H](C)\C=C(C)\C=C\[C@@H]2NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](C)[C@@H](NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]2C)C(O)=O)C(O)=O,9,15;30;45;60;75;90;120;150;180,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C52H72N10O13,False
QAPJKCNKHLDDAK,HBM4EU,6,QAPJKCNKHLDDAK,QAPJKCNKHLDDAK,O=C1C=Cc2cccc3cccc1c23,O=C1C(OC)=C(O)C2=C(O)C=C(C)C3=C2C1=C(O)C=C3O,6,15;20;30;40;50;60,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C15H12O6,True
QTXVAVXCBMYBJW,Eawag,6,QTXVAVXCBMYBJW,QTXVAVXCBMYBJW,O=c1c(Cc2ccccc2)coc2ccccc12,O=C\1c3c(OC(/O)=C/1C(c2ccccc2)CC(=O)C)cccc3,6,15;30;45;60;75;90,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C19H16O4,True
QWENRTYMTSOGBR,Eawag,6,QWENRTYMTSOGBR,QWENRTYMTSOGBR,c1c[nH]nn1,c1cnn[nH]1,6,15;30;45;60;75;90,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C2H3N3,True
SIGQAYSWORHPPH,Eawag,9,SIGQAYSWORHPPH,SIGQAYSWORHPPH,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CCNC(=O)CNC(=O)CNC1=O,COC(Cc1ccccc1)C(C)\C=C(C)\C=C/C2NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(C)C(NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(=C)N(C)C(=O)CCC(NC(=O)C2C)C(O)=O)C(O)=O,9,15;30;45;60;75;90;120;150;180,False,False,False,False,False,False,True,True,True,False,False,False,True,True,C52H71N7O13,False
UJOBWOGCFQCDNV,UFZ,1,UJOBWOGCFQCDNV,UJOBWOGCFQCDNV,c1ccc2c(c1)[nH]c1ccccc12,c1ccc2c(c1)c1ccccc1[nH]2,1,35,False,False,False,False,False,False,False,True,True,False,False,False,True,True,C12H9N,True
UOBYKYZJUGYBDK,UFZ,1,UOBYKYZJUGYBDK,UOBYKYZJUGYBDK,c1ccc2ccccc2c1,C1=CC=C2C=C(C=CC2=C1)C(=O)O,1,35,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C11H8O2,True
VQGHOUODWALEFC,UFZ,1,VQGHOUODWALEFC,VQGHOUODWALEFC,c1ccc(-c2ccccn2)cc1,c1ccc(cc1)c2ccccn2,1,61.67,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C11H9N,True
WEBQKRLKWNIYKK,Eawag,9,WEBQKRLKWNIYKK,WEBQKRLKWNIYKK,__ACYCLIC__WEBQKRLKWNIYKK,CCSCCSP(=O)(OC)OC,9,15;30;45;60;75;90;120;150;180,False,False,False,False,False,False,True,True,True,False,False,False,True,True,C6H15O3PS2,False
XRQHTUDGPWMPKX,Eawag,9,XRQHTUDGPWMPKX,XRQHTUDGPWMPKX,__ACYCLIC__XRQHTUDGPWMPKX,CCOP(=S)(OCC)SCS(=O)CC,9,15;30;45;60;75;90;120;150;180,False,False,False,False,False,False,True,True,True,False,False,False,True,True,C7H17O3PS3,False
YOYAIZYFCNQIRF,Eawag,11,YOYAIZYFCNQIRF,YOYAIZYFCNQIRF,c1ccccc1,c1(c(cccc1Cl)Cl)C#N,6,15;30;45;60;75;90,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C7H3Cl2N,False
ZDVGWHJBNGTLKF,Eawag_Additional_Specs,1,ZDVGWHJBNGTLKF,ZDVGWHJBNGTLKF,O=C1N(Cc2ccccc2)C=NC12CCCC2,CCCCC1=NC2(C(N1CC3=CC=C(C=C3)C(O)=O)=O)CCCC2,1,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C19H24N2O3,True
ZSDSQXJSNMTJDA,Eawag,2,ZSDSQXJSNMTJDA,ZSDSQXJSNMTJDA,c1ccccc1,[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CCC)CCC)C(F)(F)F,1,15,False,False,False,False,False,False,False,False,True,False,False,False,True,True,C13H16F3N3O4,False
