spectrum_id,compound_name,adduct,ion_mode,task_polarity,source_file,scan,create_time,precursor_mz_gnps,exact_mass_gnps,structure_route,smiles_used,key,scaffold_group,formula_parent,mono_parent,theoretical_mz,precursor_err_da,mh_mz_theoretical,elements,n_components_raw,charged_raw,charged_parent,heavy_atoms,pool_library_keys,coiso_other_ion_within_0.7,coiso_isomer_in_pool,in_msg15_recorded_all,in_msg15_parent_all,in_msg15_simchallenge_all,in_msg15_recorded_train,in_msg15_recorded_val,in_msg15_recorded_test,in_muru_registry_all,in_muru_registry_direct_reason,in_muru_exposed_union,in_pr7_study2_population,in_comparator_common_population,in_msnlib_9lib,in_msnlib_v1_0_4lib,in_multims2_reserved_validation_secondary,in_muru_exposed_populations_union,in_muru_dev_compounds_csv_keys,in_pop_ENTACT-MIX-LISTS-499-503-505,in_pop_LCSB-ALL-MASSBANK-V1-EXPOSURE-SET,in_pop_LCSB-CONFIRMATION,in_pop_LCSB-DEV,in_pop_LCSB-NEG,in_pop_LCSB-POS-V2-SPECTRA,in_pop_LCSB-RAW-MIX-REPLICATE-SET-92,in_pop_LCSB-RAW-MIXES-499-503-505,in_pop_MultiMS2-ANCHOR,in_pop_V2-DEVELOPMENT-POPULATION,in_pop_WUR-DEV-ANALYSIS,in_pop_WUR-DEV-HOLD,in_pop_WUR-NEG-D6-EXCLUDED,in_pop_WUR-NEG-DEV,in_pop_WUR-POS-IDENTITY,in_pop_WUR-SEALED,sg_in_msg15_scaffold_groups,sg_in_muru_registry_scaffold_groups,sg_in_muru_dev_scaffold_groups,sg_in_pr7_scaffold_groups,sg_in_comparator_scaffold_groups,in_msg15_any_route,formula_in_msg,formula_and_scaffold_in_msg,excluded_key_level_conservative,excluded_scaffold_level_muru_pr7_comparator
CCMSLIB00011906837,Chromomycin A3,M+Cl-,Negative,Negative,Pool4_20230523055945.mzML,4605,2023-09-18 11:43:29.0,1217.48,1182.51,gnps_smiles,CC1C(C(CC(O1)OC2C(CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)OC5CC(C(C(O5)C)OC(=O)C)OC6CC(C(C(O6)C)OC)O)O)C(C(=O)C(C(C)O)O)OC)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)OC(=O)C)(C)O)O,ZYVSOIYQKUDENJ,O=C1c2cc3ccc(OC4CC(OC5CCCCO5)CCO4)cc3cc2CCC1OC1CC(OC2CC(OC3CCCCO3)CCO2)CCO1,C57H82O26,1182.509432744,1217.4788347439999,0.001165256000149384,1183.516708744,C;H;O,1.0,False,False,83.0,,,,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
CCMSLIB00011906838,Concanamycin C,M+Cl-,Negative,Negative,Pool4_20230523055945.mzML,5572,2023-09-18 11:43:29.0,857.482,822.513,gnps_smiles,CCC1C(C(CC(=CC=CC(C(OC(=O)C(=CC(=CC(C1O)C)C)OC)C(C)C(C(C)C2(CC(C(C(O2)C=CC)C)OC3CC(C(C(O3)C)O)O)O)O)OC)C)C)O,XKYYLWWOGLVPOR,O=C1C=CC=CCCCCCCC=CC=CCC(CCCC2CC(OC3CCCCO3)CCO2)O1,C45H74O13,822.5129424280002,857.4823444280003,-0.0003444280002895539,823.5202184280002,C;H;O,1.0,False,False,58.0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
CCMSLIB00011906839,Ferrirhodin,M+Cl-,Negative,Negative,Pool4_20230523055945.mzML,1939,2023-09-18 11:43:29.0,1045.35,1010.38,gnps_smiles,O=C1NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC1)CO)CO)CCCN4[O-][Fe+3]56(O=C(C=C(C)CCO)N([O-]5)CCC2)(O=C4C=C(C)CCO)O=C(C=C(C)CCO)N([O-]6)CCC3,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00011906840,FR-900523,M+Cl-,Negative,Negative,Pool4_20230523055945.mzML,5543,2023-09-18 11:43:29.0,812.436,777.466,gnps_smiles,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC,UBQBKOBGHRTZRG,O=C1CC=CCCCCC2CCCC(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C=CC2CCCCC2)CCC1,C42H67NO12,777.4663265840001,812.4357285840001,0.00027141599991864496,778.4736025840001,C;H;N;O,1.0,False,False,55.0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True
CCMSLIB00011906841,Genistin,M+Cl-,Negative,Negative,Pool4_20230523055945.mzML,1810,2023-09-18 11:43:29.0,467.075,432.106,gnps_smiles,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O,ZCOLJUOHXJRHDI,O=c1c(-c2ccccc2)coc2cc(OC3CCCCO3)ccc12,C21H20O10,432.10564683999985,467.07504883999985,-4.883999986304843e-05,433.11292283999984,C;H;O,1.0,False,False,31.0,,,,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True
CCMSLIB00011906842,Actinoviridin A-Dimethylester,M+Cl-,Negative,Negative,Pool5_20230523061637.mzML,3322,2023-09-18 11:43:29.0,395.029,360.059,no_structure,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00011906843,Aurantimycin-A,M+Cl-,Negative,Negative,Pool5_20230523061637.mzML,5671,2023-09-18 11:43:29.0,891.424,856.454,gnps_smiles,CC1C(CCC(O1)(C(C)(C(=O)NC2C(OC(=O)C(N(C(=O)C3CCCNN3C(=O)CNC(=O)C(N(C(=O)C4CCCNN4C2=O)O)COC)O)C)C(C)C)O)O)CC(C)C,JSVPJXYQXDNLRD,O=C1CNC(=O)C2CCCNN2C(=O)C(NC(=O)CC2CCCCO2)COC(=O)CNC(=O)C2CCCNN2C(=O)CN1,C38H64N8O14,856.4541987280002,891.4236007280001,0.0003992719998677785,857.4614747280002,C;H;N;O,1.0,False,False,60.0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00011906845,Ferrirubin,M+Cl-,Negative,Negative,Pool5_20230523061637.mzML,1690,2023-09-18 11:43:29.0,1045.35,1010.38,gnps_smiles,CC(=CC(=O)N(CCCC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)N1)CO)CO)CCCN(C(=O)C=C(C)CCO)O)CCCN(C(=O)C=C(C)CCO)O)O)CCO.[Fe],BTHUUTBVHUBHNR,O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,C41H67N9O17,957.4654916840002,992.4348936840001,52.915106315999765,958.4727676840002,C;H;N;O,2.0,False,False,67.0,,,,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True
CCMSLIB00011906846,Ferulic acid,M+Cl-,Negative,Negative,Pool5_20230523061637.mzML,1372,2023-09-18 11:43:29.0,229.027,194.058,gnps_smiles,COC1=C(C=CC(=C1)C=CC(=O)O)O,KSEBMYQBYZTDHS,c1ccccc1,C10H10O4,194.0579088,229.0273108,-0.000310800000022482,195.0651848,C;H;O,1.0,False,False,14.0,,,,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True
CCMSLIB00011906847,Herbicolin A,M+Cl-,Negative,Negative,Pool5_20230523061637.mzML,3919,2023-09-18 11:43:29.0,1334.7,1299.73,gnps_smiles,CCCCCCCCCCCC(CC(=O)NC(=CC)C(=O)NC1C(OC(=O)C(NC(=O)C(N(C(=O)CNC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC1=O)C(C)O)CC(C)C)CCC(=O)N)C)C(C)O)CCCN=C(N)N)C)OC2C(C(C(C(O2)CO)O)O)O,GMKUYPOKOFFZTR,C=C(NC(=O)CCOC1CCCCO1)C(=O)NC1COC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC1=O,C58H101N13O20,1299.7285826319996,1334.6979846319996,0.002015368000456874,1300.7358586319997,C;H;N;O,1.0,False,False,91.0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
