s4_row,cyanometdb_id,name,formula,smiles,inchikey_s4,unit_id,unit_is_group,level,purity,source,hash_prev_massbank,muru_key,scaffold_group,ik_s4_valid_format,ik14_s4,mh_theor,formula_rdkit,inchikey_rdkit_raw,heavy_atoms,formula_match,ik14_rdkit_eq_s4,inchikeys_in_records,record_ik14_contains_s4_ik14,in_msg15_any_route,in_msg15_simchallenge,in_muru_registry,in_muru_exposed_populations,muru_population_hits,in_study2,in_comparator,in_msnlib_9lib,msg15_same_formula_keys,n_msg15_same_formula_other_key,scaf_in_muru_registry,scaf_in_study2,scaf_in_comparator,scaf_in_msg15,n_mh_records,mh_nce_set,n_mh_distinct_nce,n_mh_distinct_nce_first_mass_40,n_mh_distinct_nce_muru_window_ok,has_nce20_and_nce60,has_nce20_and_nce60_muru_window_ok,has_nce20_and_nce60_first_mass_40,n_mh_records_with_scan_range,mh_precursor_mz_median,mh_instruments,mh_series,mh_fragmentation,has_mh,mh_record_vs_theor_da,msg15_nn_tanimoto
10,702,Brunsvicamide C,C45H64N8O10,CC[C@H]([C@H](C(O)=O)NC(N[C@@H]1C(N[C@H](C(N[C@H](C(N([C@@H](C(N[C@H](C(NCCCC1)=O)CC2=CC=CC=C2)=O)CC(C3=C(NC([H])=O)C=CC=C3)=O)C)=O)CC(C)C)=O)C(C)C)=O)=O)C,HQMATMGVGJKSPD-MMHNDARSSA-N,CMDB702,False,1,reference material,Tychonema sp.,False,HQMATMGVGJKSPD,O=C1CCCCCNC(=O)C(Cc2ccccc2)NC(=O)C(CC(=O)c2ccccc2)NC(=O)CNC(=O)CN1,True,HQMATMGVGJKSPD,877.4818167150001,C45H64N8O10,HQMATMGVGJKSPD-MMHNDARSSA-N,63.0,True,True,HQMATMGVGJKSPD-MMHNDARSSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,False,9.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,0.0,True,False,False,0.0,877.4818,QExactive Plus,MSBNK-MLU-ED,,True,1.6715000128897373e-05,0.5454545454545454
11,861,Nodularin-R,C41H60N8O10,C/C=C\1/C(=O)N[C@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H]([C@@H](C(=O)N[C@H](CCC(=O)N1C)C(=O)O)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C)CCCN=C(N)N)C)C(=O)O,IXBQSRWSVIBXNC-HSKGSTCASA-N,CMDB861,False,1,reference material,"commercial, Alexis Biochemicals",True,IXBQSRWSVIBXNC,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC1=O,True,IXBQSRWSVIBXNC,825.4505165869999,C41H60N8O10,IXBQSRWSVIBXNC-HSKGSTCASA-N,59.0,True,True,IXBQSRWSVIBXNC-HSKGSTCASA-N,True,True,True,True,True,V2-DEVELOPMENT-POPULATION|WUR-DEV-ANALYSIS|WUR-POS-IDENTITY,False,False,False,IXBQSRWSVIBXNC,0,True,False,False,True,18.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,0.0,True,False,True,9.0,825.4505,Exploris 240 Thermo Scientific,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,HCD,True,1.658699989093293e-05,1.0
12,867,Anabaenopeptin B,C41H60N10O9,C[C@H]1C(N[C@@H](CC2=CC=CC=C2)C(NCCCC[C@@H](NC(N[C@@H](C(O)=O)CCC/N=C(N)\N)=O)C(N[C@@H](C(C)C)C(N[C@@H](CCC3=CC=C(O)C=C3)C(N1C)=O)=O)=O)=O)=O,ZDOVFDLIJJGVQM-RRKFYBCGSA-N,CMDB867,False,1,Bioreagent,"commercial, CyanoBioTech now Simris",True,ZDOVFDLIJJGVQM,O=C1CCCCCNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C(CCc2ccccc2)NC(=O)CN1,True,ZDOVFDLIJJGVQM,837.4617499670002,C41H60N10O9,ZDOVFDLIJJGVQM-RRKFYBCGSA-N,60.0,True,True,ZDOVFDLIJJGVQM-RRKFYBCGSA-N,True,True,True,False,False,,False,False,False,ZDOVFDLIJJGVQM,0,False,False,False,True,9.0,"15,20,25,30,35,40,50,60,70",9.0,0.0,0.0,True,False,False,9.0,837.4617,Exploris 240 Thermo Scientific,MSBNK-EAWAG-ED,HCD,True,4.996700022275036e-05,1.0
13,923,Nostocyclopeptide A2,C40H54N8O9,CC[C@@H]([C@H]1C(N[C@@H](CO)C(N2C[C@@H](C)C[C@H]2C(N[C@@H](CC3=CC=CC=C3)/C=N\[C@@H](CC4=CC=C(O)C=C4)C(NCC(N[C@H](CCC(N)=O)C(N1)=O)=O)=O)=O)=O)=O)C,OYHPNVXZUBWKJE-NDJHOONXSA-N,CMDB923,False,1,crude extract,Nostoc sp. ATCC53789,False,OYHPNVXZUBWKJE,O=C1CNC(=O)CNC(=O)C(Cc2ccccc2)N=CC(Cc2ccccc2)NC(=O)C2CCCN2C(=O)CNC(=O)CN1,True,OYHPNVXZUBWKJE,791.4086517750002,C40H54N8O9,OYHPNVXZUBWKJE-NDJHOONXSA-N,57.0,True,True,OYHPNVXZUBWKJE-NDJHOONXSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,False,18.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,0.0,True,False,True,0.0,791.4087,Exploris 240 Thermo Scientific,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,,True,4.8224999773083255e-05,0.4336283185840708
14,924,Kasumigamide,C40H50N8O9,C1=CC=C(C=C1)C[C@H](C(=O)NCCC(=O)N[C@H](CC2=CNC3=CC=CC=C32)[C@H](CC(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H]([C@@H](C4=CC=CC=C4)O)C(=O)O)O)O,WUXSZVRSSSITPJ-XDWCYEPESA-N,CMDB924,False,1,crude extract,"industrial source (CyanoBiorech, now SIMRIS)",False,WUXSZVRSSSITPJ,O=C(CCc1ccccc1)NCCC(=O)NC(CCC(=O)NCC(=O)NCCc1ccccc1)Cc1c[nH]c2ccccc12,True,WUXSZVRSSSITPJ,787.3773516470003,C40H50N8O9,WUXSZVRSSSITPJ-LHXUXNRLSA-N,57.0,True,True,WUXSZVRSSSITPJ-XDWCYEPESA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,False,8.0,"15,20,25,30,40,50,60,70",8.0,0.0,0.0,True,False,False,0.0,787.3774,QExactive Plus,MSBNK-MLU-ED,,True,4.8352999669987184e-05,0.4260869565217391
15,963,Carbamidocyclophane E,C38H58N2O8,CCCCC1CCCC[C@@H]([C@H](C2=CC(=C(C(CCCC[C@@H]([C@H](C3=CC(=C1C(=C3)O)O)OC(=O)N)C)CCCC)C(=C2)O)O)OC(=O)N)C,MMNoSSIKVRRNRZ-MJVHAFATSA-N,CMDB963,False,1,reference material,Nostoc sp.,False,MMNOSSIKVRRNRZ,c1cc2ccc1CCCCCCCc1ccc(cc1)CCCCCCC2,False,MMNOSSIKVRRNRZ,671.426593283,C38H58N2O8,MMNOSSIKVRRNRZ-MJVHAFATSA-N,48.0,True,True,MMNOSSIKVRRNRZ-MJVHAFATSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,True,,,,,,,,,,,,,,False,,0.5918367346938775
16,969,Carbamidocyclophane D,C38H57ClN2O8,CCCCC1CCCC[C@@H]([C@H](C2=CC(=C(C(CCCC[C@@H]([C@H](C3=CC(=C1C(=C3)O)O)OC(=O)N)C)CCCCCl)C(=C2)O)O)OC(=O)N)C,YSZWKXRRCFZDNI-MJVHAFATSA-N,CMDB969,False,1,reference material,Nostoc sp.,False,YSZWKXRRCFZDNI,c1cc2ccc1CCCCCCCc1ccc(cc1)CCCCCCC2,True,YSZWKXRRCFZDNI,705.387620931,C38H57ClN2O8,YSZWKXRRCFZDNI-MJVHAFATSA-N,49.0,True,True,YSZWKXRRCFZDNI-MJVHAFATSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,True,,,,,,,,,,,,,,False,,0.5272727272727272
17,972,Carbamidocyclophane C,C38H56Cl2N2O8,CCCCC1CCCC[C@@H]([C@H](C2=CC(=C(C(CCCC[C@@H]([C@H](C3=CC(=C1C(=C3)O)O)OC(=O)N)C)CCCC(Cl)Cl)C(=C2)O)O)OC(=O)N)C,GTNWJJTZQLWLEN-BSSQUUOISA-N,CMDB972,False,1,Bioreagent,Nostoc sp.,False,GTNWJJTZQLWLEN,c1cc2ccc1CCCCCCCc1ccc(cc1)CCCCCCC2,True,GTNWJJTZQLWLEN,739.348648579,C38H56Cl2N2O8,GTNWJJTZQLWLEN-BSSQUUOISA-N,50.0,True,True,GTNWJJTZQLWLEN-BSSQUUOISA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,True,,,,,,,,,,,,,,False,,0.5087719298245614
18,978,Carbamidocyclophane B,C38H55Cl3N2O8,C[C@H]1CCCCC(C2=C(C=C(C=C2O)[C@@H]([C@H](CCCCC(C3=C(C=C([C@@H]1OC(=O)N)C=C3O)O)CCCC(Cl)Cl)C)OC(=O)N)O)CCCCCl,PXEFELGJKKNAPC-BSSQUUOISA-N,CMDB978,False,1,Bioreagent,Nostoc sp.,False,PXEFELGJKKNAPC,c1cc2ccc1CCCCCCCc1ccc(cc1)CCCCCCC2,True,PXEFELGJKKNAPC,773.3096762269998,C38H55Cl3N2O8,PXEFELGJKKNAPC-BSSQUUOISA-N,51.0,True,True,PXEFELGJKKNAPC-BSSQUUOISA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,True,,,,,,,,,,,,,,False,,0.41935483870967744
19,983,Carbamidocyclophane A,C38H54Cl4N2O8,C[C@H]1CCCCC(C2=C(C=C(C=C2O)[C@@H]([C@H](CCCCC(C3=C(C=C([C@@H]1OC(=O)N)C=C3O)O)CCCC(Cl)Cl)C)OC(=O)N)O)CCCC(Cl)Cl,KQQDTKLGLAIGOF-TXPPAELQSA-N,CMDB983,False,1,Bioreagent,Nostoc sp.,False,KQQDTKLGLAIGOF,c1cc2ccc1CCCCCCCc1ccc(cc1)CCCCCCC2,True,KQQDTKLGLAIGOF,807.270703875,C38H54Cl4N2O8,KQQDTKLGLAIGOF-TXPPAELQSA-N,52.0,True,True,KQQDTKLGLAIGOF-TXPPAELQSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,True,,,,,,,,,,,,,,False,,0.43859649122807015
