unique_sample_id,source_zip,member,file,n_candidates,file_sha256
pluskal_mce_1D1_F11_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_F11_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_F11_id.mzML,1,e1b261dc834181529cd52ece8b7f0e961ef80d940620985d5a78fabbe8b365fa
pluskal_mce_1D1_F18_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_F18_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_F18_id.mzML,1,eef331ffe7b63a3d1bb28acf31723fd6c20b67f6ab5f0249e4c89f5608331f55
pluskal_mce_1D1_F7_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_F7_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_F7_id.mzML,1,18a41088fdd7af64c6c426f5962bd946b7b50f99d26819db44915c6725ce8df3
pluskal_mce_1D1_G11_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_G11_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_G11_id.mzML,1,6906a7fe7dc40868e20bc84e51199a6f231d7caf02123f5bdda9dc331a6e467b
pluskal_mce_1D1_G3_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_G3_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_G3_id.mzML,1,397df2390b854a4ad9d1bc14937d4433f5163f344fa811695125452ddde74033
pluskal_mce_1D1_G6_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_G6_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_G6_id.mzML,1,2636a279fc8e7c757d7245aeda1a8389bf0cc85c1462ba68f9767a4246d225f3
pluskal_mce_1D1_H17_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_H17_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_H17_id.mzML,1,a54b861403badfc28fe532d2cbfc6af8f32947300935f35c44201ed66f51dd1c
pluskal_mce_1D1_H1_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_H1_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_H1_id.mzML,1,4135544cf9d8185572506532555dbf75bf2d7ae69a6d5366e6ad14d82b2bc43d
pluskal_mce_1D1_H21_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_H21_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_H21_id.mzML,1,eb910cede32de5430ea0e39230cc61c4a8f570040b77c6c69a7bba14e98a815c
pluskal_mce_1D1_H4_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_H4_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_H4_id.mzML,1,ec831549f3e5921bf9fa29843c5f863c0967b42175b0b81ce761f5f4c4a0e495
