cell_id,c_gen_level,mu_ceil_level,n_worlds,n_fits,contact_rate,contact_rate_wilson_lo,contact_rate_wilson_hi,unresolved_rate,unresolved_rate_wilson_lo,unresolved_rate_wilson_hi,boundary_limited_rate,boundary_limited_rate_wilson_lo,boundary_limited_rate_wilson_hi,false_m0_rejection_rate,false_m0_rejection_rate_wilson_lo,false_m0_rejection_rate_wilson_hi,evaluable_M3_mean,evaluable_M3_median,mu_max_at_clip_share_mean,pin_at_ceiling_share_mean
g1e3_c1e3,g1e3,c1e3,60,64800,0.031774691358024694,0.030451717672269923,0.033153176204891666,0.030524691358024693,0.029227759889649686,0.03187728218315641,0.7666666666666667,0.6456372962239805,0.8556043826335717,0.0,0.0,0.06017185214208986,19.483333333333334,21.0,0.01388888888888888,0.1733333333333333
g1e3_c1e4,g1e3,c1e4,60,64800,0.030432098765432097,0.029137119414505815,0.03178274845057023,0.029089506172839508,0.027823205621606478,0.03041163623138405,0.7,0.5749129205308552,0.8010183386123089,0.0,0.0,0.06017185214208986,19.9,21.0,0.01388888888888888,0.16527777777777775
g1e3_copen,g1e3,copen,60,64800,0.01902777777777778,0.018004013183974862,0.020108564762351726,0.0179320987654321,0.016938550337510967,0.018982799484010195,0.43333333333333335,0.3157239680468677,0.5589656122387444,0.0,0.0,0.06017185214208986,22.85,24.0,0.01388888888888888,0.09685185185185181
g1e4_c1e3,g1e4,c1e3,60,64800,0.03195987654320988,0.030633092906145177,0.03334214938647649,0.03058641975308642,0.029288188673548515,0.031940302871077596,0.7666666666666667,0.6456372962239805,0.8556043826335717,0.0,0.0,0.06017185214208986,19.45,21.0,0.013333333333333324,0.17453703703703702
g1e4_c1e4,g1e4,c1e4,60,64800,0.030601851851851852,0.029303296093977,0.03195605781860412,0.029382716049382716,0.028110091622168463,0.030711135221967178,0.7,0.5749129205308552,0.8010183386123089,0.0,0.0,0.06017185214208986,19.816666666666666,21.0,0.013333333333333324,0.16638888888888886
g1e4_copen,g1e4,copen,60,64800,0.01927469135802469,0.01824424528814277,0.020362130545463913,0.018117283950617284,0.017118561553764212,0.019173136683217018,0.4166666666666667,0.30064278558341617,0.5427191897735989,0.0,0.0,0.06017185214208986,22.833333333333332,24.0,0.013333333333333324,0.09842592592592589
gnone_c1e3,gnone,c1e3,60,64800,0.03455246913580247,0.03317357482062215,0.035986545288440516,0.033317901234567904,0.03196354193484577,0.03472758873781642,0.7666666666666667,0.6456372962239805,0.8556043826335717,0.0,0.0,0.06017185214208986,19.05,20.0,0.0,0.19064814814814815
gnone_c1e4,gnone,c1e4,60,64800,0.03344135802469136,0.03208452283767442,0.03485350677862782,0.03216049382716049,0.030829596418484775,0.03354685665755196,0.7,0.5749129205308552,0.8010183386123089,0.0,0.0,0.06017185214208986,19.4,21.0,0.0,0.18398148148148147
gnone_copen,gnone,copen,60,64800,0.021913580246913582,0.020814384875734653,0.023069455878178064,0.020771604938271605,0.01970158871640913,0.021898436808833143,0.43333333333333335,0.3157239680468677,0.5589656122387444,0.0,0.0,0.06017185214208986,22.333333333333332,24.0,0.0,0.11481481481481477
