n,accession,source_url,repo,release,requested_blob_sha1,filename,bytes,sha256,git_blob_sha1_recomputed,blob_sha_verified,status,error
15,MSBNK-Eawag-EQ01107104,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/d77331953bdd018fc63cf64fa1eac780435458ea,MassBank/MassBank-data,2024.11,d77331953bdd018fc63cf64fa1eac780435458ea,MSBNK-Eawag-EQ01107104.txt,2132,e778f1cf6b7c91394ef6d4ce291c79f2b936c6217a537d4d3a0f4acdc49cbd50,d77331953bdd018fc63cf64fa1eac780435458ea,True,ok,
16,MSBNK-Eawag-EQ01109402,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/d9ef62119d0d4cc29fe56c5daca936ba10d91302,MassBank/MassBank-data,2024.11,d9ef62119d0d4cc29fe56c5daca936ba10d91302,MSBNK-Eawag-EQ01109402.txt,2894,7fe0731d9982ccb52553de100647245fe6166a59dc0577a732bed3bde1ec8f62,d9ef62119d0d4cc29fe56c5daca936ba10d91302,True,ok,
17,MSBNK-Eawag-EQ01109404,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/533f002c4cc221df7cf627e941e924e6401763b1,MassBank/MassBank-data,2024.11,533f002c4cc221df7cf627e941e924e6401763b1,MSBNK-Eawag-EQ01109404.txt,2554,2f214f71d6385278c4f3b82e5ef269c44ef4cef3c1056b7b8d17c2d9a87365db,533f002c4cc221df7cf627e941e924e6401763b1,True,ok,
18,MSBNK-Eawag-EQ01109502,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/d4db055ccc83d024f3a44add926ac790e784740d,MassBank/MassBank-data,2024.11,d4db055ccc83d024f3a44add926ac790e784740d,MSBNK-Eawag-EQ01109502.txt,2404,bc7e5833368fbd78cdee901cb56688c18b3dfb23e422614c6c8b6e4a80ec8a1f,d4db055ccc83d024f3a44add926ac790e784740d,True,ok,
19,MSBNK-Eawag-EQ01109504,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/1134d1259c50ffbf474b917743aae46e8ab86cb0,MassBank/MassBank-data,2024.11,1134d1259c50ffbf474b917743aae46e8ab86cb0,MSBNK-Eawag-EQ01109504.txt,2956,e1fc2cde92d3b7f6ca4a3824a20e123985aac39a1a7e9a69416879d4980e32c1,1134d1259c50ffbf474b917743aae46e8ab86cb0,True,ok,
20,MSBNK-Eawag-EQ01111802,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/2d2f4b8c356c54d8eb4869f53df7e2b058dc07e3,MassBank/MassBank-data,2024.11,2d2f4b8c356c54d8eb4869f53df7e2b058dc07e3,MSBNK-Eawag-EQ01111802.txt,2140,5ed0a20d41f8713e40f02329f7f36af9686e6298a790510c132a71ec8e5dd677,2d2f4b8c356c54d8eb4869f53df7e2b058dc07e3,True,ok,
21,MSBNK-Eawag-EQ01111804,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/62ee28bba1b11959bd900f5f6c061d6164db4dd3,MassBank/MassBank-data,2024.11,62ee28bba1b11959bd900f5f6c061d6164db4dd3,MSBNK-Eawag-EQ01111804.txt,2087,39b539fe1a8bcc59722ffcac8ed005808a7119fdaaecd84915e4171ff513774d,62ee28bba1b11959bd900f5f6c061d6164db4dd3,True,ok,
22,MSBNK-Eawag-EQ01115504,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/3f34f9f20225e8e3846eb8b068546b4fac7ea753,MassBank/MassBank-data,2024.11,3f34f9f20225e8e3846eb8b068546b4fac7ea753,MSBNK-Eawag-EQ01115504.txt,2154,f04a950da3dc7135b3342d541fe2f90157f74817a5053210f6aa82afeea99f1e,3f34f9f20225e8e3846eb8b068546b4fac7ea753,True,ok,
23,MSBNK-Eawag-EQ01115507,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/c29d8fa82382d3906ed37fc8f05094b578a286a9,MassBank/MassBank-data,2024.11,c29d8fa82382d3906ed37fc8f05094b578a286a9,MSBNK-Eawag-EQ01115507.txt,2205,35be066200ea808413f574466a1d3310f6a76ec781303d7f7ed26b63e301947d,c29d8fa82382d3906ed37fc8f05094b578a286a9,True,ok,
24,MSBNK-Eawag-EQ01115604,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/f7ed84266687b942e45f216c8c32582f3d404573,MassBank/MassBank-data,2024.11,f7ed84266687b942e45f216c8c32582f3d404573,MSBNK-Eawag-EQ01115604.txt,3014,96f96da42bde6e2c463c1f912de49fb9b11347cdd00b516b8d6844fcd6ec2adc,f7ed84266687b942e45f216c8c32582f3d404573,True,ok,
25,MSBNK-Eawag-EQ01115607,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/37bd0c9ca723894bc1b3aec8ff34af5897cc1af9,MassBank/MassBank-data,2024.11,37bd0c9ca723894bc1b3aec8ff34af5897cc1af9,MSBNK-Eawag-EQ01115607.txt,2244,9fc5aec09ce50929533c976ffd3f42c41558427258c13cf8a55eb29297f882b2,37bd0c9ca723894bc1b3aec8ff34af5897cc1af9,True,ok,
26,MSBNK-Eawag-EQ01141802,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/aa9ab86a5ab83e2859e9022db4d9d65d1b6b5132,MassBank/MassBank-data,2024.06,aa9ab86a5ab83e2859e9022db4d9d65d1b6b5132,MSBNK-Eawag-EQ01141802.txt,2155,f4f9a87f8e0c9b52a843478c8320e3f81be2fd625419b4116b02450c492f4684,aa9ab86a5ab83e2859e9022db4d9d65d1b6b5132,True,ok,
27,MSBNK-Eawag-EQ01141804,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/e6ca1cbcde03312fcb14a375cc4cc78d06ef6f68,MassBank/MassBank-data,2024.06,e6ca1cbcde03312fcb14a375cc4cc78d06ef6f68,MSBNK-Eawag-EQ01141804.txt,2329,c060a6b4bf16ea780dbaa974651c4251b6560e7e9a287b9c558a6372315162df,e6ca1cbcde03312fcb14a375cc4cc78d06ef6f68,True,ok,
28,MSBNK-Eawag-EQ01147902,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/29f93c3226ae1128694c1552091d7c8cf5ca55bf,MassBank/MassBank-data,2024.06,29f93c3226ae1128694c1552091d7c8cf5ca55bf,MSBNK-Eawag-EQ01147902.txt,2406,7abae248eeb50243094b9d4f987e3a84811690f276e0e94872e96026abf56be0,29f93c3226ae1128694c1552091d7c8cf5ca55bf,True,ok,
29,MSBNK-Eawag-EQ01147904,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/7a9066d069df56dc6a39c5c031f3b132456c5dd9,MassBank/MassBank-data,2024.06,7a9066d069df56dc6a39c5c031f3b132456c5dd9,MSBNK-Eawag-EQ01147904.txt,2451,41362d83cc9e79e72c6897870039727971b187921bc541515c8cb7dc535d857a,7a9066d069df56dc6a39c5c031f3b132456c5dd9,True,ok,
