compound_id,scaffold_group,formula,theoretical_mh,nce,K1,K2,K3,abs_K1_K2,abs_K2_K3,abs_K1_K3,d_K1_K2,d_K2_K3,d_K1_K3,in_null_region_450_550,mass_within_5pct_of_500_(475.0_to_525.0),mass_within_10pct_of_500_(450.0_to_550.0),mass_within_20pct_of_500_(400.0_to_600.0)
HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,C13H18O2,207.13795628288,30.0,30.0,12.4282773769728,12.0,17.5717226230272,0.4282773769727992,18.0,4.862667529707017,0.644218693692556,4.8375024284770305,False,False,False,False
HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,C13H18O2,207.13795628288,60.0,60.0,24.8565547539456,24.0,35.1434452460544,0.8565547539455984,36.0,5.534191531618248,1.2696863899524482,5.629349430315546,False,False,False,False
HVLLSGMXQDNUAL,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,C18H15O3P,311.08315743688,30.0,30.0,18.6649894462128,18.0,11.3350105537872,0.6649894462128003,12.0,4.636815553422634,0.9934078688244776,4.619428913326835,False,False,False,False
HVLLSGMXQDNUAL,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,C18H15O3P,311.08315743688,60.0,60.0,37.3299788924256,37.0,22.6700211075744,0.32997889242560063,23.0,5.274016214820519,0.49734456421396334,5.199474846948168,False,False,False,False
JEVCLNJEBFWVPD,c1ccc(SSc2ccccc2)cc1,C16H16N2O2S2,333.07259621888,30.0,30.0,19.9843557731328,19.0,10.015644226867199,0.9843557731328012,11.0,4.679749953507034,1.4500193573530402,4.6544300943067745,False,False,False,False
JEVCLNJEBFWVPD,c1ccc(SSc2ccccc2)cc1,C16H16N2O2S2,333.07259621888,60.0,60.0,39.9687115462656,39.0,20.031288453734398,0.9687115462656024,21.0,5.130399452842208,1.42813507709272,5.333144826503071,False,False,False,False
KGVPNLBXJKTABS,O=c1cco[nH]1,C4H5NO2,100.03930486688,30.0,30.0,6.0023582920128,6.0,23.9976417079872,0.002358292012799801,24.0,4.955648140796047,0.0035647554610599404,4.955170627870246,False,False,False,False
KGVPNLBXJKTABS,O=c1cco[nH]1,C4H5NO2,100.03930486688,60.0,60.0,12.0047165840256,12.0,47.9952834159744,0.004716584025599602,48.0,5.913522725975407,0.007129507749712964,5.913165915817168,False,False,False,False
KUAUJXBLDYVELT,C(COCC1CO1)COCC1CO1,C11H20O4,217.14343558688,30.0,30.0,13.028606135212799,13.0,16.971393864787203,0.02860613521279909,17.0,4.928830062491053,0.043239626753300314,4.925325528064604,False,False,False,False
KUAUJXBLDYVELT,C(COCC1CO1)COCC1CO1,C11H20O4,217.14343558688,60.0,60.0,26.057212270425598,26.0,33.942787729574405,0.05721227042559818,34.0,5.285051065307094,0.08647359178754395,5.2990248865705025,False,False,False,False
LFZSOJABLBVGRJ,O=C1Nc2ccc(=O)[nH]c2N(C2CC2)c2ncccc21,C15H14N4O2,283.11895215488,30.0,30.0,16.987137129292798,16.0,13.012862870707202,0.9871371292927975,14.0,4.690701154702981,1.4539043230653392,4.857905518117607,False,False,False,False
LFZSOJABLBVGRJ,O=C1Nc2ccc(=O)[nH]c2N(C2CC2)c2ncccc21,C15H14N4O2,283.11895215488,60.0,60.0,33.974274258585595,33.0,26.025725741414405,0.974274258585595,27.0,5.079983918369005,1.4359229216339,5.426603804908814,False,False,False,False
LOMZTTMTKSVHAG,O=C1CCCC(OC2CCCCO2)CCCCNCCCCO1,C29H56N2O9,577.4058578388799,30.0,30.0,34.64435147033279,34.0,4.6443514703327935,0.6443514703327935,4.0,4.1105681710512725,0.9632707010619228,4.0163760880887835,False,False,False,True
LOMZTTMTKSVHAG,O=C1CCCC(OC2CCCCO2)CCCCNCCCCO1,C29H56N2O9,577.4058578388799,60.0,60.0,69.28870294066559,69.0,9.288702940665587,0.288702940665587,9.0,4.627281884527648,0.4354297892131464,4.5857093929866055,False,False,False,True
MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,C2H6O3S,111.01104151888,30.0,30.0,6.6606624911328,6.0,23.3393375088672,0.6606624911327996,24.0,5.113580750024922,0.9870948040988808,4.955170627870246,False,False,False,False
MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,C2H6O3S,111.01104151888,60.0,60.0,13.3213249822656,13.0,46.6786750177344,0.32132498226559925,47.0,5.8468860688933235,0.4843741687999925,5.89726914872261,False,False,False,False
MBXOLPUMNTXLOV,C1CCC2CCC(C1)N2,C10H17NO,168.13829063088,30.0,30.0,10.0882974378528,10.0,19.911702562147198,0.08829743785280009,20.0,5.100822445288331,0.13344122760136887,5.122666459361354,False,False,False,False
MBXOLPUMNTXLOV,C1CCC2CCC(C1)N2,C10H17NO,168.13829063088,60.0,60.0,20.1765948757056,20.0,39.823405124294396,0.17659487570560017,40.0,5.776041678367773,0.26671603845970826,5.762384895902214,False,False,False,False
OAIGZXXQYIJBLR,c1ccc(C(OCC[NH2+]C2CCCCO2)c2ccccc2)cc1,C23H29NO7,432.20167873487986,30.0,30.0,25.93210072409279,25.0,4.067899275907209,0.9321007240927912,5.0,4.0320672390010746,1.3767084718073472,4.122142450122356,False,False,False,True
OAIGZXXQYIJBLR,c1ccc(C(OCC[NH2+]C2CCCCO2)c2ccccc2)cc1,C23H29NO7,432.20167873487986,60.0,60.0,51.86420144818558,51.0,8.135798551814418,0.8642014481855824,9.0,4.409689792648232,1.280572525360134,4.5857093929866055,False,False,False,True
OKOBUGCCXMIKDM,O=C(CCc1ccccc1)NCCCCCCNC(=O)CCc1ccccc1,C40H64N2O4,637.4938849948799,30.0,30.0,38.249633099692794,38.0,8.249633099692794,0.2496330996927938,8.0,4.4355571926084245,0.3767147888851395,4.378604356622207,False,False,False,False
OKOBUGCCXMIKDM,O=C(CCc1ccccc1)NCCCCCCNC(=O)CCc1ccccc1,C40H64N2O4,637.4938849948799,60.0,60.0,76.49926619938559,76.0,16.499266199385588,0.4992661993855876,16.0,4.984258615174922,0.7496836966906255,5.02537157669258,False,False,False,False
OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,C16H30O4,287.22168590688,30.0,30.0,17.2333011544128,17.0,12.7666988455872,0.23330115441279986,13.0,4.661159311600008,0.3521427325809708,4.68898273190977,False,False,False,False
OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,C16H30O4,287.22168590688,60.0,60.0,34.4666023088256,34.0,25.5333976911744,0.4666023088255997,26.0,4.945661230743219,0.7012260034992289,5.071770405317379,False,False,False,False
OXWDLAHVJDUQJM,O=C(CCc1ccccc1)OCCNC(=O)C(=O)NCCOC(=O)CCc1ccccc1,C40H60N2O8,697.4422433468799,30.0,30.0,41.846534600812795,41.0,11.846534600812795,0.8465346008127952,11.0,4.619945606795379,1.2554036225047283,4.654430094306775,False,False,False,False
OXWDLAHVJDUQJM,O=C(CCc1ccccc1)OCCNC(=O)C(=O)NCCOC(=O)CCc1ccccc1,C40H60N2O8,697.4422433468799,60.0,60.0,83.69306920162559,83.0,23.69306920162559,0.6930692016255904,23.0,5.0240517254513835,1.0343040210157695,5.199474846948166,False,False,False,False
QSRJVOOOWGXUDY,O=C(CCc1ccccc1)OCCOCCOCCOC(=O)CCc1ccccc1,C34H50O8,587.35784502688,30.0,30.0,35.241470701612805,35.0,5.241470701612805,0.24147070161280482,5.0,4.120699749460711,0.3644360806964258,4.122142450122356,False,False,False,True
QSRJVOOOWGXUDY,O=C(CCc1ccccc1)OCCOCCOCCOC(=O)CCc1ccccc1,C34H50O8,587.35784502688,60.0,60.0,70.48294140322561,70.0,10.48294140322561,0.48294140322560963,10.0,4.677284484910144,0.7254808607840254,4.679395511258313,False,False,False,True
RCOBUBSULFIXAR,O=C(OC1CCCCO1)c1ccccc1-c1ccc(Cn2cnc3ccc(-c4nc5ccccc5[nH]4)cc32)cc1,C39H38N4O8,691.2762406428801,30.0,30.0,41.476574438572804,41.0,11.476574438572804,0.4765744385728041,11.0,4.630357612392245,0.7160329184030226,4.654430094306775,False,False,False,False
RCOBUBSULFIXAR,O=C(OC1CCCCO1)c1ccccc1-c1ccc(Cn2cnc3ccc(-c4nc5ccccc5[nH]4)cc32)cc1,C39H38N4O8,691.2762406428801,60.0,60.0,82.95314887714561,82.0,22.95314887714561,0.9531488771456083,22.0,5.21078505081724,1.4063105235877666,5.3707014603698475,False,False,False,False
SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,C36H75N,522.59722786688,30.0,30.0,31.3558336720128,31.0,1.3558336720127997,0.3558336720127997,1.0,1.9516140393617893,0.5360594248004892,1.4718480481224783,True,True,True,True
SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,C36H75N,522.59722786688,60.0,60.0,62.7116673440256,62.0,2.7116673440255994,0.7116673440255994,2.0,3.3772162733194158,1.061320096230979,2.718874030134649,True,True,True,True
UJAWGGOCYUPCPS,c1ccc(Cc2ccc(Nc3ccc(Cc4ccccc4)cc3)cc2)cc1,C30H31N,406.25292645888,30.0,30.0,24.375175587532798,24.0,5.624824412467202,0.375175587532798,6.0,4.112616351385235,0.564984778411796,4.108674489504276,False,False,False,True
