group_key,dist_1_minus_maxsim,leverage,mahalanobis,disagreement,sensitivity,domain_flag,pred_log_rmse,p_af,fold,thr_learned_q80,thr_learned_q90,thr_dist_q80,thr_dist_q90,rmse,af
AABILZKQMVKFHP,0.7350427350427351,0.006500992241467678,2.6232640644612024,0.2906225911301489,0.16031672045741732,0.0,-2.4459167166652427,0.0560165957700022,2,-2.2065849560307313,-2.157357812405661,0.7156143191221442,0.7447582205029014,0.11996193617529827,0
AAEVYOVXGOFMJO,0.7407407407407407,0.010368560469812325,3.313400262897868,0.05768070946098314,0.3372935848561775,0.0,-2.2568438692192334,0.08792941297044773,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.09205813868507665,0
AAGFPTSOPGCENQ,0.6582278481012658,0.010952273416409374,3.404402533561348,0.13810728745588252,0.3414767545594551,0.0,-2.245135276550301,0.0921125811457381,2,-2.2065849560307313,-2.157357812405661,0.7156143191221442,0.7447582205029014,0.09713075248346115,0
AAVMGRPGPSSZBQ,0.7410714285714286,0.006727101477373907,2.66866557352233,0.5081993474518849,0.2341745171832082,0.0,-2.402274022652361,0.05921397964519921,2,-2.2065849560307313,-2.157357812405661,0.7156143191221442,0.7447582205029014,0.1559754904288929,0
ABOOPXYCKNFDNJ,0.47126436781609193,0.004952548487438321,2.289772868315727,0.16569475473239606,0.37480218891686107,0.0,-2.1916169131921257,0.1027481155672751,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.0369796075168612,0
ACGPKIHTJATAMX,0.7475728155339806,0.008783512740917687,3.048963650003506,0.12130577638323609,0.2484855352379604,0.0,-2.3678687912680534,0.07122270027791354,2,-2.2065849560307313,-2.157357812405661,0.7156143191221442,0.7447582205029014,0.12576599423051354,0
ACMXQHFNODYQAT,0.5533980582524272,0.016958561819400954,4.235401414934409,0.4419704091337313,0.26818648603559553,0.0,-2.4342469303898047,0.04878459433466502,3,-2.2160356345063863,-2.1799093054721506,0.73,0.7539001349527665,0.09418320974278886,0
ACWBQPMHZXGDFX,0.6814159292035398,0.01126369293153766,3.4532997701893224,0.024277314401184857,0.21274441613428344,0.0,-2.28184437266894,0.09081690069015824,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.058944906172925374,0
ADFIQZBYNGPCGY,0.7431192660550459,0.008563447722485738,3.010992138690056,0.07437134429856818,0.26384606697939494,0.0,-2.312567383805064,0.0538069530280739,3,-2.2160356345063863,-2.1799093054721506,0.73,0.7539001349527665,0.1239505532178128,0
ADIMAYPTOBDMTL,0.6222222222222222,0.002837703773766328,1.732896965606075,0.33149841559476545,0.3435163310782792,0.0,-2.277466773066452,0.04929024151518337,2,-2.2065849560307313,-2.157357812405661,0.7156143191221442,0.7447582205029014,0.15317486677537648,0
ADWTYURAFSWNSU,0.49122807017543857,0.0041181259804506315,2.087919386424342,0.02959426916818053,0.4068046896373325,0.0,-2.133888073693586,0.10346850600111812,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.0500336266142365,0
AEHJMNVBLRLZKK,0.7068965517241379,0.029084676495272715,5.549532937102537,0.06915358129812077,0.16379827201627986,0.0,-2.374245931771754,0.13265907466315996,2,-2.2065849560307313,-2.157357812405661,0.7156143191221442,0.7447582205029014,0.14602245822915771,0
AEKQMJRJRAHOAP,0.7325581395348837,0.005019182580526635,2.305147630135437,0.04515825181227906,0.34443849509291335,0.0,-2.192161078897677,0.09034292563705576,1,-2.1708327129554297,-2.140474175943195,0.7333333333333334,0.7583104395604395,0.13031725788546936,0
AEOCXXJPGCBFJA,0.8059701492537313,0.005039249578918357,2.3097114313571825,0.06675518105739514,0.4880936039033987,0.0,-2.208403103185151,0.10745930516423538,0,-2.1873815079452226,-2.1515030981418093,0.7200860215053764,0.75,0.258951977282066,1
AFAIELJLZYUNPW,0.5617977528089888,0.01655709588686737,4.185029347717878,0.12352665896011167,0.37379089994135084,0.0,-2.1279339149760297,0.12086904667581215,0,-2.1873815079452226,-2.1515030981418093,0.7200860215053764,0.75,0.26330099407528534,1
AFIIBUOYKYSPKB,0.8153846153846154,0.019843824117890776,4.583518468379688,0.03704709708219475,0.4081566302582375,0.0,-2.2513475285518996,0.09133532841287627,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.07735043032971298,0
AFYCEAFSNDLKSX,0.6101694915254237,0.0030872362700922512,1.807476880061155,0.004060170142124453,0.4293227747397992,0.0,-2.142851930263108,0.09239448375090349,1,-2.1708327129554297,-2.140474175943195,0.7333333333333334,0.7583104395604395,0.17511165474548865,0
AGOYDEPGAOXOCK,0.5936073059360731,0.05380213802721382,7.545549779682598,0.017764333677043886,0.2074433493217893,0.0,-2.315893833637463,0.0879436468487205,3,-2.2160356345063863,-2.1799093054721506,0.73,0.7539001349527665,0.0789076568738492,0
AGTBLMHWQIEASU,0.625,0.0028720387157653952,1.7435949365068475,0.03587558674146424,0.2909999225197802,0.0,-2.221734649362827,0.08019678842792442,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.09002669146552,0
AHIPJALLQVEEQF,0.5252525252525253,0.020872465991566818,4.700138985093231,0.15216122834934837,0.3641815501368024,0.0,-2.1718497342711927,0.13730190342054172,1,-2.1708327129554297,-2.140474175943195,0.7333333333333334,0.7583104395604395,0.05160690546128874,0
AHMMSNQYOPMLSX,0.6403508771929824,0.03360660929561721,5.962487856026225,0.006953985690031528,0.25069873291835193,0.0,-2.2049707589224776,0.12927978954945102,1,-2.1708327129554297,-2.140474175943195,0.7333333333333334,0.7583104395604395,0.11999950969973804,0
AHOUBRCZNHFOSL,0.6752136752136753,0.004519000263800217,2.187118252899795,0.34207496637769735,0.30575736599823994,0.0,-2.2754824381050076,0.0821321654189728,1,-2.1708327129554297,-2.140474175943195,0.7333333333333334,0.7583104395604395,0.07799022039870722,0
AKNNEGZIBPJZJG,0.6228070175438596,0.015318548027497821,4.025698204682531,0.19907626957323227,0.35649889048989036,0.0,-2.1889890444506532,0.12492584436649343,1,-2.1708327129554297,-2.140474175943195,0.7333333333333334,0.7583104395604395,0.09630355498568889,0
AKNQMEBLVAMSNZ,0.547945205479452,0.006329300170049902,2.587654549467777,0.5229077284196824,0.2637618356137124,0.0,-2.334850971150685,0.08276468054115656,1,-2.1708327129554297,-2.140474175943195,0.7333333333333334,0.7583104395604395,0.15367410311897298,0
ALEXXDVDDISNDU,0.6607142857142857,0.009859979765743631,3.2302038784406752,0.1830640694844874,0.23131838427746856,0.0,-2.2810426418715664,0.08938967520674178,1,-2.1708327129554297,-2.140474175943195,0.7333333333333334,0.7583104395604395,0.03218681907109265,0
ALRRPAKWGUBPBK,0.5542168674698795,0.034116610563008264,6.009819892029529,0.0008405914323040831,0.1762514012343189,0.0,-2.2716231607969295,0.11069824360947629,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.18518174976124557,0
