record_id,file,series,parent_key,first_failed_rule,reason
MSBNK-EAWAG-ED089709,MSBNK-EAWAG-ED089709.txt,MSBNK-EAWAG-ED,LGIDGQNWZFGZCH,H9,identity exclusion: scaffold:sg_muru_registry
MSBNK-EAWAG-ED089801,MSBNK-EAWAG-ED089801.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,PASS,eligible
MSBNK-EAWAG-ED089802,MSBNK-EAWAG-ED089802.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,PASS,eligible
MSBNK-EAWAG-ED089803,MSBNK-EAWAG-ED089803.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,PASS,eligible
MSBNK-EAWAG-ED089804,MSBNK-EAWAG-ED089804.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,PASS,eligible
MSBNK-EAWAG-ED089805,MSBNK-EAWAG-ED089805.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,PASS,eligible
MSBNK-EAWAG-ED089806,MSBNK-EAWAG-ED089806.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,PASS,eligible
MSBNK-EAWAG-ED089807,MSBNK-EAWAG-ED089807.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,PASS,eligible
MSBNK-EAWAG-ED089808,MSBNK-EAWAG-ED089808.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,H11,NCE outside the frozen grid
MSBNK-EAWAG-ED089809,MSBNK-EAWAG-ED089809.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,H11,NCE outside the frozen grid
MSBNK-EAWAG-ED089851,MSBNK-EAWAG-ED089851.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED089852,MSBNK-EAWAG-ED089852.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED089853,MSBNK-EAWAG-ED089853.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED089854,MSBNK-EAWAG-ED089854.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED089855,MSBNK-EAWAG-ED089855.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED089856,MSBNK-EAWAG-ED089856.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED089857,MSBNK-EAWAG-ED089857.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,H1,not [M+H]+ (positive mode)
