DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,DATA_SOURCES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT
DTXSID1021087,Oxazepam,604-75-1,ADIMAYPTOBDMTL-UHFFFAOYSA-N,"7-Chloro-3-hydroxy-5-phenyl-1,3-dihydro-2H-1,4-benzodiazepin-2-one",OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,"InChI=1/C15H11ClN2O2/c16-10-6-7-12-11(8-10)13(9-4-2-1-3-5-9)18-15(20)14(19)17-12/h1-8,15,20H,(H,17,19)",C15H11ClN2O2,286.72,286.0509053,76,1239,74,20
DTXSID1021116,Phenacetin,62-44-2,CPJSUEIXXCENMM-UHFFFAOYSA-N,N-(4-Ethoxyphenyl)acetamide,CCOC1=CC=C(NC(C)=O)C=C1,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",C10H13NO2,179.219,179.0946287,90,2380,168,11
DTXSID1021295,"4,4'-Sulfonylbisacetanilide",77-46-3,AMTPYFGPPVFBBI-UHFFFAOYSA-N,"N,N'-[Sulfonyldi(4,1-phenylene)]diacetamide",CC(=O)NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(NC(C)=O)C=C1,"InChI=1S/C16H16N2O4S/c1-11(19)17-13-3-7-15(8-4-13)23(21,22)16-9-5-14(6-10-16)18-12(2)20/h3-10H,1-2H3,(H,17,19)(H,18,20)",C16H16N2O4S,332.37,332.0830782,20,30,49,2
DTXSID1021322,Disulfiram,97-77-8,AUZONCFQVSMFAP-UHFFFAOYSA-N,-,CCN(CC)C(=S)SSC(=S)N(CC)CC,"InChI=1S/C10H20N2S4/c1-5-11(6-2)9(13)15-16-10(14)12(7-3)8-4/h5-8H2,1-4H3",C10H20N2S4,296.52,296.0509333,95,3255,204,33
DTXSID10216332,"2-(4-Bromo-2,5-dimethoxyphenyl)ethylamine",66142-81-2,YMHOBZXQZVXHBM-UHFFFAOYSA-N,"2-(4-Bromo-2,5-dimethoxyphenyl)ethan-1-amine",COC1=CC(Br)=C(OC)C=C1CCN,"InChI=1S/C10H14BrNO2/c1-13-9-6-8(11)10(14-2)5-7(9)3-4-12/h5-6H,3-4,12H2,1-2H3",C10H14BrNO2,260.131,259.020792,19,19,40,4
DTXSID1021952,Triphenyl phosphate,115-86-6,XZZNDPSIHUTMOC-UHFFFAOYSA-N,Triphenyl phosphate,O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,"InChI=1S/C18H15O4P/c19-23(20-16-10-4-1-5-11-16,21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H",C18H15O4P,326.288,326.070796,108,90,89,3717
DTXSID1022265,Alachlor,15972-60-8,XCSGPAVHZFQHGE-UHFFFAOYSA-N,"2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide",CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl,"InChI=1S/C14H20ClNO2/c1-4-11-7-6-8-12(5-2)14(11)16(10-18-3)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3",C14H20ClNO2,269.77,269.1182566,103,318,103,134
DTXSID1022421,Melatonin,73-31-4,DRLFMBDRBRZALE-UHFFFAOYSA-N,N-[2-(5-Methoxy-1H-indol-3-yl)ethyl]acetamide,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,"InChI=1S/C13H16N2O2/c1-9(16)14-6-5-10-8-15-13-4-3-11(17-2)7-12(10)13/h3-4,7-8,15H,5-6H2,1-2H3,(H,14,16)",C13H16N2O2,232.283,232.1211778,73,16699,249,50
DTXSID1022556,Acyclovir,59277-89-3,MKUXAQIIEYXACX-UHFFFAOYSA-N,"2-Amino-9-[(2-hydroxyethoxy)methyl]-1,9-dihydro-6H-purin-6-one",NC1=NC2=C(N=CN2COCCO)C(=O)N1,"InChI=1S/C8H11N5O3/c9-8-11-6-5(7(15)12-8)10-3-13(6)4-16-2-1-14/h3,14H,1-2,4H2,(H3,9,11,12,15)",C8H11N5O3,225.208,225.0861892,62,8089,244,20
DTXSID1022558,Adenosine,58-61-7,OIRDTQYFTABQOQ-KQYNXXCUSA-N,Adenosine,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",C10H13N5O4,267.245,267.0967539,52,31445,311,216
DTXSID1022681,Bisacodyl,603-50-9,KHOITXIGCFIULA-UHFFFAOYSA-N,"[(Pyridin-2-yl)methylene]di(4,1-phenylene) diacetate",CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=NC=CC=C1,"InChI=1S/C22H19NO4/c1-15(24)26-19-10-6-17(7-11-19)22(21-5-3-4-14-23-21)18-8-12-20(13-9-18)27-16(2)25/h3-14,22H,1-2H3",C22H19NO4,361.397,361.1314081,49,388,150,9
DTXSID1022687,Bromocriptine,25614-03-3,OZVBMTJYIDMWIL-AYFBDAFISA-N,"(5'alpha)-2-Bromo-12'-hydroxy-5'-(2-methylpropyl)-3',6',18-trioxo-2'-(propan-2-yl)ergotaman",CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C,"InChI=1S/C32H40BrN5O5/c1-16(2)12-24-29(40)37-11-7-10-25(37)32(42)38(24)30(41)31(43-32,17(3)4)35-28(39)18-13-20-19-8-6-9-22-26(19)21(27(33)34-22)14-23(20)36(5)15-18/h6,8-9,13,16-18,23-25,34,42H,7,10-12,14-15H2,1-5H3,(H,35,39)/t18-,23-,24+,25+,31-,32+/m1/s1",C32H40BrN5O5,654.606,653.221282,39,6811,92,14
DTXSID1022712,Butaperazine,653-03-2,DVLBYTMYSMAKHP-UHFFFAOYSA-N,1-{10-[3-(4-Methylpiperazin-1-yl)propyl]-10H-phenothiazin-2-yl}butan-1-one,CCCC(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,"InChI=1S/C24H31N3OS/c1-3-7-22(28)19-10-11-24-21(18-19)27(20-8-4-5-9-23(20)29-24)13-6-12-26-16-14-25(2)15-17-26/h4-5,8-11,18H,3,6-7,12-17H2,1-2H3",C24H31N3OS,409.59,409.2187838,23,27,28,4
DTXSID1022843,Clomiphene,911-45-5,GKIRPKYJQBWNGO-UHFFFAOYSA-N,"2-[4-(2-Chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethan-1-amine",CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C26H28ClNO/c1-3-28(4-2)19-20-29-24-17-15-22(16-18-24)25(21-11-7-5-8-12-21)26(27)23-13-9-6-10-14-23/h5-18H,3-4,19-20H2,1-2H3",C26H28ClNO,405.97,405.1859422,43,4990,52,13
DTXSID1022845,Clonazepam,1622-61-3,DGBIGWXXNGSACT-UHFFFAOYSA-N,"5-(2-Chlorophenyl)-7-nitro-1,3-dihydro-2H-1,4-benzodiazepin-2-one",[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,"InChI=1S/C15H10ClN3O3/c16-12-4-2-1-3-10(12)15-11-7-9(19(21)22)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",C15H10ClN3O3,315.71,315.0410689,42,2385,82,33
DTXSID1022847,Clopamide,636-54-4,LBXHRAWDUMTPSE-UHFFFAOYSA-N,"4-Chloro-N-(2,6-dimethylpiperidin-1-yl)-3-sulfamoylbenzamide",CC1CCCC(C)N1NC(=O)C1=CC=C(Cl)C(=C1)S(N)(=O)=O,"InChI=1/C14H20ClN3O3S/c1-9-4-3-5-10(2)18(9)17-14(19)11-6-7-12(15)13(8-11)22(16,20)21/h6-10H,3-5H2,1-2H3,(H,17,19)(H2,16,20,21)",C14H20ClN3O3S,345.84,345.0913904,33,307,78,4
DTXSID1022849,Cloprednol,5251-34-3,YTJIBEDMAQUYSZ-FDNPDPBUSA-N,"(11beta)-6-Chloro-11,17,21-trihydroxypregna-1,4,6-triene-3,20-dione",C[C@]12C[C@H](O)[C@H]3[C@@H](C=C(Cl)C4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,"InChI=1S/C21H25ClO5/c1-19-5-3-11(24)7-14(19)15(22)8-12-13-4-6-21(27,17(26)10-23)20(13,2)9-16(25)18(12)19/h3,5,7-8,12-13,16,18,23,25,27H,4,6,9-10H2,1-2H3/t12-,13-,16-,18+,19-,20-,21-/m0/s1",C21H25ClO5,392.88,392.1390516,19,9,24,4
DTXSID1022926,Dicyclomine,77-19-0,CURUTKGFNZGFSE-UHFFFAOYSA-N,"2-(Diethylamino)ethyl [1,1'-bi(cyclohexane)]-1-carboxylate",CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,"InChI=1S/C19H35NO2/c1-3-20(4-2)15-16-22-18(21)19(13-9-6-10-14-19)17-11-7-5-8-12-17/h17H,3-16H2,1-2H3",C19H35NO2,309.494,309.2667794,40,349,103,10
DTXSID1022928,Diethylcarbamazine,90-89-1,RCKMWOKWVGPNJF-UHFFFAOYSA-N,"N,N-Diethyl-4-methylpiperazine-1-carboxamide",CCN(CC)C(=O)N1CCN(C)CC1,"InChI=1S/C10H21N3O/c1-4-12(5-2)10(14)13-8-6-11(3)7-9-13/h4-9H2,1-3H3",C10H21N3O,199.298,199.1684623,34,1957,99,8
DTXSID1022970,Doxylamine,469-21-6,HCFDWZZGGLSKEP-UHFFFAOYSA-N,"N,N-Dimethyl-2-[1-phenyl-1-(pyridin-2-yl)ethoxy]ethan-1-amine",CN(C)CCOC(C)(C1=CC=CC=C1)C1=NC=CC=C1,"InChI=1/C17H22N2O/c1-17(20-14-13-19(2)3,15-9-5-4-6-10-15)16-11-7-8-12-18-16/h4-12H,13-14H2,1-3H3",C17H22N2O,270.376,270.1732133,33,354,93,11
DTXSID1023027,Etidocaine,36637-18-0,VTUSIVBDOCDNHS-UHFFFAOYSA-N,"N-(2,6-Dimethylphenyl)-2-[ethyl(propyl)amino]butanamide",CCCN(CC)C(CC)C(=O)NC1=C(C)C=CC=C1C,"InChI=1/C17H28N2O/c1-6-12-19(8-3)15(7-2)17(20)18-16-13(4)10-9-11-14(16)5/h9-11,15H,6-8,12H2,1-5H3,(H,18,20)",C17H28N2O,276.424,276.2201635,30,287,47,6
DTXSID1023029,Etilefrine,709-55-7,SQVIAVUSQAWMKL-UHFFFAOYSA-N,3-[2-(Ethylamino)-1-hydroxyethyl]phenol,CCNCC(O)C1=CC=CC(O)=C1,"InChI=1/C10H15NO2/c1-2-11-7-10(13)8-4-3-5-9(12)6-8/h3-6,10-13H,2,7H2,1H3",C10H15NO2,181.235,181.1102787,29,210,67,9
DTXSID1023071,Flurazepam,17617-23-1,SAADBVWGJQAEFS-UHFFFAOYSA-N,"7-Chloro-1-[2-(diethylamino)ethyl]-5-(2-fluorophenyl)-1,3-dihydro-2H-1,4-benzodiazepin-2-one",CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=C(F)C=CC=C1,"InChI=1S/C21H23ClFN3O/c1-3-25(4-2)11-12-26-19-10-9-15(22)13-17(19)21(24-14-20(26)27)16-7-5-6-8-18(16)23/h5-10,13H,3-4,11-12,14H2,1-2H3",C21H23ClFN3O,387.88,387.1513682,44,778,49,13
DTXSID1023077,Formoterol,73573-87-2,BPZSYCZIITTYBL-YJYMSZOUSA-N,N-{2-Hydroxy-5-[(1R)-1-hydroxy-2-{[(2R)-1-(4-methoxyphenyl)propan-2-yl]amino}ethyl]phenyl}formamide,COC1=CC=C(C[C@@H](C)NC[C@H](O)C2=CC(NC=O)=C(O)C=C2)C=C1,"InChI=1/C19H24N2O4/c1-13(9-14-3-6-16(25-2)7-4-14)20-11-19(24)15-5-8-18(23)17(10-15)21-12-22/h3-8,10,12-13,19-20,23-24H,9,11H2,1-2H3,(H,21,22)/t13-,19+/s2",C19H24N2O4,344.411,344.1736073,21,-,-,13
DTXSID1023102,Glutethimide,77-21-4,JMBQKKAJIKAWKF-UHFFFAOYSA-N,"3-Ethyl-3-phenylpiperidine-2,6-dione",CCC1(CCC(=O)NC1=O)C1=CC=CC=C1,"InChI=1/C13H15NO2/c1-2-13(10-6-4-3-5-7-10)9-8-11(15)14-12(13)16/h3-7H,2,8-9H2,1H3,(H,14,15,16)",C13H15NO2,217.268,217.1102787,41,799,53,10
DTXSID1023108,Glycodiazine,339-44-6,QFWPJPIVLCBXFJ-UHFFFAOYSA-N,N-[5-(2-Methoxyethoxy)pyrimidin-2-yl]benzenesulfonamide,COCCOC1=CN=C(NS(=O)(=O)C2=CC=CC=C2)N=C1,"InChI=1S/C13H15N3O4S/c1-19-7-8-20-11-9-14-13(15-10-11)16-21(17,18)12-5-3-2-4-6-12/h2-6,9-10H,7-8H2,1H3,(H,14,15,16)",C13H15N3O4S,309.34,309.0783271,25,8,33,5
DTXSID1023150,Iodamide,440-58-4,VVDGWALACJEJKG-UHFFFAOYSA-N,"3-Acetamido-5-(acetamidomethyl)-2,4,6-triiodobenzoic acid",CC(=O)NCC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,"InChI=1S/C12H11I3N2O4/c1-4(18)16-3-6-8(13)7(12(20)21)10(15)11(9(6)14)17-5(2)19/h3H2,1-2H3,(H,16,18)(H,17,19)(H,20,21)",C12H11I3N2O4,627.943,627.78529,32,142,59,4
DTXSID1023231,Lysergide,50-37-3,VAYOSLLFUXYJDT-RDTXWAMCSA-N,"(8beta)-N,N-Diethyl-6-methyl-9,10-didehydroergoline-8-carboxamide",CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1,"InChI=1S/C20H25N3O/c1-4-23(5-2)20(24)14-9-16-15-7-6-8-17-19(15)13(11-21-17)10-18(16)22(3)12-14/h6-9,11,14,18,21H,4-5,10,12H2,1-3H3/t14-,18-/m1/s1",C20H25N3O,323.44,323.1997624,41,4729,151,18
DTXSID1023283,Methergine,113-42-8,UNBRKDKAWYKMIV-QWQRMKEZSA-N,"(8beta)-N-[(2S)-1-Hydroxybutan-2-yl]-6-methyl-9,10-didehydroergoline-8-carboxamide",CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1,"InChI=1S/C20H25N3O2/c1-3-14(11-24)22-20(25)13-7-16-15-5-4-6-17-19(15)12(9-21-17)8-18(16)23(2)10-13/h4-7,9,13-14,18,21,24H,3,8,10-11H2,1-2H3,(H,22,25)/t13-,14+,18-/m1/s1",C20H25N3O2,339.439,339.1946771,43,477,67,8
DTXSID1023287,Methohexital,151-83-7,NZXKDOXHBHYTKP-UHFFFAOYSA-N,"5-(Hex-3-yn-2-yl)-1-methyl-5-(prop-2-en-1-yl)-1,3-diazinane-2,4,6-trione",CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O,"InChI=1/C14H18N2O3/c1-5-7-8-10(3)14(9-6-2)11(17)15-13(19)16(4)12(14)18/h6,10H,2,5,9H2,1,3-4H3,(H,15,17,19)",C14H18N2O3,262.309,262.1317424,26,1506,47,9
DTXSID1023289,Levomethotrimeprazine,60-99-1,VRQVVMDWGGWHTJ-CQSZACIVSA-N,"(2R)-3-(2-Methoxy-10H-phenothiazin-10-yl)-N,N,2-trimethylpropan-1-amine",COC1=CC2=C(SC3=C(C=CC=C3)N2C[C@H](C)CN(C)C)C=C1,"InChI=1S/C19H24N2OS/c1-14(12-20(2)3)13-21-16-7-5-6-8-18(16)23-19-10-9-15(22-4)11-17(19)21/h5-11,14H,12-13H2,1-4H3/t14-/m1/s1",C19H24N2OS,328.47,328.1609346,31,776,47,17
DTXSID1023314,Metyrapone,54-36-4,FJLBFSROUSIWMA-UHFFFAOYSA-N,"2-Methyl-1,2-di(pyridin-3-yl)propan-1-one",CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1,"InChI=1S/C14H14N2O/c1-14(2,12-6-4-8-16-10-12)13(17)11-5-3-7-15-9-11/h3-10H,1-2H3",C14H14N2O,226.279,226.1106131,53,3275,117,11
DTXSID1023360,Neostigmine,59-99-4,ALWKGYPQUAPLQC-UHFFFAOYSA-N,"3-[(Dimethylcarbamoyl)oxy]-N,N,N-trimethylanilinium",CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,"InChI=1S/C12H19N2O2/c1-13(2)12(15)16-11-8-6-7-10(9-11)14(3,4)5/h6-9H,1-5H3/q+1",C12H19N2O2,223.295,223.1441043,28,4598,98,7
DTXSID1023368,Niflumic acid,4394-00-7,JZFPYUNJRRFVQU-UHFFFAOYSA-N,2-[3-(Trifluoromethyl)anilino]pyridine-3-carboxylic acid,OC(=O)C1=CC=CN=C1NC1=CC=CC(=C1)C(F)(F)F,"InChI=1S/C13H9F3N2O2/c14-13(15,16)8-3-1-4-9(7-8)18-11-10(12(19)20)5-2-6-17-11/h1-7H,(H,17,18)(H,19,20)",C13H9F3N2O2,282.222,282.061612,52,628,202,6
DTXSID1023441,Perphenazine,58-39-9,RGCVKNLCSQQDEP-UHFFFAOYSA-N,2-{4-[3-(2-Chloro-10H-phenothiazin-10-yl)propyl]piperazin-1-yl}ethan-1-ol,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,"InChI=1S/C21H26ClN3OS/c22-17-6-7-21-19(16-17)25(18-4-1-2-5-20(18)27-21)9-3-8-23-10-12-24(13-11-23)14-15-26/h1-2,4-7,16,26H,3,8-15H2",C21H26ClN3OS,403.97,403.1485113,53,1544,173,19
DTXSID1023445,Phenazopyridine,94-78-0,QPFYXYFORQJZEC-UHFFFAOYSA-N,"3-(Phenyldiazenyl)pyridine-2,6-diamine",NC1=CC=C(N=NC2=CC=CC=C2)C(N)=N1,"InChI=1S/C11H11N5/c12-10-7-6-9(11(13)14-10)16-15-8-4-2-1-3-5-8/h1-7H,(H4,12,13,14)",C11H11N5,213.244,213.1014454,36,218,106,6
DTXSID1023447,Phendimetrazine,634-03-7,MFOCDFTXLCYLKU-UHFFFAOYSA-N,"3,4-Dimethyl-2-phenylmorpholine",CC1C(OCCN1C)C1=CC=CC=C1,"InChI=1/C12H17NO/c1-10-12(14-9-8-13(10)2)11-6-4-3-5-7-11/h3-7,10,12H,8-9H2,1-2H3",C12H17NO,191.274,191.1310142,28,50,35,12
DTXSID1023449,Phenformin,114-86-3,ICFJFFQQTFMIBG-UHFFFAOYSA-N,N-(2-Phenylethyl)triimidodicarbonic diamide,NC(=N)NC(=N)NCCC1=CC=CC=C1,"InChI=1S/C10H15N5/c11-9(12)15-10(13)14-7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H6,11,12,13,14,15)",C10H15N5,205.265,205.1327455,34,1495,91,7
DTXSID1023524,Propoxyphene,469-62-5,XLMALTXPSGQGBX-GCJKJVERSA-N,"(2S,3R)-4-(Dimethylamino)-3-methyl-1,2-diphenylbutan-2-yl propanoate",CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1,"InChI=1S/C22H29NO2/c1-5-21(24)25-22(18(2)17-23(3)4,20-14-10-7-11-15-20)16-19-12-8-6-9-13-19/h6-15,18H,5,16-17H2,1-4H3/t18-,22+/m1/s1",C22H29NO2,339.479,339.2198292,39,1444,39,17
DTXSID1023526,(+/-) Propylhexedrine,101-40-6,JCRIVQIOJSSCQD-UHFFFAOYSA-N,1-Cyclohexyl-N-methylpropan-2-amine,CNC(C)CC1CCCCC1,"InChI=1/C10H21N/c1-9(11-2)8-10-6-4-3-5-7-10/h9-11H,3-8H2,1-2H3",C10H21N,155.285,155.1673997,36,8,45,12
DTXSID1023578,Sibutramine,106650-56-0,UNAANXDKBXWMLN-UHFFFAOYSA-N,"1-[1-(4-Chlorophenyl)cyclobutyl]-N,N,3-trimethylbutan-1-amine",CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1,"InChI=1/C17H26ClN/c1-13(2)12-16(19(3)4)17(10-5-11-17)14-6-8-15(18)9-7-14/h6-9,13,16H,5,10-12H2,1-4H3",C17H26ClN,279.85,279.1753775,29,892,97,17
DTXSID1023607,Sulfadimethoxine,122-11-2,ZZORFUFYDOWNEF-UHFFFAOYSA-N,"4-Amino-N-(2,6-dimethoxypyrimidin-4-yl)benzene-1-sulfonamide",COC1=NC(OC)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1,"InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)",C12H14N4O4S,310.33,310.0735761,54,710,161,10
DTXSID1023609,Sulfaguanidine,57-67-0,BRBKOPJOKNSWSG-UHFFFAOYSA-N,4-Amino-N-carbamimidoylbenzene-1-sulfonamide,NC(=N)NS(=O)(=O)C1=CC=C(N)C=C1,"InChI=1S/C7H10N4O2S/c8-5-1-3-6(4-2-5)14(12,13)11-7(9)10/h1-4H,8H2,(H4,9,10,11)",C7H10N4O2S,214.24,214.0524468,52,235,143,4
DTXSID1023651,Thiethylperazine,1420-55-9,XCTYLCDETUVOIP-UHFFFAOYSA-N,2-(Ethylsulfanyl)-10-[3-(4-methylpiperazin-1-yl)propyl]-10H-phenothiazine,CCSC1=CC2=C(SC3=C(C=CC=C3)N2CCCN2CCN(C)CC2)C=C1,"InChI=1S/C22H29N3S2/c1-3-26-18-9-10-22-20(17-18)25(19-7-4-5-8-21(19)27-22)12-6-11-24-15-13-23(2)14-16-24/h4-5,7-10,17H,3,6,11-16H2,1-2H3",C22H29N3S2,399.62,399.1802903,32,200,49,9
DTXSID1023653,Thiopental,76-75-5,IUJDSEJGGMCXSG-UHFFFAOYSA-N,"5-Ethyl-5-(pentan-2-yl)-2-sulfanylpyrimidine-4,6(1H,5H)-dione",CCCC(C)C1(CC)C(=O)NC(S)=NC1=O,"InChI=1/C11H18N2O2S/c1-4-6-7(3)11(5-2)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",C11H18N2O2S,242.34,242.108899,36,6755,73,10
DTXSID1023655,Thioproperazine,316-81-4,VZYCZNZBPPHOFY-UHFFFAOYSA-N,"N,N-Dimethyl-10-[3-(4-methylpiperazin-1-yl)propyl]-10H-phenothiazine-2-sulfonamide",CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,"InChI=1S/C22H30N4O2S2/c1-23(2)30(27,28)18-9-10-22-20(17-18)26(19-7-4-5-8-21(19)29-22)12-6-11-25-15-13-24(3)14-16-25/h4-5,7-10,17H,6,11-16H2,1-3H3",C22H30N4O2S2,446.63,446.1810186,28,113,61,7
DTXSID1023738,Vinbarbital,125-42-8,RAFOHKSPUDGZPR-VOTSOKGWSA-N,"5-Ethyl-5-[(2E)-pent-2-en-2-yl]-1,3-diazinane-2,4,6-trione",CC\C=C(/C)C1(CC)C(=O)NC(=O)NC1=O,"InChI=1S/C11H16N2O3/c1-4-6-7(3)11(5-2)8(14)12-10(16)13-9(11)15/h6H,4-5H2,1-3H3,(H2,12,13,14,15,16)/b7-6+",C11H16N2O3,224.26,224.1160924,20,2,26,4
DTXSID1023990,Cyanazine,21725-46-2,MZZBPDKVEFVLFF-UHFFFAOYSA-N,"2-{[4-Chloro-6-(ethylamino)-1,3,5-triazin-2-yl]amino}-2-methylpropanenitrile",CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1,"InChI=1S/C9H13ClN6/c1-4-12-7-13-6(10)14-8(15-7)16-9(2,3)5-11/h4H2,1-3H3,(H2,12,13,14,15,16)",C9H13ClN6,240.7,240.0890221,89,54,74,110
DTXSID1024467,2-Aminobenzothiazole,136-95-8,UHGULLIUJBCTEF-UHFFFAOYSA-N,"1,3-Benzothiazol-2-amine",NC1=NC2=C(S1)C=CC=C2,"InChI=1S/C7H6N2S/c8-7-9-5-3-1-2-4-6(5)10-7/h1-4H,(H2,8,9)",C7H6N2S,150.2,150.0251694,52,-,151,-
DTXSID1027502,2-Isopropyl-6-methyl-4-pyrimidone,2814-20-2,AJPIUNPJBFBUKK-UHFFFAOYSA-N,6-Methyl-2-(propan-2-yl)pyrimidin-4(1H)-one,CC(C)C1=NC(=O)C=C(C)N1,"InChI=1S/C8H12N2O/c1-5(2)8-9-6(3)4-7(11)10-8/h4-5H,1-3H3,(H,9,10,11)",C8H12N2O,152.197,152.094963,56,1,91,4
DTXSID1032359,Cyprodinil,121552-61-2,HAORKNGNJCEJBX-UHFFFAOYSA-N,4-Cyclopropyl-6-methyl-N-phenylpyrimidin-2-amine,CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,"InChI=1S/C14H15N3/c1-10-9-13(11-7-8-11)17-14(15-10)16-12-5-3-2-4-6-12/h2-6,9,11H,7-8H2,1H3,(H,15,16,17)",C14H15N3,225.295,225.1265975,78,50,52,97
DTXSID1034187,Tamoxifen,10540-29-1,NKANXQFJJICGDU-QPLCGJKRSA-N,"2-{4-[(1Z)-1,2-Diphenylbut-1-en-1-yl]phenoxy}-N,N-dimethylethan-1-amine",CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,"InChI=1S/C26H29NO/c1-4-25(21-11-7-5-8-12-21)26(22-13-9-6-10-14-22)23-15-17-24(18-16-23)28-20-19-27(2)3/h5-18H,4,19-20H2,1-3H3/b26-25-",C26H29NO,371.524,371.2249146,85,17257,212,26
DTXSID1034212,Spiroxamine,118134-30-8,PUYXTUJWRLOUCW-UHFFFAOYSA-N,"N-[(8-tert-Butyl-1,4-dioxaspiro[4.5]decan-2-yl)methyl]-N-ethylpropan-1-amine",CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1,"InChI=1/C18H35NO2/c1-6-12-19(7-2)13-16-14-20-18(21-16)10-8-15(9-11-18)17(3,4)5/h15-16H,6-14H2,1-5H3",C18H35NO2,297.483,297.2667794,72,8,65,18
DTXSID1034260,Oxytetracycline,79-57-2,IWVCMVBTMGNXQD-PXOLEDIWSA-N,"(4S,4aR,5S,5aR,6S,12aS)-4-(Dimethylamino)-3,5,6,10,12,12a-hexahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide",CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O,"InChI=1S/C22H24N2O9/c1-21(32)7-5-4-6-8(25)9(7)15(26)10-12(21)17(28)13-14(24(2)3)16(27)11(20(23)31)19(30)22(13,33)18(10)29/h4-6,12-14,17,25,27-29,32-33H,1-3H3,(H2,23,31)/t12-,13-,14+,17+,21-,22+/m1/s1",C22H24N2O9,460.439,460.1481804,80,6050,134,41
