DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,DATA_SOURCES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT
DTXSID0025818,Oxethazaine,126-27-2,FTLDJPRFCGDUFH-UHFFFAOYSA-N,"2,2'-[(2-Hydroxyethyl)azanediyl]bis[N-methyl-N-(2-methyl-1-phenylpropan-2-yl)acetamide]",CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)CC1=CC=CC=C1)C(C)(C)CC1=CC=CC=C1,"InChI=1S/C28H41N3O3/c1-27(2,19-23-13-9-7-10-14-23)29(5)25(33)21-31(17-18-32)22-26(34)30(6)28(3,4)20-24-15-11-8-12-16-24/h7-16,32H,17-22H2,1-6H3",C28H41N3O3,467.654,467.3147922,40,43,105,6
DTXSID0027640,Malic acid,6915-15-7,BJEPYKJPYRNKOW-UHFFFAOYSA-N,2-Hydroxybutanedioic acid,OC(CC(O)=O)C(O)=O,"InChI=1/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)",C4H6O5,134.087,134.0215233,73,1981,273,2015
DTXSID0030588,p-Synephrine,94-07-5,YRCWQPVGYLYSOX-UHFFFAOYSA-N,4-[1-Hydroxy-2-(methylamino)ethyl]phenol,CNCC(O)C1=CC=C(O)C=C1,"InChI=1/C9H13NO2/c1-10-6-9(12)7-2-4-8(11)5-3-7/h2-5,9-12H,6H2,1H3",C9H13NO2,167.208,167.0946287,42,323,144,3
DTXSID0032493,Triadimenol,55219-65-3,BAZVSMNPJJMILC-UHFFFAOYSA-N,"1-(4-Chlorophenoxy)-3,3-dimethyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol",CC(C)(C)C(O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,"InChI=1/C14H18ClN3O2/c1-14(2,3)12(19)13(18-9-16-8-17-18)20-11-6-4-10(15)5-7-11/h4-9,12-13,19H,1-3H3",C14H18ClN3O2,295.77,295.1087545,76,163,74,83
DTXSID0032601,Cyproconazole,94361-06-5,UFNOUKDBUJZYDE-UHFFFAOYSA-N,"2-(4-Chlorophenyl)-3-cyclopropyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol",CC(C1CC1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1,"InChI=1/C15H18ClN3O/c1-11(12-2-3-12)15(20,8-19-10-17-9-18-19)13-4-6-14(16)7-5-13/h4-7,9-12,20H,2-3,8H2,1H3",C15H18ClN3O,291.78,291.1138399,83,28,64,54
DTXSID0032655,Triticonazole,131983-72-7,PPDBOQMNKNNODG-UHFFFAOYSA-N,"5-[(4-Chlorophenyl)methylidene]-2,2-dimethyl-1-[(1H-1,2,4-triazol-1-yl)methyl]cyclopentan-1-ol",CC1(C)CCC(=CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,"InChI=1/C17H20ClN3O/c1-16(2)8-7-14(9-13-3-5-15(18)6-4-13)17(16,22)10-21-12-19-11-20-21/h3-6,9,11-12,22H,7-8,10H2,1-2H3",C17H20ClN3O,317.82,317.12949,60,3,10,49
DTXSID0034192,17beta-Trenbolone,10161-33-8,MEHHPFQKXOUFFV-OWSLCNJRSA-N,"(17beta)-17-Hydroxyestra-4,9,11-trien-3-one",[H][C@@]12CC[C@H](O)[C@@]1(C)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H],"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h8-10,15-17,20H,2-7H2,1H3/t15-,16+,17+,18+/m1/s1",C18H22O2,270.372,270.1619799,57,513,44,8
DTXSID0034227,Icaridin,119515-38-7,QLHULAHOXSSASE-UHFFFAOYSA-N,Butan-2-yl 2-(2-hydroxyethyl)piperidine-1-carboxylate,CCC(C)OC(=O)N1CCCCC1CCO,"InChI=1/C12H23NO3/c1-3-10(2)16-12(15)13-8-5-4-6-11(13)7-9-14/h10-11,14H,3-9H2,1-2H3",C12H23NO3,229.32,229.1677936,54,67,53,43
DTXSID0034803,Penoxsulam,219714-96-2,SYJGKVOENHZYMQ-UHFFFAOYSA-N,"2-(2,2-Difluoroethoxy)-N-(5,8-dimethoxy[1,2,4]triazolo[1,5-c]pyrimidin-2-yl)-6-(trifluoromethyl)benzene-1-sulfonamide",COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,"InChI=1S/C16H14F5N5O5S/c1-29-10-6-22-15(30-2)26-13(10)23-14(24-26)25-32(27,28)12-8(16(19,20)21)4-3-5-9(12)31-7-11(17)18/h3-6,11H,7H2,1-2H3,(H,24,25)",C16H14F5N5O5S,483.37,483.0635806,61,218,43,35
DTXSID0037231,Flurbiprofen,5104-49-4,SYTBZMRGLBWNTM-UHFFFAOYSA-N,"2-(2-Fluoro[1,1'-biphenyl]-4-yl)propanoic acid",CC(C(O)=O)C1=CC=C(C(F)=C1)C1=CC=CC=C1,"InChI=1/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)",C15H13FO2,244.265,244.0899578,54,1716,184,13
DTXSID0037237,Glybenclamide,10238-21-8,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,5-Chloro-N-(2-{4-[(cyclohexylcarbamoyl)sulfamoyl]phenyl}ethyl)-2-methoxybenzamide,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,"InChI=1S/C23H28ClN3O5S/c1-32-21-12-9-17(24)15-20(21)22(28)25-14-13-16-7-10-19(11-8-16)33(30,31)27-23(29)26-18-5-3-2-4-6-18/h7-12,15,18H,2-6,13-14H2,1H3,(H,25,28)(H2,26,27,29)",C23H28ClN3O5S,494,493.1438199,68,5822,243,15
