record_id,compound_id,scaffold_group,nce,model,mapping,cosine,js,drop_reason
MSBNK-Eawag-EQ00348602__GLACIER__K1,KGVPNLBXJKTABS,O=c1cco[nH]1,30,GLACIER,K1,0.9983778266310966,0.9298240130204249,
MSBNK-Eawag-EQ00348602__GLACIER__K2,KGVPNLBXJKTABS,O=c1cco[nH]1,30,GLACIER,K2,0.9997109562837697,0.9787658689423826,
MSBNK-Eawag-EQ00348602__GLACIER__K3,KGVPNLBXJKTABS,O=c1cco[nH]1,30,GLACIER,K3,0.9997112345582722,0.9787755779934255,
MSBNK-Eawag-EQ00348604__ICEBERG_2_1__K1,KGVPNLBXJKTABS,O=c1cco[nH]1,60,ICEBERG_2_1,K1,0.9853045284103917,0.8360360280691086,
MSBNK-Eawag-EQ00348604__ICEBERG_2_1__K2,KGVPNLBXJKTABS,O=c1cco[nH]1,60,ICEBERG_2_1,K2,0.9860094970415245,0.8637635289779386,
MSBNK-Eawag-EQ00348604__ICEBERG_2_1__K3,KGVPNLBXJKTABS,O=c1cco[nH]1,60,ICEBERG_2_1,K3,0.9860096343537957,0.8637835823486604,
MSBNK-Eawag-EQ00348604__GLACIER__K1,KGVPNLBXJKTABS,O=c1cco[nH]1,60,GLACIER,K1,0.4599848875670078,0.6262761439410391,
MSBNK-Eawag-EQ00348604__GLACIER__K2,KGVPNLBXJKTABS,O=c1cco[nH]1,60,GLACIER,K2,0.9862221639572225,0.8801928543455436,
MSBNK-Eawag-EQ00348604__GLACIER__K3,KGVPNLBXJKTABS,O=c1cco[nH]1,60,GLACIER,K3,0.9862217644431238,0.8802018764954083,
MSBNK-Eawag-EQ00388902__ICEBERG_2_1__K1,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,30,ICEBERG_2_1,K1,0.5827008518817229,0.7691342206335907,
MSBNK-Eawag-EQ00388902__ICEBERG_2_1__K2,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,30,ICEBERG_2_1,K2,0.8951730297379106,0.9263079483322146,
MSBNK-Eawag-EQ00388902__ICEBERG_2_1__K3,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,30,ICEBERG_2_1,K3,0.965577531922619,0.9573075317466254,
MSBNK-Eawag-EQ00388902__GLACIER__K1,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,30,GLACIER,K1,0.6207646698003155,0.6890266008724366,
MSBNK-Eawag-EQ00388902__GLACIER__K2,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,30,GLACIER,K2,0.7181534847767723,0.7881586028316924,
MSBNK-Eawag-EQ00388902__GLACIER__K3,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,30,GLACIER,K3,0.8159458984095894,0.8581718551502425,
MSBNK-Eawag-EQ00388904__ICEBERG_2_1__K1,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,60,ICEBERG_2_1,K1,0.9059759201779991,0.8609635185632579,
MSBNK-Eawag-EQ00388904__ICEBERG_2_1__K2,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,60,ICEBERG_2_1,K2,0.7064101044130275,0.7610916861705949,
MSBNK-Eawag-EQ00388904__ICEBERG_2_1__K3,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,60,ICEBERG_2_1,K3,0.6501789341120121,0.7246634105470418,
MSBNK-Eawag-EQ00388904__GLACIER__K1,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,60,GLACIER,K1,0.5788577873214032,0.7328458445889543,
MSBNK-Eawag-EQ00388904__GLACIER__K2,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,60,GLACIER,K2,0.6530664435420694,0.7829935812468858,
MSBNK-Eawag-EQ00388904__GLACIER__K3,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,60,GLACIER,K3,0.6714352299507942,0.7854490497359413,
MSBNK-Eawag-EQ01061902__ICEBERG_2_1__K1,ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,30,ICEBERG_2_1,K1,0.9885989609794087,0.8822007824383098,
MSBNK-Eawag-EQ01061902__ICEBERG_2_1__K2,ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,30,ICEBERG_2_1,K2,0.9965716021676984,0.9298762650657065,
MSBNK-Eawag-EQ01061902__ICEBERG_2_1__K3,ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,30,ICEBERG_2_1,K3,0.9963181055615619,0.9276261047883636,
MSBNK-Eawag-EQ01061902__GLACIER__K1,ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,30,GLACIER,K1,0.8181442393644313,0.7101821203751996,
MSBNK-Eawag-EQ01061902__GLACIER__K2,ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,30,GLACIER,K2,0.9820023583010468,0.8404489540890638,
MSBNK-Eawag-EQ01061902__GLACIER__K3,ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,30,GLACIER,K3,0.9878327763460905,0.8659649854819069,
MSBNK-Eawag-EQ01061904__ICEBERG_2_1__K1,ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,60,ICEBERG_2_1,K1,0.7186084049921265,0.6574892857365097,
MSBNK-Eawag-EQ01061904__ICEBERG_2_1__K2,ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,60,ICEBERG_2_1,K2,0.8860999922994,0.7149280960001473,
MSBNK-Eawag-EQ01061904__ICEBERG_2_1__K3,ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,60,ICEBERG_2_1,K3,0.8814390736680825,0.7151914977172511,
MSBNK-Eawag-EQ01061904__GLACIER__K1,ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,60,GLACIER,K1,0.13825245441831713,0.2576565634731104,
