connectivity_key,ce_numeric,mu,survival_yield,fragment_depth,precursor_mass_ratio,source,n_acquisitions,n_accepted_rows
AEKQMJRJRAHOAP,15.0,0.9983097585013283,0.9970953193710427,0.418330691896703,0.999999320098137,LCSB,,
AEKQMJRJRAHOAP,30.0,0.937702032221122,0.8770838347142852,0.49316943407238206,0.9999996600490686,LCSB,,
AEKQMJRJRAHOAP,45.0,0.6104188281067451,0.2605739448372519,0.47313043597692456,0.9999996600490686,LCSB,,
AEKQMJRJRAHOAP,60.0,0.4534680972352739,0.019502091625153855,0.44259759777449975,0.999999320098137,LCSB,,
AEKQMJRJRAHOAP,75.0,0.40317216017495694,0.0006180360617673705,0.40280307177774666,0.999998640196274,LCSB,,
AEKQMJRJRAHOAP,90.0,0.3716633589788305,0.0,0.3716633589788305,1.0,LCSB,,
AEOCXXJPGCBFJA,15.0,0.9826997036574756,0.9055022012161235,0.8169180808937488,1.0000005985740767,LCSB,,
AEOCXXJPGCBFJA,30.0,0.9833891218149209,0.9101126110028809,0.8151974026587048,1.0000005985740767,LCSB,,
AEOCXXJPGCBFJA,45.0,0.9227589964929516,0.5731862971278364,0.8190279597826273,1.0000005985740767,LCSB,,
AEOCXXJPGCBFJA,60.0,0.85110790031329,0.23362461572132467,0.8057190996200256,1.0,LCSB,,
AEOCXXJPGCBFJA,75.0,0.7872104204982742,0.06445203790280031,0.7725508598995612,1.0,LCSB,,
AEOCXXJPGCBFJA,90.0,0.7430006006443542,0.012091009871425955,0.7398551871441136,1.0,LCSB,,
AFAIELJLZYUNPW,15.0,0.999928487062143,0.9972368500920742,0.9743695514438077,0.9999993059158527,LCSB,,
AFAIELJLZYUNPW,30.0,0.9980330045476141,0.9919145481233562,0.7568092655523138,0.9999993059158527,LCSB,,
AFAIELJLZYUNPW,45.0,0.9310998244719078,0.7575578938827023,0.7158098862339007,0.9999993059158527,LCSB,,
AFAIELJLZYUNPW,60.0,0.7676626082472754,0.19681037071930685,0.7107316691086786,0.9999996529579265,LCSB,,
AFAIELJLZYUNPW,75.0,0.696944475814616,0.01577623573288944,0.6920867473301633,1.000001041126221,LCSB,,
AFAIELJLZYUNPW,90.0,0.6634760081996239,0.0,0.6634760081996239,1.0,LCSB,,
AFYCEAFSNDLKSX,15.0,0.989506786734822,0.916370370990572,0.8745370047877218,0.9999991384256971,LCSB,,
AFYCEAFSNDLKSX,30.0,0.960983162484285,0.6990435950990609,0.8703571783808438,1.0,LCSB,,
AFYCEAFSNDLKSX,45.0,0.8830838207612823,0.319846792929822,0.8281033740082538,0.9999995692128486,LCSB,,
AFYCEAFSNDLKSX,60.0,0.7826075448493771,0.09307879323695066,0.7602962490761641,0.9999995692128486,LCSB,,
AFYCEAFSNDLKSX,75.0,0.7182242535310479,0.012426324373801537,0.714678764663119,0.9999995692128486,LCSB,,
AFYCEAFSNDLKSX,90.0,0.6527034358761099,0.0009605846001822562,0.6523695073783439,1.0,LCSB,,
AKNQMEBLVAMSNZ,15.0,0.9580698139797303,0.855768614376464,0.7092872635771141,0.9999996667001076,LCSB,,
AKNQMEBLVAMSNZ,30.0,0.7265873707042988,0.20040097333889081,0.6580629123027213,0.9999996667001076,LCSB,,
AKNQMEBLVAMSNZ,45.0,0.5582267373558716,0.005786096305802151,0.5556557224299299,0.9999993334002155,LCSB,,
AKNQMEBLVAMSNZ,60.0,0.5293486060036265,0.0,0.5293486060036265,1.0,LCSB,,
AKNQMEBLVAMSNZ,75.0,0.5195947400353573,0.0,0.5195947400353573,1.0,LCSB,,
AKNQMEBLVAMSNZ,90.0,0.4926621918017418,0.0,0.4926621918017418,1.0,LCSB,,
ALZOLUNSQWINIR,15.0,0.9010094360395767,0.0,0.9010094360395767,1.0,LCSB,,
ALZOLUNSQWINIR,30.0,0.8833638248121758,0.0,0.8833638248121758,1.0,LCSB,,
ALZOLUNSQWINIR,45.0,0.6317450317841802,0.0,0.6317450317841802,1.0,LCSB,,
ALZOLUNSQWINIR,60.0,0.6255507869420542,0.07121494528053575,0.5968396483363284,1.0000013511590242,LCSB,,
ALZOLUNSQWINIR,75.0,0.5340683626423834,0.01974990744220073,0.5246808534933717,1.0,LCSB,,
ALZOLUNSQWINIR,90.0,0.49889463530475114,0.0038649202974447333,0.4969503886512276,1.0,LCSB,,
AMFGTOFWMRQMEM,15.0,0.8281337217398119,0.5764778508094103,0.5941980955677543,0.9999996816019752,LCSB,,
AMFGTOFWMRQMEM,30.0,0.5326273501470634,0.023600523952385145,0.5213305068224099,0.9999996816019752,LCSB,,
AMFGTOFWMRQMEM,45.0,0.47747519032909513,0.0,0.47747519032909513,1.0,LCSB,,
AMFGTOFWMRQMEM,60.0,0.42487007666583154,0.0,0.42487007666583154,1.0,LCSB,,
AMFGTOFWMRQMEM,75.0,0.37291396038118824,0.0,0.37291396038118824,1.0,LCSB,,
AMFGTOFWMRQMEM,90.0,0.3335372679512182,0.0,0.3335372679512182,1.0,LCSB,,
AMRQXHFXNZFDCH,15.0,0.5655414922989154,0.0,0.5655414922989154,1.0,LCSB,,
AMRQXHFXNZFDCH,30.0,0.49800419177016503,0.0,0.49800419177016503,1.0,LCSB,,
AMRQXHFXNZFDCH,45.0,0.5570241193152292,0.0,0.5570241193152292,1.0,LCSB,,
AMRQXHFXNZFDCH,60.0,0.621252778480887,0.0,0.621252778480887,1.0,LCSB,,
AMRQXHFXNZFDCH,75.0,0.5760952570007893,0.0,0.5760952570007893,1.0,LCSB,,
AMRQXHFXNZFDCH,90.0,0.547310824119637,0.0,0.547310824119637,1.0,LCSB,,
AQHHHDLHHXJYJD,15.0,0.9380741288763452,0.8786175933762098,0.48982828034060677,1.0,LCSB,,
AQHHHDLHHXJYJD,30.0,0.6598646532450835,0.3756292793727408,0.4552351813810918,0.9999996156278048,LCSB,,
AQHHHDLHHXJYJD,45.0,0.42582998104805103,0.026937887374746096,0.4099348943979244,0.9999992312556096,LCSB,,
AQHHHDLHHXJYJD,60.0,0.38753953272046276,0.0003876559228237013,0.38730201597303177,1.0000019218609766,LCSB,,
AQHHHDLHHXJYJD,75.0,0.38339139635273534,0.0,0.38339139635273534,1.0,LCSB,,
AQHHHDLHHXJYJD,90.0,0.3867335274789644,0.0,0.3867335274789644,1.0,LCSB,,
AQSQFWLMFCKKMG,15.0,0.6398871294269615,0.3799079258269169,0.4192583257330071,1.000001154969139,LCSB,,
AQSQFWLMFCKKMG,30.0,0.6207631955962708,0.3476916487097684,0.41862341076330134,1.0,LCSB,,
AQSQFWLMFCKKMG,45.0,0.4399449563887748,0.06820527825637929,0.3989501443507664,1.0000005774845695,LCSB,,
AQSQFWLMFCKKMG,60.0,0.3722059825777105,0.0063053859708902425,0.36822238450551215,0.9999994225154304,LCSB,,
AQSQFWLMFCKKMG,75.0,0.34625383983799984,0.0,0.34625383983799984,1.0,LCSB,,
AQSQFWLMFCKKMG,90.0,0.3353069066738546,0.0,0.3353069066738546,1.0,LCSB,,
AQYMRQUYPFCXDM,15.0,0.5786047109569914,0.0,0.5786047109569914,1.0,LCSB,,
AQYMRQUYPFCXDM,30.0,0.5751754243793927,0.0,0.5751754243793927,1.0,LCSB,,
AQYMRQUYPFCXDM,45.0,0.5621380577908212,0.0,0.5621380577908212,1.0,LCSB,,
AQYMRQUYPFCXDM,60.0,0.5006705415549555,0.0,0.5006705415549555,1.0,LCSB,,
AQYMRQUYPFCXDM,90.0,0.3972896449739395,0.0,0.3972896449739395,1.0,LCSB,,
ASOKPJOREAFHNY,15.0,0.944266307500471,0.8293932870734718,0.6733206358443196,1.0,LCSB,,
ASOKPJOREAFHNY,30.0,0.9422848488764447,0.8265783547762567,0.6671940310467273,1.000000735021187,LCSB,,
ASOKPJOREAFHNY,45.0,0.8928945565506932,0.6768233504008293,0.668583912044232,1.000000735021187,LCSB,,
ASOKPJOREAFHNY,60.0,0.7827766208127462,0.3550098443125108,0.6632140223977927,1.000000735021187,LCSB,,
ASOKPJOREAFHNY,75.0,0.6978987869533724,0.13496605639881518,0.650763632474497,1.000000735021187,LCSB,,
ASOKPJOREAFHNY,90.0,0.6388169540672867,0.04639036737644928,0.6212464013844565,1.000000735021187,LCSB,,
AUMLVMKWJGCERZ,15.0,0.46348422293628144,0.0,0.46348422293628144,1.0,LCSB,,
AUMLVMKWJGCERZ,30.0,0.40271741244621634,0.0,0.40271741244621634,1.0,LCSB,,
AUMLVMKWJGCERZ,45.0,0.3537190491515239,0.0,0.3537190491515239,1.0,LCSB,,
AUMLVMKWJGCERZ,60.0,0.3368395976042762,0.0,0.3368395976042762,1.0,LCSB,,
AUMLVMKWJGCERZ,75.0,0.3274214093821753,0.0,0.3274214093821753,1.0,LCSB,,
AUMLVMKWJGCERZ,90.0,0.3113411475203732,0.0,0.3113411475203732,1.0,LCSB,,
AWYOMXWDGWUJHS,15.0,0.9164610487787315,0.39549591064892325,0.8618062229364315,0.9999993732843659,LCSB,,
AWYOMXWDGWUJHS,30.0,0.7594875031516426,0.006595405458873237,0.7578907003552876,0.9999990599265488,LCSB,,
AWYOMXWDGWUJHS,45.0,0.587699841138346,0.0,0.587699841138346,1.0,LCSB,,
AWYOMXWDGWUJHS,60.0,0.5072242080751237,0.0,0.5072242080751237,1.0,LCSB,,
AWYOMXWDGWUJHS,75.0,0.4346687222104301,0.0,0.4346687222104301,1.0,LCSB,,
AWYOMXWDGWUJHS,90.0,0.3714064555635273,0.0,0.3714064555635273,1.0,LCSB,,
BACYUWVYYTXETD,15.0,0.41252874926266286,0.0915238430054658,0.35334437498083876,0.9999996326527615,LCSB,,
BACYUWVYYTXETD,30.0,0.355007463464472,0.002083400812661853,0.3536608792497142,1.0000003673472388,LCSB,,
BACYUWVYYTXETD,45.0,0.32832483636541016,0.0,0.32832483636541016,1.0,LCSB,,
BACYUWVYYTXETD,60.0,0.31329011810792246,0.0,0.31329011810792246,1.0,LCSB,,
BACYUWVYYTXETD,75.0,0.29785658505793483,0.0,0.29785658505793483,1.0,LCSB,,
BACYUWVYYTXETD,90.0,0.28357875313553027,0.0,0.28357875313553027,1.0,LCSB,,
BBXXLROWFHWFQY,15.0,0.998758675955053,0.994151361117386,0.7879202357501208,0.9999990483445715,LCSB,,
BBXXLROWFHWFQY,30.0,0.9915649780274274,0.9610973351967343,0.7831879975708894,0.9999995241722858,LCSB,,
BBXXLROWFHWFQY,45.0,0.8812181191161557,0.5928082504249353,0.7082907526166551,0.9999995241722858,LCSB,,
BBXXLROWFHWFQY,60.0,0.6669644814675612,0.14722800490122206,0.6094671842047324,0.9999995241722858,LCSB,,
BBXXLROWFHWFQY,75.0,0.5174882380694883,0.020244782455806975,0.5075180480896521,1.0,LCSB,,
BBXXLROWFHWFQY,90.0,0.43764273907573364,0.0015680426380578914,0.4367595555355711,0.9999990483445715,LCSB,,
BCGWQEUPMDMJNV,15.0,0.6297443023615016,0.4641665915991895,0.3090099893586864,0.999999644382741,LCSB,,
BCGWQEUPMDMJNV,30.0,0.3372655910800727,0.044412060003445816,0.3064642723149823,0.9999992887654819,LCSB,,
BCGWQEUPMDMJNV,45.0,0.30062062391588096,0.0,0.30062062391588096,1.0,LCSB,,
BCGWQEUPMDMJNV,60.0,0.29655819031016567,0.0,0.29655819031016567,1.0,LCSB,,
BCGWQEUPMDMJNV,75.0,0.29221505231689615,0.0,0.29221505231689615,1.0,LCSB,,
BCGWQEUPMDMJNV,90.0,0.29648495581295764,0.0,0.29648495581295764,1.0,LCSB,,
BDNFQGRSKSQXRI,15.0,0.6750935211529263,0.45348436134242265,0.4054948350743811,0.9999997597435984,LCSB,,
BDNFQGRSKSQXRI,30.0,0.4391291311856779,0.0688001731557359,0.3976900884477878,1.0000002402564017,LCSB,,
BDNFQGRSKSQXRI,45.0,0.38725514362661256,0.0,0.38725514362661256,1.0,LCSB,,
BDNFQGRSKSQXRI,60.0,0.37298312660633004,0.0,0.37298312660633004,1.0,LCSB,,
BDNFQGRSKSQXRI,75.0,0.3581341808314081,0.0,0.3581341808314081,1.0,LCSB,,
