parent_key,stratum,mh,compound_name,parent_smiles,formula,primary_source,primary_catalogue_id,primary_cid,vendors,catalogue_ids,n_listings,purity_stated,stock_status,scaffold_group
INKCQRGAPBDVIZ,L,294.11247,Methyl 3-(quinolin-2-ylmethoxy)benzoate,COC(=O)c1cccc(OCc2ccc3ccccc3n2)c1,C18H15NO3,TargetMol,T71273,13626863.0,TargetMol,TargetMol:T71273,1,,,c1ccc(OCc2ccc3ccccc3n2)cc1
INLIXXRWNUKVCF,L,296.1241,Glycyl-glycyl-tyrosine,NCC(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,C13H17N3O5,MedChemexpress MCE,HY-W480799,6992499.0,MedChemexpress MCE,MedChemexpress MCE:HY-W480799,1,,,c1ccccc1
INLMRTPMNPOFAV,L,224.96352,"1-(3-Chlorophenyl)-2,2-dichloroethanol",OC(c1cccc(Cl)c1)C(Cl)Cl,C8H7Cl3O,TargetMol,T30419,33983.0,TargetMol,TargetMol:T30419,1,,,c1ccccc1
INMIEUQKQXVBKR,L,176.0706,"5H,6H,7H,8H,9H-cyclohepta[b]pyridine-5,9-dione",O=C1CCCC(=O)c2ncccc21,C10H9NO2,TargetMol,TYD-03108,53485132.0,TargetMol,TargetMol:TYD-03108,1,,,O=C1CCCC(=O)c2ncccc21
INMKWUNQKOWGEZ,L,213.14852,Traumatin,O=C/C=C/CCCCCCCCC(=O)O,C12H20O3,MedChemexpress MCE,HY-W747206,5312889.0,MedChemexpress MCE,MedChemexpress MCE:HY-W747206,1,,,__ACYCLIC__INMKWUNQKOWGEZ
INMRKBDZTKEPHM,L,270.19647,PptT-IN-4,CCNc1cccc(Nc2c(CC)cccc2CC)n1,C17H23N3,MedChemexpress MCE,HY-149305,168475853.0,MedChemexpress MCE,MedChemexpress MCE:HY-149305,1,,,c1ccc(Nc2ccccn2)cc1
INNZWYJJSSRJET,L,239.96547,6-Bromo-1H-indole-3-carboxylic acid,O=C(O)c1c[nH]c2cc(Br)ccc12,C9H6BrNO2,TargetMol,TN7177,15284837.0,TargetMol,TargetMol:TN7177,1,,,c1ccc2[nH]ccc2c1
INOAASCWQMFJQA,L,289.21958,16-Mercaptohexadecanoic acid,O=C(O)CCCCCCCCCCCCCCCS,C16H32O2S,MedChemexpress MCE,HY-137247,3522585.0,MedChemexpress MCE,MedChemexpress MCE:HY-137247,1,,,__ACYCLIC__INOAASCWQMFJQA
INOYCBNLWYEPSB,L,262.18016,Etoxadrol,CC[C@]1(c2ccccc2)OC[C@H]([C@@H]2CCCCN2)O1,C16H23NO2,MedChemexpress MCE,HY-107040,14208380.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-107040;TargetMol:T60423,2,,,c1ccc(C2OCC(C3CCCCN3)O2)cc1
INPQIVHQSQUEAJ,L,223.08773,5-Fluorotryptophan,N[C@@H](Cc1c[nH]c2ccc(F)cc12)C(=O)O,C11H11FN2O2,TargetMol,T205584,688357.0,TargetMol,TargetMol:T205584,1,,,c1ccc2[nH]ccc2c1
INRQKLGGIVSJRR,L,159.10157,5-Hydroxypentyl acrylate,C=CC(=O)OCCCCCO,C8H14O3,TargetMol,T84029,92696.0,TargetMol,TargetMol:T84029,1,,,__ACYCLIC__INRQKLGGIVSJRR
INSBKYCYLCEBOD,L,293.09207,"(5-Oxo-5,6-dihydroindolo(1,2-a)quinazolin-7-yl)acetic acid",O=C(O)Cc1c2ccccc2n2c1[nH]c(=O)c1ccccc12,C17H12N2O3,MedChemexpress MCE,HY-117332,447682.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-117332;TargetMol:T69307,2,,,O=c1[nH]c2cc3ccccc3n2c2ccccc12
INTCSWFXEXGUFR,L,247.10772,D-3017,Cc1cccc(C)c1NC(=O)c1cc(CO)on1,C13H14N2O3,MedChemexpress MCE,HY-171182,3076191.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-171182;TargetMol:T204154,2,,,O=C(Nc1ccccc1)c1ccon1
