parent_key,stratum,mh,compound_name,parent_smiles,formula,primary_source,primary_catalogue_id,primary_cid,vendors,catalogue_ids,n_listings,purity_stated,stock_status,scaffold_group
AADHOCZPXZFODY,H,782.72322,ALC-0315 analogue-2,CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCOCCO,C48H95NO6,MedChemexpress MCE,HY-153380,168355632.0,MedChemexpress MCE,MedChemexpress MCE:HY-153380,1,,,__ACYCLIC__AADHOCZPXZFODY
AADIIQJBIMAADJ,H,887.46349,"(1R,4S,6R,7S,8R,9S,13S,16S,18R)-16-[(2R,3R,4S,5R,6R)-5-hydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-10-one",CC1CC[C@@]2(OC1)O[C@H]1CC3[C@@H]4CC[C@@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)C4CC(=O)[C@]3(C)[C@H]1[C@@H]2C,C44H70O18,TargetMol,T125156,155978596.0,TargetMol,TargetMol:T125156,1,,,O=C1CC2C3CCC(OC4OCCC(OC5CCCCO5)C4OC4CCCCO4)CC3CCC2C2CC3OC4(CCCCO4)CC3C12
AAIPPJPUZKZIHC,H,840.26217,PROTAC BRAF-V600E degrader-2,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(CNC(=O)CCCCNc5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)cc4)cc23)c1F,C42H39F2N7O8S,MedChemexpress MCE,HY-137488,155551346.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-137488;TargetMol:T8744,2,,,O=C(CCCCNc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O)NCc1ccc(-c2cnc3[nH]cc(C(=O)c4ccccc4)c3c2)cc1
AAIXMIVJLTUMHO,H,898.40701,Ac-GpYLPQTV-NH2,CC(=O)NCC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O,C38H60N9O14P,MedChemexpress MCE,HY-P10201,170453340.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-P10201;TargetMol:TP2532,2,,,O=C(CCc1ccccc1)NCC(=O)N1CCCC1
AAJZUTNLESPXOT,H,809.47406,m-PEG17-acid,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)O,C36H72O19,MedChemexpress MCE,HY-140502,77078249.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-140502;TargetMol:T18157,2,,,__ACYCLIC__AAJZUTNLESPXOT
AAKJOZZAGIRTOJ,H,803.18766,"(2S,3S,4S,5R,6S)-3,4,5-Trihydroxy-6-((5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-3,6-bis(((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)oxy)-4H-chromen-7-yl)oxy)tetrahydro-2H-pyran-2-carboxylic acid",O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccc(O)cc4)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(=O)c3c(O)c2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C33H38O23,TargetMol,TN2432,102240411.0,TargetMol,TargetMol:TN2432,1,,,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2cc(OC3CCCCO3)c(OC3CCCCO3)cc12
AALHEPDXYGYRRZ,H,883.35953,3 inverted exclamation mark-O-Me-C(Bz)-2 inverted exclamation mark-phosphoramidite,COc1ccc(C(OC[C@H]2O[C@@H](N3C=CC(NC(=O)c4ccccc4)NC3=O)[C@@H](OP(OCCC#N)P(C(C)C)C(C)C)C2OC)(c2ccccc2)c2ccc(OC)cc2)cc1,C47H56N4O9P2,MedChemexpress MCE,HY-154481,168265859.0,MedChemexpress MCE,MedChemexpress MCE:HY-154481,1,,,O=C(NC1C=CN(C2CCC(COC(c3ccccc3)(c3ccccc3)c3ccccc3)O2)C(=O)N1)c1ccccc1
AALSAFLHXNIBQV,H,739.31716,"[(1R,3R,4R,9E,12S,13S,14R,15S)-3,4,12,13,15-pentaacetyloxy-6-hydroxy-4,8,11,11-tetramethyl-7,18-dioxo-19-oxatricyclo[13.4.0.02,6]nonadec-9-en-14-yl] 2-methylpropanoate",CC(=O)O[C@H]1[C@@H](OC(C)=O)C(C)(C)/C=C/C(C)C(=O)C2(O)C[C@@](C)(OC(C)=O)[C@H](OC(C)=O)C2[C@H]2OC(=O)CC[C@@]2(OC(C)=O)[C@@H]1OC(=O)C(C)C,C36H50O16,TargetMol,TN11942,24011660.0,TargetMol,TargetMol:TN11942,1,,,O=C1CCC2CCCCC=CCC(=O)C3CCCC3C2O1
AAPRWZFIOAUINZ,H,852.46544,"(2S)-2-[[(2S)-2-[(4S)-4-[[(2S,3S)-2-[[(2S)-2-[[(2R)-2-(aminomethyl)-3-methylbutanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]amino]-3-methylpentanoyl]amino]-3-oxo-1,4,5,10-tetrahydroazepino[3,4-b]indol-2-yl]pentanoyl]amino]-3-phenylpropanoic acid",CCC[C@@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)N1Cc2[nH]c3ccccc3c2C[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CN)C(C)C)[C@@H](C)CC)C1=O,C47H61N7O8,TargetMol,T32240,168012746.0,TargetMol,TargetMol:T32240,1,,,O=C(CCc1ccccc1)NCC(=O)NC1Cc2c([nH]c3ccccc23)CN(CC(=O)NCCc2ccccc2)C1=O
AAXHDXXSVPGFQV,H,811.44745,"(2S,3S,4S,5R,6R)-6-[(2R,3R,4S,5S,6S)-2-[[(3S,6aR,6bS,8aR,9R,14bS)-9-hydroxy-14b-(hydroxymethyl)-4,4,6a,6b,8a,11,11-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-6-carboxy-4,5-dihydroxyoxan-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",CC1(C)CC2C3=CCC4[C@@]5(CO)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)C5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)[C@H](O)C1,C42H66O15,TargetMol,T129173,155978606.0,TargetMol,TargetMol:T129173,1,,,C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C2C1
AAXMCYUUKFLUMJ,H,885.79057,"[2-[(9Z,12Z)-Octadeca-9,12-dienoyl]oxy-3-[(Z)-octadec-9-enoyl]oxypropyl] octadecanoate",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC,C57H104O6,MedChemexpress MCE,HY-170634,14299221.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-170634;TargetMol:T203299,2,,,__ACYCLIC__AAXMCYUUKFLUMJ
AAXYAFFKOSNMEB,H,789.07904,"Guanosine 5'-(tetrahydrogen triphosphate), P''->5'-ester with guanosine",Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C20H27N10O18P3,MedChemexpress MCE,HY-139099,135450902.0,MedChemexpress MCE,MedChemexpress MCE:HY-139099,1,,,O=c1[nH]cnc2c1ncn2C1CCC(CO[PH](=O)O[PH](=O)O[PH](=O)OCC2CCC(n3cnc4c(=O)[nH]cnc43)O2)O1
ABCVHPIKBGRCJA,H,710.6657,Lipidv-004,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,C44H87NO5,MedChemexpress MCE,HY-138171,126697428.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-138171;TargetMol:T39502,2,,,__ACYCLIC__ABCVHPIKBGRCJA
ABFJWRKPWCFTQP,H,887.80622,"[3-[(9Z,12Z)-Octadeca-9,12-dienoyl]oxy-2-octadecanoyloxypropyl] octadecanoate",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,C57H106O6,MedChemexpress MCE,HY-168390,9544185.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-168390;TargetMol:T203195,2,,,__ACYCLIC__ABFJWRKPWCFTQP
ABFVOQUVIKYANW,H,896.16983,"methyl 5-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-5-oxopentanoate",COC(=O)CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C27H44N7O19P3S,TargetMol,TYD-04296,101185368.0,TargetMol,TargetMol:TYD-04296,1,,,c1ncc2ncn(C3CCCO3)c2n1
ABJATKZPSPFIQY,H,793.33945,Phosphine-biotin,COC(=O)c1ccc(C(=O)NCCCOCCOCCOCCCNC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@@H]32)cc1P(c1ccccc1)c1ccccc1,C41H53N4O8PS,MedChemexpress MCE,HY-137360,24859184.0,MedChemexpress MCE,MedChemexpress MCE:HY-137360,1,,,O=C(CCCCC1SCC2NC(=O)NC21)NCCCOCCOCCOCCCNC(=O)c1cccc(P(c2ccccc2)c2ccccc2)c1
ABLSMJDLHUNVCV,H,752.3389,DBCO-C3-amide-PEG6-NHS ester,O=C(CCCC(=O)N1Cc2ccccc2C#Cc2ccccc21)NCCOCCOCCOCCOCCOCCOCCC(=O)ON1C(=O)CCC1=O,C39H49N3O12,MedChemexpress MCE,HY-160773A,172676793.0,MedChemexpress MCE,MedChemexpress MCE:HY-160773A,1,,,O=C(CCCC(=O)N1Cc2ccccc2C#Cc2ccccc21)NCCOCCOCCOCCOCCOCCOCCC(=O)ON1C(=O)CCC1=O
ABOXJBHGJDKUNW,H,825.53721,"2-[(4E,8E,12E,16E)-21-[1-[(Z)-(2,4-dioxopyrrolidin-3-ylidene)-hydroxymethyl]-5-hydroxy-1,3-dimethyl-4a,5,6,7,8,8a-hexahydro-2H-naphthalen-2-yl]-2,6,10,14,18-pentahydroxy-11,17,19-trimethylhenicosa-4,8,12,16-tetraenyl]pyrrolidine-1-carboximidamide",CC1=CC2C(O)CCCC2C(C)(/C(O)=C2\C(=O)CNC2=O)C1CCC(C)C(O)/C(C)=C/CC(O)/C=C/C(C)C(O)/C=C/CC(O)/C=C/CC(O)CC1CCCN1C(=N)N,C46H72N4O9,MedChemexpress MCE,HY-123347,54718897.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-123347;TargetMol:T37546,2,,,O=C1CNC(=O)C1=CC1C(CCCCC=CCCC=CCCC=CCCC=CCCCC2CCCN2)C=CC2CCCCC21
ABPYUKBBMCBILQ,H,738.44364,"(S)-N-((S)-1-(((2R,4S)-1,2-dihydroxy-2,6-dimethyl-3-oxoheptan-4-yl)amino)-1-oxo-3-phenylpropan-2-yl)-4-methyl-2-((S)-2-(2-morpholinoacetamido)-4-phenylbutanamido)pentanamide",CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@](C)(O)CO,C40H59N5O8,TargetMol,TYD-03361,86715358.0,TargetMol,TargetMol:TYD-03361,1,,,O=C(CNC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)NCCc1ccccc1
ABRFDOJVIQDFSP,H,761.37881,Gadgvgksa,CC(C)[C@H](NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)CN)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)O,C30H52N10O13,MedChemexpress MCE,HY-P3488,146019233.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-P3488;TargetMol:T82353,2,,,__ACYCLIC__ABRFDOJVIQDFSP
ABYFWCBFVBXOMM,H,728.31104,"3-[7-[4-[[4-[6-(4-chloroanilino)-1-methyl-5,6-dihydro-4H-[1,2,4]triazolo[4,3-a][1]benzazepin-8-yl]phenyl]methylamino]butyl]-3-oxo-1H-isoindol-2-yl]piperidine-2,6-dione",Cc1nnc2n1-c1ccc(-c3ccc(CNCCCCc4cccc5c4CN(C4CCC(=O)NC4=O)C5=O)cc3)cc1C(Nc1ccc(Cl)cc1)CC2,C42H42ClN7O3,MedChemexpress MCE,HY-153414,168355540.0,MedChemexpress MCE,MedChemexpress MCE:HY-153414,1,,,O=C1CCC(N2Cc3c(CCCCNCc4ccc(-c5ccc6c(c5)C(Nc5ccccc5)CCc5nncn5-6)cc4)cccc3C2=O)C(=O)N1
ACAMGMHLXXFLBO,H,874.27642,"[(1S,3R,13R,17S,18R,19R,20R,21S,22R,24R,25S)-18,19,21,22,24-pentaacetyloxy-14,25-dihydroxy-3,13,14,25-tetramethyl-6,15-dioxo-2,5,16-trioxa-11-azapentacyclo[15.7.1.01,20.03,23.07,12]pentacosa-7(12),8,10-trien-20-yl]methyl furan-3-carboxylate",CC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(COC(=O)c3ccoc3)[C@H](OC(C)=O)[C@H](OC(C)=O)C3[C@@H](OC(C)=O)[C@@]24O[C@@]3(C)COC(=O)c2cccnc2[C@@H](C)C(C)(O)C(=O)O[C@@H]1[C@]4(C)O,C41H47NO20,TargetMol,T125277,168011865.0,TargetMol,TargetMol:T125277,1,,,O=C1CCc2ncccc2C(=O)OCC2OC34CC(CCC3(COC(=O)c3ccoc3)CCC2C4)O1
ACCYCJOHUMRMMV,H,821.39541,Licoricesaponin E2,CC1(C)[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@]6(C)C[C@@H](OC6=O)[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,C42H60O16,MedChemexpress MCE,HY-N7231,86278258.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-N7231;TargetMol:T129708;TargetMol:TN4436,3,,,O=C1OC2CC1CC1C3=CC(=O)C4C5CCC(OC6OCCCC6OC6CCCCO6)CC5CCC4C3CCC21
ACEAAPMVQKIKSH,H,782.33823,Anti-inflammatory agent 74,COc1ccc([C@@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O[C@H]3O[C@H](COC(=O)[C@H](Cc4ccccc4)NC(=O)OC(C)(C)C)[C@@H](O)[C@H](O)[C@H]3O)c(OC)c2)cc1OC,C41H51NO14,MedChemexpress MCE,HY-157809,170836199.0,MedChemexpress MCE,MedChemexpress MCE:HY-157809,1,,,O=C(CCc1ccccc1)OCC1CCCC(Oc2ccc(C3OCC4C(c5ccccc5)OCC34)cc2)O1
ACFIXJIJDZMPPO,H,746.09838,NADPH,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C21H30N7O17P3,MedChemexpress MCE,HY-113324,5884.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-113324;MedChemexpress MCE:HY-F0003;MedChemexpress MCE:HY-F0003A;TargetMol:T19467;TargetMol:T7092;TargetMol:TN11623,6,,,O=[PH](OCC1CCC(N2C=CCC=C2)O1)O[PH](=O)OCC1CCC(n2cnc3cncnc32)O1
ACOSULPOSKAXDI,H,741.47835,"2-[[17-[5-(2-hydroxypropan-2-yl)-2-methyloxolan-2-yl]-4,4,8,10,14-pentamethyl-12-(3,4,5-trihydroxyoxan-2-yl)oxy-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]oxane-3,4,5-triol",CC(C)(O)C1CCC(C)(C2CCC3(C)C2C(OC2OCC(O)C(O)C2O)CC2C4(C)CCC(OC5OCC(O)C(O)C5O)C(C)(C)C4CCC23C)O1,C40H68O12,TargetMol,TN12215,172883317.0,TargetMol,TargetMol:TN12215,1,,,C1CCC(OC2CCC3C(CCC4C3CC(OC3CCCCO3)C3C(C5CCCO5)CCC43)C2)OC1
ACPDNLLISIAERE,H,795.44397,4-[2-(2-Acetylamino-3-naphtalen-1-YL-propionylamino)-4-methyl-pentanoylamino]-3-hydroxy-6-methyl-heptanoic acid [1-(1-carbamoyl-2-naphthalen-1-YL-ethylcarbamoyl)-propyl]-amide,CC[C@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1cccc2ccccc12)NC(C)=O)C(C)C)C(=O)N[C@@H](Cc1cccc2ccccc12)C(N)=O,C45H58N6O7,TargetMol,T24416,447618.0,TargetMol,TargetMol:T24416,1,,,O=C(CCCNC(=O)CNC(=O)CCc1cccc2ccccc12)NCC(=O)NCCc1cccc2ccccc12
ACRSOTAEOXNROB,H,772.46775,TAM558 intermediate-5,CCCO[C@H](C[C@H](C(C)C)N(CCC)C(=O)[C@@H](NC(=O)[C@H]1CCCCN1C)[C@@H](C)CC)c1nc(C(=O)N[C@@H](Cc2ccc(O)cc2)C[C@H](C)C(=O)O)cs1,C41H65N5O7S,MedChemexpress MCE,HY-48564,89520284.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-48564;TargetMol:T89656,2,,,O=C(CNC(=O)C1CCCCN1)NCCCc1nc(C(=O)NCCc2ccccc2)cs1
ADDGUHVEJPNWQZ,H,790.34332,10-Deacetylcephalomannine,C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,C43H51NO13,MedChemexpress MCE,HY-N8266,6440548.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-N8266;TargetMol:TN5605;TargetMol:TN7414,3,,,O=C(CCc1ccccc1)OC1C=C2CC(=O)C3CCC4OCC4C3C(OC(=O)c3ccccc3)C(C2)C1
ADKDNDYYIZUVCZ,H,889.49892,Unii-qhk6Z47gtg,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCC(N)=O)C(=O)O)[C@@H](C)O)[C@@H](C)O,C38H68N10O14,MedChemexpress MCE,HY-P0170,62707662.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-P0170;TargetMol:TP1328;TargetMol:TP2308,3,,,__ACYCLIC__ADKDNDYYIZUVCZ
ADMFWPBDASJZNU,H,892.39479,Leucokinin I,C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(N)=O,C41H53N11O12,MedChemexpress MCE,HY-125295,5491285.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-125295;TargetMol:T20688;TargetMol:T20688L,3,,,O=C(CNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C1CCCN1)NCCc1c[nH]c2ccccc12
ADNHOQYEDVQAGD,H,802.40554,Tubulysin I,CC[C@H](C)[C@H](NC(=O)[C@H]1CCCCN1C)C(=O)N(COC(C)=O)[C@H](C[C@@H](OC(C)=O)c1nc(C(=O)N[C@@H](Cc2ccc(O)cc2)C[C@H](C)C(=O)O)cs1)C(C)C,C40H59N5O10S,MedChemexpress MCE,HY-N7052,11422937.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-N7052;TargetMol:T13943,2,,,O=C(CNC(=O)C1CCCCN1)NCCCc1nc(C(=O)NCCc2ccccc2)cs1
ADNSCHWVDQCQAG,H,771.41615,Ophiopogonin R,C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@@]3(O)[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)CC[C@]5(C)[C@H]4C[C@H](O)[C@]3(C)[C@@]1(O)[C@@H]2C,C39H62O15,MedChemexpress MCE,HY-N12128,71523896.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-N12128;TargetMol:T81602,2,,,C1=C2CC(OC3OCCCC3OC3CCCCO3)CCC2C2CCC3C4CC5(CCCCO5)OC4CC3C2C1
ADWZBTIGCZHWBW,H,814.02832,Uridine adenosine tetraphosphate,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@@H](O)C2O)[C@H](O)C1O,C19H27N7O21P4,MedChemexpress MCE,HY-137606,172419422.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-137606;TargetMol:T89500,2,,,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)O2)c(=O)[nH]1
ADXLZUPUMVAMKL,H,855.39639,"4-[4-[4-[2-[4-(2,6-dioxopiperidin-3-yl)phenyl]ethyl]piperazin-1-yl]phenyl]-7-fluoro-N-methyl-6-[(3R)-1-(3-pyrazol-1-ylpropanoyl)piperidin-3-yl]-N-(2,2,2-trifluoroethyl)-1H-indole-2-carboxamide",CN(CC(F)(F)F)C(=O)c1cc2c(-c3ccc(N4CCN(CCc5ccc(C6CCC(=O)NC6=O)cc5)CC4)cc3)cc([C@H]3CCCN(C(=O)CCn4cccn4)C3)c(F)c2[nH]1,C46H50F4N8O4,TargetMol,T212789,178253635.0,TargetMol,TargetMol:T212789,1,,,O=C1CCC(c2ccc(CCN3CCN(c4ccc(-c5cc(C6CCCN(C(=O)CCn7cccn7)C6)cc6[nH]ccc56)cc4)CC3)cc2)C(=O)N1
ADYHVGXLTSRLTE,H,783.3764,VH032-PEG5-C6-Cl,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCCCCCCCl)C(C)(C)C)cc1,C38H59ClN4O9S,MedChemexpress MCE,HY-112495,134694955.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-112495;TargetMol:T17996,2,,,O=C(NCc1ccc(-c2cncs2)cc1)C1CCCN1
AEABSNNHNNJKEX,H,765.39637,(|A-Ala8)-Neurokinin A (4-10),CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CCNC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(N)=O,C35H56N8O9S,MedChemexpress MCE,HY-P3851,10327816.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-P3851;TargetMol:T76428,2,,,c1ccccc1
AEFSLXKVONEDJJ,H,712.21601,Fgfr4-IN-18,C[C@@H](Oc1cc(NC(=O)Nc2nc(C=O)c(CN3CCN(C)CC3=O)cc2OCCN2CCOCC2)ncc1C#N)c1c(Cl)cncc1Cl,C32H35Cl2N9O6,MedChemexpress MCE,HY-162283,171037921.0,MedChemexpress MCE,MedChemexpress MCE:HY-162283,1,,,O=C(Nc1cc(OCc2ccncc2)ccn1)Nc1ncc(CN2CCNCC2=O)cc1OCCN1CCOCC1
AEMHQINEOUHGTE,H,738.22332,RXFP1 receptor agonist-6,COc1ccc(-c2cc([C@H](OC(=O)Nc3ccccc3)C(=O)O)ccc2F)cc1C(=O)N[C@H]1[C@@H]2CCC[C@@H]2[C@H]1C(=O)Nc1ccc(F)c(C(F)(F)F)c1,C38H32F5N3O7,MedChemexpress MCE,HY-156541,168476182.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-156541;TargetMol:T81241,2,,,O=C(Nc1ccccc1)OCc1cccc(-c2cccc(C(=O)NC3C4CCCC4C3C(=O)Nc3ccccc3)c2)c1
AEMLCJQUJBKKDK,H,796.42128,TREM-1 inhibitory peptide M3,NC(N)=NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](N)CCCN=C(N)N)C(=O)NCC(=O)NCC(=O)O,C36H53N13O8,MedChemexpress MCE,HY-P10089,169450497.0,MedChemexpress MCE,MedChemexpress MCE:HY-P10089,1,,,O=C(CCc1ccccc1)NCCc1ccccc1
AEMUKWXFLKZKMD,H,844.44713,Biotin-PEG12-Acid,O=C(O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,C37H69N3O16S,MedChemexpress MCE,HY-140493,77078447.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-140493;TargetMol:T14581,2,,,O=C1NC2CSCC2N1
AEQQRWBPGUGJSK,H,742.24745,"N-[5-chloro-2-methyl-4-(trifluoromethyl)phenyl]-2-[2-(3,6-dihydro-2H-pyran-4-yl)-5-ethyl-6-[3-(5-hydroxy-6-methylpyrimidine-4-carbonyl)-3,8-diazabicyclo[3.2.1]octan-8-yl]-7-oxo-[1,2,4]triazolo[1,5-a]pyrimidin-4-yl]acetamide",CCc1c(N2C3CCC2CN(C(=O)c2ncnc(C)c2O)C3)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1cc(Cl)c(C(F)(F)F)cc1C,C34H35ClF3N9O5,TargetMol,T201262,172652659.0,TargetMol,TargetMol:T201262,1,,,O=C(Cn1cc(N2C3CCC2CN(C(=O)c2ccncn2)C3)c(=O)n2nc(C3=CCOCC3)nc12)Nc1ccccc1
