gate_reached,cases,fraction_of_240
a1_adequacy,154,0.6416666666666667
stability,43,0.17916666666666667
all_passed,25,0.10416666666666667
null_threshold,16,0.06666666666666667
ceiling,1,0.004166666666666667
falsification,1,0.004166666666666667
