cmp_key,recorded_key14s,parent_keys,scaffold_groups,n_distinct_smiles,smiles,name,uchem_ids,first_release,releases,n_records,nce_ladder,n_nce,instruments,n_instruments,precursor_mz,mh_calc,heavy_atoms,elements,n_frag_raw,formula,confidence,publication,authors,license,any_smiles_ik_mismatch,max_abs_mh_error_da,scaffold_group,n_scaffold_groups_in_records,uchem_id_in_2023_11_tree,in_msg15_any_route,in_msg15_recorded_route,in_msg15_parent_route,in_msg15_simchallenge,in_mspred_msg_labels,in_muru_registry_keys,in_muru_exposed_pop_keys,in_muru_dev_pop_keys,in_pr7_keys,in_comparator_keys,in_msnlib_9lib_keys,in_msnlib_v1_4lib_keys,in_multims2_reserved,sg_in_muru_registry,sg_in_muru_dev_pop,sg_in_pr7,sg_in_comparator,sg_in_msg15,acyclic,msg15_nn_tanimoto,msg15_nn_smiles,msg15_same_formula_n_structures,msg15_same_formula_max_tanimoto,tagged_release,ge3_nce,clean_compound_level,clean_primary,clean_conservative,clean_strict_msg_scaffold
QIQNNBXHAYSQRY,QIQNNBXHAYSQRY,QIQNNBXHAYSQRY,C1CC2CCC(C1)N2,1,CN1C2CCC1C(C(C2)O)C(=O)OC,,11530,2024.06,2024.06,8,"15,30,45,60,75,90,120,150",8,Exploris 240 Orbitrap Thermo Scientific,1,200.1281,200.12811987088,14.0,"C,H,N,O",1,C10H17NO3,standard compound,"Meyer, C., Stravs, M., Hollender, J.. How Wastewater Reflects Human Metabolism - Suspect Screening of Pharmaceutical Metabolites in Wastewater Influent. doi:10.1021/acs.est.4c00968","C. Meyer [dtc], B. Beck [dtc,com], J. Hollender [dtc]",CC BY-SA,False,1.987088000987569e-05,C1CC2CCC(C1)N2,1,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1.0,COC(=O)[C@@H]1C2CCC(C[C@@H]1O)N2C,6,1.0,True,True,False,False,False,False
QNGVNLMMEQUVQK,QNGVNLMMEQUVQK,QNGVNLMMEQUVQK,c1ccccc1,1,CCN(CC)C1=CC=C(C=C1)N,"4-N,4-N-diethylbenzene-1,4-diamine",3980,2024.11,2024.11,8,"15,30,45,60,75,90,120,150",8,Q Exactive Plus,1,165.1386,165.13862497888,12.0,"C,H,N",1,C10H16N2,standard compound,,"F. Jud [dtc], K. Arturi [dtc], J. Hollender [dtc], A. Dax [com]",CC BY-SA,False,2.497887999197701e-05,c1ccccc1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,0.5384615384615384,CCN(CC)c1ccc(C=O)cc1,1,0.30434782608695654,True,True,True,False,False,False
QNZCBYKSOIHPEH,QNZCBYKSOIHPEH,QNZCBYKSOIHPEH,O=C1CCCCN1c1ccc(N2CCc3cnn(-c4ccccc4)c3C2=O)cc1,1,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,"1-(4-methoxyphenyl)-7-oxo-6-[4-(2-oxopiperidin-1-yl)phenyl]-4,5-dihydropyrazolo[3,4-c]pyridine-3-carboxamide",11042,2024.11,2024.11,6,"15,30,45,60,75,120",6,Q Exactive,1,460.1979,460.19793074688005,34.0,"C,H,N,O",1,C25H25N5O4,standard compound,,"E. Ceppi [dtc], K. Fenner [dtc], A. Dax [com]",CC BY-SA,False,3.074688004289783e-05,O=C1CCCCN1c1ccc(N2CCc3cnn(-c4ccccc4)c3C2=O)cc1,1,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,False,1.0,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,2,1.0,True,True,False,False,False,False
QQQYTWIFVNKMRW,QQQYTWIFVNKMRW,QQQYTWIFVNKMRW,O=C(NC(=O)c1ccccc1)Nc1ccccc1,1,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC=C(Cl)C=C1,Diflubenzuron,3518,2024.11,2024.11,9,"15,30,45,60,75,90,120,150,180",9,Q Exactive Plus,1,311.0393,311.03933811488,21.0,"C,Cl,F,H,N,O",1,C14H9ClF2N2O2,standard compound,,"F. Jud [dtc], K. Arturi [dtc], J. Hollender [dtc], A. Dax [com]",CC BY-SA,False,3.8114879998829565e-05,O=C(NC(=O)c1ccccc1)Nc1ccccc1,1,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,1.0,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,1,1.0,True,True,False,False,False,False
QRVYABWJVXXOTN,QRVYABWJVXXOTN,QRVYABWJVXXOTN,c1ccccc1,1,CSC1=CC=C(C=O)C=C1,4-(Methylthio)benzaldehyde,11103,2024.11,2024.11,9,"15,30,45,60,75,90,120,150,180",9,Exploris 240 Thermo Scientific,1,153.0369,153.03686234288,10.0,"C,H,O,S",1,C8H8OS,standard compound,,"F. Jud [dtc], K. Arturi [dtc], J. Hollender [dtc], A. Dax [com]",CC BY-SA,False,3.76571200035869e-05,c1ccccc1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,0.46153846153846156,CN(C)c1ccc(C=O)cc1,0,,True,True,True,False,False,False
QRZAKQDHEVVFRX,QRZAKQDHEVVFRX,QRZAKQDHEVVFRX,c1ccc(-c2ccccc2)cc1,1,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O,2-(4-phenylphenyl)acetic acid,11627,2024.06,2024.06,9,"15,30,45,60,75,90,120,150,180",9,Exploris 240 Orbitrap Thermo Scientific,1,213.091,213.09100609088,16.0,"C,H,O",1,C14H12O2,standard compound,,"B. Beck [dtc,com], J. Hollender [dtc]",CC BY-SA,False,6.090879992370901e-06,c1ccc(-c2ccccc2)cc1,1,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,False,0.7272727272727273,O=C(O)Cc1ccccc1,0,,True,True,False,False,False,False
QSNSCYSYFYORTR,QSNSCYSYFYORTR,QSNSCYSYFYORTR,c1ccccc1,1,NC1=CC=C(Cl)C=C1,4-Chloroaniline,4333,2024.11,2024.11,9,"15,30,45,60,75,90,120,150,180",9,Q Exactive Plus,1,128.0262,128.02615333888,8.0,"C,Cl,H,N",1,C6H6ClN,standard compound,,"F. Jud [dtc], K. Arturi [dtc], J. Hollender [dtc], A. Dax [com]",CC BY-SA,False,4.66611199954059e-05,c1ccccc1,1,False,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,1.0,Nc1ccc(Cl)cc1,1,1.0,True,True,False,False,False,False
QSRJVOOOWGXUDY,QSRJVOOOWGXUDY,QSRJVOOOWGXUDY,O=C(CCc1ccccc1)OCCOCCOCCOC(=O)CCc1ccccc1,1,CC1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCCOCCOCCOC(=O)CCC2=CC(=C(C(=C2)C)O)C(C)(C)C,,10904,2025.10,2025.10,9,"15,30,45,60,75,90,120,150,180",9,Exploris 240 Orbitrap Thermo Scientific,1,587.3578,587.3578450268799,42.0,"C,H,O",1,C34H50O8,standard compound,"Meyer, C., Bär, M.L., Hollender, J.. Wastewater as a Dual Indicator of Human and Environmental Exposure to Synthetic Antioxidants: Occurrence and Fate in Biological and Advanced Wastewater Treatment. doi:10.1016/j.envint.2025.109709","C. Meyer [dtc, com], B. Beck [dtc, com], J. Hollender [dtc]",CC BY-SA,False,4.502687988860998e-05,O=C(CCc1ccccc1)OCCOCCOCCOC(=O)CCc1ccccc1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6304347826086957,CCCCCCCCOC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0,,True,True,True,True,True,True
QUNWUDVFRNGTCO,QUNWUDVFRNGTCO,QUNWUDVFRNGTCO,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,1,CN1C=NC2=C1C(=O)N(C(=O)N2)C,,10862,2024.06,2024.06,9,"15,30,45,60,75,90,120,150,180",9,Exploris 240 Orbitrap Thermo Scientific,1,181.072,181.07200196288,13.0,"C,H,N,O",1,C7H8N4O2,standard compound,"Meyer, C., Stravs, M., Hollender, J.. How Wastewater Reflects Human Metabolism - Suspect Screening of Pharmaceutical Metabolites in Wastewater Influent. doi:10.1021/acs.est.4c00968","C. Meyer [dtc], B. Beck [dtc,com], J. Hollender [dtc]",CC BY-SA,False,1.962879991879163e-06,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,1,False,True,True,True,True,True,False,False,False,False,False,True,True,False,True,True,False,False,True,False,1.0,Cn1c(=O)[nH]c2ncn(C)c2c1=O,3,1.0,True,True,False,False,False,False
QXJKBPAVAHBARF,QXJKBPAVAHBARF,QXJKBPAVAHBARF,O=C1C2CC2C(=O)N1c1ccccc1,1,CC12CC1(C)C(=O)N(C2=O)C1=CC(Cl)=CC(Cl)=C1,"3-(3,5-dichlorophenyl)-1,5-dimethyl-3-azabicyclo[3.1.0]hexane-2,4-dione",3102,2024.11,2024.11,5,"15,30,45,60,75",5,Q Exactive Plus,1,284.024,284.02396041888005,18.0,"C,Cl,H,N,O",1,C13H11Cl2NO2,standard compound,,"F. Jud [dtc], K. Arturi [dtc], J. Hollender [dtc], A. Dax [com]",CC BY-SA,False,3.958111994961655e-05,O=C1C2CC2C(=O)N1c1ccccc1,1,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,1,1.0,True,True,False,False,False,False
