table_id,name,provider,compound_class,flavonoid_class,prenylation_type,cas,smiles,recorded_inchikey,key,scaffold_group,recorded_inchikey_block,inchi_derived_block,key_agrees_recorded,key_agrees_inchi,table_formula,parent_formula,formula_agrees,parent_monoisotopic,mh_mz,mh_in_dev_range,elements,parent_formal_charge,n_fragments_raw,in_msg15_any,msg15_folds,in_msg15_simchallenge,scaffold_in_msg15,in_muru_registry,in_muru_registry_direct,muru_exposed_populations,scaffold_in_muru_registry,in_study2_pop,scaffold_in_study2_pop,in_comparator_pop,scaffold_in_comparator_pop,in_msnlib_9lib,in_msnlib_v1_0,in_multims2_reserved,msg15_n_rows,msg15_n_rows_orbitrap_ce,msg15_adducts,msg15_key_first_identifier_num,is_prenylated,is_isolated_noncommercial,pass_L2_lenient_keys_plus_msg15,msg15_keys_same_formula,msg15_keys_same_formula_and_scaffold,pass_A_keys_muru_pr7_cmp,pass_B_plus_msg15_key,pass_C_plus_scaffold_muru_pr7_cmp,pass_D_plus_scaffold_not_in_msg15,pass_E_C_plus_mh_range_neutral_single
382,(+)-Catechin ,reference standard_Extrasynthese,flavonoid - flavanol,flavanol,none,154-23-4,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-DZGCQCFKSA-N,PFTAWBLQPZVEMU,c1ccc(C2CCc3ccccc3O2)cc1,PFTAWBLQPZVEMU,PFTAWBLQPZVEMU,True,True,C15H14O6,C15H14O6,True,290.07903816799995,291.08631416799994,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,427,13,[M+H]+;[M+Na]+,62913.0,False,False,False,5,1,False,False,False,False,False
383,Homoorientin,reference standard_Extrasynthese,flavonoid - flavone-C-glycoside,flavone,none,4261-42-1,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O)O,ODBRNZZJSYPIDI-UHFFFAOYSA-N,ODBRNZZJSYPIDI,O=c1cc(-c2ccccc2)oc2ccc(C3CCCCO3)cc12,ODBRNZZJSYPIDI,ODBRNZZJSYPIDI,True,True,C21H20O11,C21H20O11,True,448.10056145999977,449.10783745999976,True,C;O,0,1,True,train,True,True,False,False,,True,False,False,False,False,True,True,False,110,8,[M+H]+;[M+Na]+,104674.0,False,False,False,17,1,True,False,False,False,False
384,"5,7-Dihydroxy-3,4,5-trimethoxyflavone",reference standard_Extrasynthese,flavonoid - flavone-methylated,flavone,none,18103-42-9,COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,CPCPHNWWTJLXKQ-UHFFFAOYSA-N,CPCPHNWWTJLXKQ,O=c1cc(-c2ccccc2)oc2ccccc12,CPCPHNWWTJLXKQ,CPCPHNWWTJLXKQ,True,True,C18H16O7,C18H16O7,True,344.0896028519999,345.0968788519999,True,C;O,0,1,False,,False,True,False,False,,True,False,False,False,False,False,False,False,0,0,,,False,False,True,12,7,True,True,False,False,False
385,butein,reference standard_Extrasynthese,flavonoid - chalcone,chalcone,none,487-52-5,C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O,AYMYWHCQALZEGT-UHFFFAOYSA-N,AYMYWHCQALZEGT,O=C(C=Cc1ccccc1)c1ccccc1,AYMYWHCQALZEGT,AYMYWHCQALZEGT,True,True,C15H12O5,C15H12O5,True,272.068473484,273.07574948399997,True,C;O,0,1,True,train,False,True,True,False,,True,False,False,False,False,True,True,False,9,0,[M+H]+;[M+Na]+,246442.0,False,False,False,19,2,False,False,False,False,False
386,Orientin,reference standard_Extrasynthese,flavonoid - flavone-C-glycoside,flavone,none,28608-75-5,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O)O,PLAPMLGJVGLZOV-UHFFFAOYSA-N,PLAPMLGJVGLZOV,O=c1cc(-c2ccccc2)oc2c(C3CCCCO3)cccc12,PLAPMLGJVGLZOV,PLAPMLGJVGLZOV,True,True,C21H20O11,C21H20O11,True,448.1005614599998,449.1078374599998,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,True,33,9,[M+H]+,116489.0,False,False,False,17,1,False,False,False,False,False
387,(-)-Homoeriodictyol,reference standard_Extrasynthese,flavonoid - flavanone-O-methylated,flavanone,none,446-71-9,COC1=C(C=CC(=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,FTODBIPDTXRIGS-UHFFFAOYSA-N,FTODBIPDTXRIGS,O=C1CC(c2ccccc2)Oc2ccccc21,FTODBIPDTXRIGS,FTODBIPDTXRIGS,True,True,C16H14O6,C16H14O6,True,302.07903816799995,303.08631416799994,True,C;O,0,1,True,train,True,True,True,False,,True,False,False,False,False,True,True,False,11,0,[M+H]+;[M+Na]+,156946.0,False,False,False,16,6,False,False,False,False,False
388,Luteolin-7-O-glucoside,reference standard_Extrasynthese,flavonoid - flavone-O-glycoside,flavone,none,,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,PEFNSGRTCBGNAN-UHFFFAOYSA-N,PEFNSGRTCBGNAN,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,PEFNSGRTCBGNAN,PEFNSGRTCBGNAN,True,True,C21H20O11,C21H20O11,True,448.10056145999977,449.10783745999976,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,86,4,[M+H]+;[M+Na]+,87096.0,False,False,False,17,5,False,False,False,False,False
390,Kaempferol-7-O-neohesperidoside,reference standard_Extrasynthese,flavonoid - flavonol-O-diglycoside(neo),flavonol,none,17353-03-6,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=C3)OC(=C(C4=O)O)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,ZEJXENDZTYVXDP-UHFFFAOYSA-N,ZEJXENDZTYVXDP,O=c1cc(-c2ccccc2)oc2cc(OC3OCCCC3OC3CCCCO3)ccc12,ZEJXENDZTYVXDP,ZEJXENDZTYVXDP,True,True,C27H30O15,C27H30O15,True,594.15847026,595.16574626,True,C;O,0,1,True,train,True,True,True,False,,True,False,False,False,False,True,True,False,48,3,[M+H]+;[M+Na]+,119403.0,False,False,False,24,2,False,False,False,False,False
391,fustin,reference standard_Extrasynthese,flavonoid - dihydroflavonol,dihydroflavonol,none,4382-36-9,C1=CC(=C(C=C1C2C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,FNUPUYFWZXZMIE-UHFFFAOYSA-N,FNUPUYFWZXZMIE,O=C1CC(c2ccccc2)Oc2ccccc21,FNUPUYFWZXZMIE,FNUPUYFWZXZMIE,True,True,C15H12O6,C15H12O6,True,288.06338810399996,289.07066410399995,True,C;O,0,1,True,train,True,True,False,False,,True,False,False,False,False,False,False,False,5,0,[M+H]+,160396.0,False,False,False,22,4,True,False,False,False,False
395,Hesperetin,reference standard_Cayman Europe,flavonoid - flavanone-O-methylated,flavanone,none,520-33-2,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,AIONOLUJZLIMTK-UHFFFAOYSA-N,AIONOLUJZLIMTK,O=C1CC(c2ccccc2)Oc2ccccc21,AIONOLUJZLIMTK,AIONOLUJZLIMTK,True,True,C16H14O6,C16H14O6,True,302.07903816799995,303.08631416799994,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,507,0,[M+H]+;[M+Na]+,106926.0,False,False,False,16,6,False,False,False,False,False
