record_id,compound_id,recorded_key14,representative_smiles,formula,theoretical_mh,deposited_precursor_mz,nce,instrument,instrument_type,resolution,release,scaffold_group,source_file,blob_sha,order_index
MSBNK-Eawag-EQ00388902,DEQZTKGFXNUBJL,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,C13H16N2S2,265.08276697888,265.0828,30.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,c1ccc2sc(SNC3CCCCC3)nc2c1,MSBNK-Eawag-EQ00388902.txt,29783978aeaaf4969923e1fc9a4c35252f4bfcd5,12
MSBNK-Eawag-EQ00388904,DEQZTKGFXNUBJL,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,C13H16N2S2,265.08276697888,265.0828,60.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,c1ccc2sc(SNC3CCCCC3)nc2c1,MSBNK-Eawag-EQ00388904.txt,e6c2c9e5387441402632c6544df44a3e6a0b2b68,13
MSBNK-Eawag-EQ01191702,DQBHJILNHNRDTM,DQBHJILNHNRDTM,CC1(O)C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C1,C15H24O2,237.18490647488,237.1849,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C1C=CCC=C1,MSBNK-Eawag-EQ01191702.txt,196fab9c7549cd84f60a068e6bfbdda2fdf69531,14
MSBNK-Eawag-EQ01191704,DQBHJILNHNRDTM,DQBHJILNHNRDTM,CC1(O)C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C1,C15H24O2,237.18490647488,237.1849,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C1C=CCC=C1,MSBNK-Eawag-EQ01191704.txt,99bda226e922646e76a993114ca335eeae4a07ba,15
MSBNK-Eawag-EQ01194802,FLPKSBDJMLUTEX,FLPKSBDJMLUTEX,CCCCC(Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)(C(=O)OC1CC(C)(C)N(C)C(C)(C)C1)C(=O)OC1CC(C)(C)N(C)C(C)(C)C1,C42H72N2O5,685.5513998708799,685.5514,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(OC1CCNCC1)C(Cc1ccccc1)C(=O)OC1CCNCC1,MSBNK-Eawag-EQ01194802.txt,1c4103b44b90349edad1ab41e6cf034f8c767625,16
MSBNK-Eawag-EQ01194804,FLPKSBDJMLUTEX,FLPKSBDJMLUTEX,CCCCC(Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)(C(=O)OC1CC(C)(C)N(C)C(C)(C)C1)C(=O)OC1CC(C)(C)N(C)C(C)(C)C1,C42H72N2O5,685.5513998708799,685.5514,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(OC1CCNCC1)C(Cc1ccccc1)C(=O)OC1CCNCC1,MSBNK-Eawag-EQ01194804.txt,324bc678037392a64d42f15210ce0fd1126e82cf,17
MSBNK-Eawag-EQ00326602,GTRSAMFYSUBAGN,GTRSAMFYSUBAGN,CC(Cl)COP(=O)(OCC(C)Cl)OCC(C)Cl,C9H18Cl3O4P,327.00810519288,327.0081,30.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,__ACYCLIC__GTRSAMFYSUBAGN,MSBNK-Eawag-EQ00326602.txt,cd06e243c76d11e911d058d4434370b8e18840c8,18
MSBNK-Eawag-EQ00326604,GTRSAMFYSUBAGN,GTRSAMFYSUBAGN,CC(Cl)COP(=O)(OCC(C)Cl)OCC(C)Cl,C9H18Cl3O4P,327.00810519288,327.0081,60.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,__ACYCLIC__GTRSAMFYSUBAGN,MSBNK-Eawag-EQ00326604.txt,5688e9a5a700ff9271e710e8eb6f55db3ff0f696,19
MSBNK-Eawag-EQ01190802,HCILJBJJZALOAL,HCILJBJJZALOAL,CC(C)(C)c1cc(CCC(=O)NNC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,C34H52N2O4,553.3999846108799,553.4,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(CCc1ccccc1)NNC(=O)CCc1ccccc1,MSBNK-Eawag-EQ01190802.txt,6e21e09ead70a118746b5d5e48e0773ccbbcbc07,20
MSBNK-Eawag-EQ1096402,HCILJBJJZALOAL,HCILJBJJZALOAL,CC(C)(C)c1cc(CCC(=O)NNC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,C34H52N2O4,553.3999846108799,553.4,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(CCc1ccccc1)NNC(=O)CCc1ccccc1,MSBNK-Eawag-EQ1096402.txt,396f983324b9084061b501f1318c3a803c2c875a,21
MSBNK-Eawag-EQ01190804,HCILJBJJZALOAL,HCILJBJJZALOAL,CC(C)(C)c1cc(CCC(=O)NNC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,C34H52N2O4,553.3999846108799,553.4,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(CCc1ccccc1)NNC(=O)CCc1ccccc1,MSBNK-Eawag-EQ01190804.txt,c9e88e88535bfec4b13dd810fadb4b5360466562,22
MSBNK-Eawag-EQ1096404,HCILJBJJZALOAL,HCILJBJJZALOAL,CC(C)(C)c1cc(CCC(=O)NNC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,C34H52N2O4,553.3999846108799,553.4,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(CCc1ccccc1)NNC(=O)CCc1ccccc1,MSBNK-Eawag-EQ1096404.txt,32965fb492880645c2e4fb48fda119603964bc1c,23
MSBNK-Eawag-EQ01109502,HHRACYLRBOUBKM,HHRACYLRBOUBKM,CC(C)(C)c1ccc(OCC2CO2)cc1,C13H18O2,207.13795628288,207.138,30.0,Q Exactive Plus,LC-ESI-QFT,15000,2024.11,c1ccc(OCC2CO2)cc1,MSBNK-Eawag-EQ01109502.txt,d4db055ccc83d024f3a44add926ac790e784740d,24
MSBNK-Eawag-EQ01109504,HHRACYLRBOUBKM,HHRACYLRBOUBKM,CC(C)(C)c1ccc(OCC2CO2)cc1,C13H18O2,207.13795628288,207.138,60.0,Q Exactive Plus,LC-ESI-QFT,15000,2024.11,c1ccc(OCC2CO2)cc1,MSBNK-Eawag-EQ01109504.txt,1134d1259c50ffbf474b917743aae46e8ab86cb0,25
MSBNK-Eawag-EQ1091902,HVLLSGMXQDNUAL,HVLLSGMXQDNUAL,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,C18H15O3P,311.08315743688,311.0832,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,MSBNK-Eawag-EQ1091902.txt,487163052913e54fb2ceba599dc90249c8a1d8e5,26
MSBNK-Eawag-EQ1091904,HVLLSGMXQDNUAL,HVLLSGMXQDNUAL,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,C18H15O3P,311.08315743688,311.0832,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,MSBNK-Eawag-EQ1091904.txt,d2385ee74b0dacd2fb0fd414a2afb4e7662a8221,27
MSBNK-Eawag-EQ01141802,JEVCLNJEBFWVPD,JEVCLNJEBFWVPD,CNC(=O)c1ccccc1SSc1ccccc1C(=O)NC,C16H16N2O2S2,333.07259621888,333.0726,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2024.06,c1ccc(SSc2ccccc2)cc1,MSBNK-Eawag-EQ01141802.txt,aa9ab86a5ab83e2859e9022db4d9d65d1b6b5132,28
MSBNK-Eawag-EQ01141804,JEVCLNJEBFWVPD,JEVCLNJEBFWVPD,CNC(=O)c1ccccc1SSc1ccccc1C(=O)NC,C16H16N2O2S2,333.07259621888,333.0726,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2024.06,c1ccc(SSc2ccccc2)cc1,MSBNK-Eawag-EQ01141804.txt,e6ca1cbcde03312fcb14a375cc4cc78d06ef6f68,29
MSBNK-Eawag-EQ00348602,KGVPNLBXJKTABS,KGVPNLBXJKTABS,Cc1cc(=O)[nH]o1,C4H5NO2,100.03930486688,100.0393,30.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,O=c1cco[nH]1,MSBNK-Eawag-EQ00348602.txt,98639ce561ba8f54e1f0b17e8872808ba2241540,30
MSBNK-Eawag-EQ00348604,KGVPNLBXJKTABS,KGVPNLBXJKTABS,Cc1cc(=O)[nH]o1,C4H5NO2,100.03930486688,100.0393,60.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,O=c1cco[nH]1,MSBNK-Eawag-EQ00348604.txt,479593ecd59bb64dfbfb7bcad38c8a4b4bb53213,31
MSBNK-Eawag-EQ01115604,KUAUJXBLDYVELT,KUAUJXBLDYVELT,CC(C)(COCC1CO1)COCC1CO1,C11H20O4,217.14343558688,217.1434,30.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,C(COCC1CO1)COCC1CO1,MSBNK-Eawag-EQ01115604.txt,f7ed84266687b942e45f216c8c32582f3d404573,32
