compound_id,n_records,n_records_nce30,n_records_nce60,instruments,resolutions,releases,theoretical_mh,formula,scaffold_group,representative_smiles
OMVSWZDEEGIJJI,3,1,2,Exploris 240 Thermo Scientific,15000,2024.11,287.22168590688,C16H30O4,__ACYCLIC__OMVSWZDEEGIJJI,CC(C)C(=O)OCC(C)(C)C(OC(=O)C(C)C)C(C)C
OXWDLAHVJDUQJM,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,697.4422433468799,C40H60N2O8,O=C(CCc1ccccc1)OCCNC(=O)C(=O)NCCOC(=O)CCc1ccccc1,CC(C)(C)c1cc(CCC(=O)OCCNC(=O)C(=O)NCCOC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O
QSRJVOOOWGXUDY,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,587.35784502688,C34H50O8,O=C(CCc1ccccc1)OCCOCCOCCOC(=O)CCc1ccccc1,Cc1cc(CCC(=O)OCCOCCOCCOC(=O)CCc2cc(C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O
RCOBUBSULFIXAR,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2024.06,691.2762406428801,C39H38N4O8,O=C(OC1CCCCO1)c1ccccc1-c1ccc(Cn2cnc3ccc(-c4nc5ccccc5[nH]4)cc32)cc1,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)OC2OC(C(=O)O)C(O)C(O)C2O)cc1
SWZDQOUHBYYPJD,2,1,1,Exploris 240 Thermo Scientific,15000,2024.11,522.59722786688,C36H75N,__ACYCLIC__SWZDQOUHBYYPJD,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC
UJAWGGOCYUPCPS,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,406.25292645888,C30H31N,c1ccc(Cc2ccc(Nc3ccc(Cc4ccccc4)cc3)cc2)cc1,CC(C)(c1ccccc1)c1ccc(Nc2ccc(C(C)(C)c3ccccc3)cc2)cc1
VFBJXXJYHWLXRM,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,643.40268704288,C38H58O6S,O=C(CCc1ccccc1)OCCSCCOC(=O)CCc1ccccc1,CC(C)(C)c1cc(CCC(=O)OCCSCCOC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O
VNQNXQYZMPJLQX,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,784.5259133948799,C48H69N3O6,O=c1n(Cc2ccccc2)c(=O)n(Cc2ccccc2)c(=O)n1Cc1ccccc1,CC(C)(C)c1cc(Cn2c(=O)n(Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c(=O)n(Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2=O)cc(C(C)(C)C)c1O
XFHJDMUEHUHAJW,2,1,1,Exploris 240 Thermo Scientific,15000,2024.11,128.10699050288,C7H13NO,__ACYCLIC__XFHJDMUEHUHAJW,C=CC(=O)NC(C)(C)C
ZIUHHBKFKCYYJD,2,1,1,Exploris 240 Thermo Scientific,15000,2024.11,155.08150402688,C7H10N2O2,__ACYCLIC__ZIUHHBKFKCYYJD,C=CC(=O)NCNC(=O)C=C
ZQAFKGDWLSVTRI,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,257.12845421888,C15H16N2O2,O=C1C=CC(=O)C(Nc2ccccc2)=C1,CC(C)NC1=CC(=O)C(Nc2ccccc2)=CC1=O
