accession,num_peak,precursor_type,precursor_mz,ion_mode,ce_value,key,parent_charge,mh_mz_from_parent,in_tree_2023_11
MSBNK-BAFG-CSL23111011762,35,[M+H]+,268.1696,POSITIVE,60.0,ZMISODWVFHHWNR,0,268.16959075881203,True
MSBNK-BAFG-CSL23111016861,30,[M-H]-,505.1105,NEGATIVE,110.0,MIFOMMKAVSCNKQ,0,507.125021538812,True
MSBNK-BAFG-CSL25011734563,39,[M+H]+,459.0315,POSITIVE,150.0,TVWOWDDBXAFQDG,0,459.0315192548119,False
MSBNK-BAFG-CSL2311096014,23,[M+H]+,837.5318,POSITIVE,80.0,RXZBMPWDPOLZGW,0,837.5318461988119,True
MSBNK-BAFG-CSL23111010045,35,[M+H]+,435.2741,POSITIVE,30.0,ATPFRGQBOVFFQM,0,435.2741154028119,True
MSBNK-BAFG-CSL2311109053,44,[M+H]+,362.1511,POSITIVE,150.0,GSDSWSVVBLHKDQ,0,362.1510608068119,True
MSBNK-BAFG-CSL23111015723,48,[M+H]+,376.0381,POSITIVE,50.0,TVLSRXXIMLFWEO,0,376.038086258812,True
MSBNK-BAFG-CSL2311107230,50,[M+H]+,277.1295,POSITIVE,110.0,HPOCGNHBIFZCAN,0,277.12951683881204,True
MSBNK-BAFG-CSL23111018286,50,[M+H]+,229.0626,POSITIVE,40.0,LLWADFLAOKUBDR,0,229.062598422812,True
MSBNK-BAFG-CSL23111010580,52,[M+H]+,394.1761,POSITIVE,60.0,AAKJLRGGTJKAMG,0,394.1761326828119,True
MSBNK-BAFG-CSL25011734653,50,[M+H]+,574.0255,POSITIVE,90.0,INOIOAWTVPHTCJ,0,574.0254478948119,False
MSBNK-BAFG-CSL2311107732,64,[M+H]+,301.1408,POSITIVE,80.0,OCSMNHMMTKMVCP,0,301.140750218812,True
MSBNK-BAFG-CSL23111010466,66,[M+H]+,347.1238,POSITIVE,50.0,HYIMSNHJOBLJNT,0,347.12376276281196,True
MSBNK-BAFG-CSL2311106455,73,[M+H]+,359.1853,POSITIVE,20.0,XOFYZVNMUHMLCC,0,359.18530039881193,True
MSBNK-BAFG-CSL2311107604,89,[M+H]+,525.9007,POSITIVE,130.0,ZHSOTLOTTDYIIK,0,525.9006803628118,True
MSBNK-BAFG-CSL23111018611,96,[M+H]+,285.0789,POSITIVE,70.0,AAOVKJBEBIDNHE,0,285.07891718281206,True
MSBNK-BAFG-CSL23111015774,117,[M+H]+,282.1448,POSITIVE,40.0,CHIFOSRWCNZCFN,0,282.144832554812,True
MSBNK-BAFG-CSL231109594,3,[M]+,136.1121,POSITIVE,70.0,REACWASHYHDPSQ,1,137.11935233490198,True
MSBNK-BAFG-CSL2311108021,2,[M+H]+,284.1412,POSITIVE,10.0,WVQBLGZPHOPPFO,0,284.141183090812,True
MSBNK-BAFG-CSL2311092615,3,[M-H]-,245.0455,NEGATIVE,140.0,WXNRYSGJLQFHBR,0,247.060099886812,True
MSBNK-BAFG-CSL2311091489,8,[M-H]-,329.0004,NEGATIVE,50.0,ZZUFCTLCJUWOSV,0,331.01499659881205,True
MSBNK-BAFG-CSL2311106840,7,[M+H]+,181.0972,POSITIVE,120.0,SABZQUOBNXDLDV,0,181.097154090812,True
MSBNK-BAFG-CSL2311092527,7,[M-H]-,314.0969,NEGATIVE,80.0,LVUFHVGKGMRSQW,0,316.11142425081204,True
MSBNK-BAFG-CSL2311091911,2,[M-H]-,193.0619,NEGATIVE,130.0,SETVYNZSWPLKAO,0,195.076418646812,True
MSBNK-BAFG-CSL2311108712,6,[M+H]+,371.161,POSITIVE,30.0,KLBQZWRITKRQQV,0,371.161017298812,True
MSBNK-BAFG-CSL2311091042,6,[M-H]-,309.0663,NEGATIVE,90.0,PJSFRIWCGOHTNF,0,311.080852394812,True
MSBNK-BAFG-CSL2311109744,3,[M+H]+,316.1211,POSITIVE,40.0,OCWYEMOEOGEQAN,0,316.121116342812,True
MSBNK-BAFG-CSL2311106808,12,[M+H]+,181.072,POSITIVE,70.0,ZFXYFBGIUFBOJW,0,181.072001962812,True
