key,scaffold_group,parent_formula,parent_charge,mh_mz,compound_name,n_records,ce_values,n_distinct_ce,ce_units,any_record_in_2023_11,all_records_in_2023_11,recorded_charged,recorded_block1s,date_published,in_msg15_any_route,in_msg15_simchallenge,in_muru_registry,in_muru_exposed_union,in_muru_exposed_populations,in_muru_dev,in_pr7,in_comparator,in_msnlib_9lib,sg_in_msg15,sg_in_muru_registry,sg_in_muru_dev,sg_in_pr7,sg_in_comparator,in_range_70_1042_6,charge_neutral_parent,msg_qtof_rows,msg_qtof_ladder_ce,msg_qtof_max_ce,msg_folds,hidden_msg_candidate_strong,hidden_msg_candidate_any_same_formula
OMJKFYKNWZZKTK,N=C1C=NC=N1,C6H10N6O,0,183.09888540681197,Dacarbazine,13,10;20;30;40;50;60;70;80;90;100;130;140,12,V,True,True,False,OMJKFYKNWZZKTK,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,,,False,False
OMRINPAHALFCIC,C1CCNCC1,C12H21NO4,0,244.154334618812,Icaridin acid,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OMRINPAHALFCIC,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,4.0,4.0,50.0,train,False,False
OMWSZDODENFLSV,O=C(c1ccccc1)c1ccccc1,C13H9ClO2,0,233.036383674812,5-Chloro-2-hydroxybenzophenone,13,10;20;30;40;50;60;70;80;90;100;110;120,12,V,True,True,False,OMWSZDODENFLSV,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,7.0,7.0,60.0,train,False,False
ONCZDRURRATYFI,C(=NOCc1ccccc1)c1ccccc1,C20H19F3N2O4,0,409.13696821481204,Trifloxystrobin,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ONCZDRURRATYFI,2025-01-17,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,29.0,26.0,150.0,train,False,False
OOAFBZIRZNUNQV,O=C(NCc1ccccc1)NC1CCCCC1,C14H20N2O,0,233.16483972681198,1-Benzyl-3-cyclohexylurea,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OOAFBZIRZNUNQV,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,15.0,15.0,150.0,train,False,False
OPGCOAPTHCZZIW,C1=NN(c2ccccc2)CC1,C16H18Cl2N2O4,0,373.071638882812,Mefenpyr-diethyl,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OPGCOAPTHCZZIW,2025-01-17,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,11.0,11.0,100.0,train,False,False
OPXLLQIJSORQAM,O=C(c1ccccc1)c1ccc2nc[nH]c2c1,C16H13N3O3,0,296.10296774281204,Mebendazole,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OPXLLQIJSORQAM,2025-01-17,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,18.0,16.0,50.0,train,False,False
OQANPHBRHBJGNZ,O=C1C=CC(=NNc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=C1,C18H14N4O5S,0,399.0757670148119,Sulfasalazine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OQANPHBRHBJGNZ,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,,,False,True
OQLKNTOKMBVBKV,c1ccc(OCCCCCCOc2ccccc2)cc1,C20H26N4O2,0,355.21285253881206,Hexamidine,9,10;20;30;40;50;60;70;80,8,V,True,True,False,OQLKNTOKMBVBKV,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,9.0,9.0,80.0,train,False,False
OQXVWJQUBIBIHZ,O=C(CCCN1CCCC(C(c2ccccc2)c2ccccc2)C1)c1ccccc1,C32H37NO4,0,500.279535130812,Fexofenadinone,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OQXVWJQUBIBIHZ,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,15.0,15.0,150.0,test,False,False
OROAFUQRIXKEMV,C(=Cc1cncn1Cc1ccccc1)Cc1cccs1,C23H24N2O4S,0,425.152954714812,Eprosartan,1,40,1,V,True,True,False,OROAFUQRIXKEMV,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,1.0,1.0,40.0,test,False,False
OROGSEYTTFOCAN,C1=CC2C3Cc4cccc5c4C2(CCN3)C(C1)O5,C18H21NO3,0,300.15941999881204,Codeine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OROGSEYTTFOCAN,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,35.0,32.0,150.0,train,False,False
OSBSFAARYOCBHB,__ACYCLIC__OSBSFAARYOCBHB,C12H28N+,1,187.22890278290197,Tetrapropylammonium,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,True,OSBSFAARYOCBHB,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,False,False
OTBXOEAOVRKTNQ,O=C1CN2Cc3ccccc3NC2=N1,C10H7Cl2N3O,0,256.003893670812,Anagrelide,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OTBXOEAOVRKTNQ,2025-01-17,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,15.0,12.0,110.0,train,False,False
OTCWVYFQGYOYJO,C1CCNCC1,C21H39NO4,0,370.295185194812,"Methyl 1,2,2,6,6-pentamethyl-4-piperidyl sebacate",16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OTCWVYFQGYOYJO,2025-01-17,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,,,,,False,False
OUBMGJOQLXMSNT,c1ccc(Nc2ccccc2)cc1,C15H18N2,0,227.15427504281197,N-Isopropyl-N'-phenyl-p-phenylenediamine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,False,False,False,OUBMGJOQLXMSNT,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,15.0,13.0,50.0,train,False,False
OUSYWCQYMPDAEO,O=c1nc[nH]nc1-c1ccccc1,C10H9N3O,0,188.08183837481198,Desamino-metamitron,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OUSYWCQYMPDAEO,2025-01-17,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,11.0,11.0,40.0,train,False,False
OUYCCCASQSFEME,c1ccccc1,C9H11NO3,0,182.081169678812,Tyrosine,8,10;20;30;40;50;60;70,7,V,True,True,False,OUYCCCASQSFEME,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,62.0,33.0,50.0,train,False,False
OWEGWHBOCFMBLP,c1ccc(OCn2ccnc2)cc1,C15H17ClN2O2,0,293.10513193081204,Climbazole,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OWEGWHBOCFMBLP,2025-01-17,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,19.0,17.0,80.0,train,False,False
OWFJMIVZYSDULZ,O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,C22H24N2O9,0,461.1554568148119,4-Epioxytetracyline,23,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OWFJMIVZYSDULZ,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,37.0,32.0,150.0,test,False,False
OWICEWMBIBPFAH,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1cccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)c1,C30H24O8P2,0,575.1019174548119,Resorcinol bis(diphenyl phosphate),16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OWICEWMBIBPFAH,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,16.0,16.0,150.0,test,False,False
OYTCZOJKXCTBHG,O=c1nc[nH]cn1,C9H17N5O,0,212.15058663081197,Terbutylazine-2-hydroxy,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OYTCZOJKXCTBHG,2025-01-17,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,17.0,13.0,50.0,train,False,False
OYYDSUSKLWTMMQ,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(c1ccccc1)c1ccccc1,C25H30NO3+,1,393.22929670690195,Trospium,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,True,OYYDSUSKLWTMMQ,2025-01-17,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,,,,,False,False
OZGNYLLQHRPOBR,C(=Cc1ccccc1)CNCc1cccc2ccccc12,C21H21N,0,288.174676138812,Naftifine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OZGNYLLQHRPOBR,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,18.0,16.0,150.0,train,False,False
OZWKMVRBQXNZKK,O=C(c1ccccc1)c1ccc2n1CCC2,C15H13NO3,0,256.096819742812,Ketorolac,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,OZWKMVRBQXNZKK,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,32.0,23.0,110.0,train,False,False
PCLITLDOTJTVDJ,c1cscn1,C6H8ClNS,0,162.01387440281198,Chlormethiazole,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,PCLITLDOTJTVDJ,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,8.0,8.0,80.0,train,False,False
PDSVZUAJOIQXRK,__ACYCLIC__PDSVZUAJOIQXRK,C21H46N+,1,313.369753358902,Octadecyl-trimethylammonium,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,True,PDSVZUAJOIQXRK,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,False,False
PFDCOZXELJAUTR,O=C(Nc1ccccc1Cc1ccccc1)c1ccncc1,C19H15ClN2O2,0,339.08948186681204,Inabenfide,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,PFDCOZXELJAUTR,2025-01-17,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,16.0,16.0,150.0,train,False,False
PFRYFZZSECNQOL,c1ccc(N=Nc2ccccc2)cc1,C14H15N3,0,226.13387394681197,o-Aminoazotoluene,9,10;20;30;40;50;60;70;80,8,V,True,True,False,PFRYFZZSECNQOL,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,9.0,9.0,80.0,train,False,False
PFWLFWPASULGAN,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,C6H6N4O2,0,167.05635189881198,7-Methylxanthine,6,10;20;30;40;50,5,V,True,True,False,PFWLFWPASULGAN,2025-01-17,True,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,17.0,16.0,40.0,train,False,False
