spectrum_id,compound_name,adduct,ion_mode,charge,precursor_mz_gnps,exact_mass_gnps,source_file,chemical_class,smiles_gnps,smiles_maf,formula_maf,mz_maf,adduct_maf,retention_time_maf,key,scaffold_group,key_maf,scaffold_group_maf,formula_rdkit_parent,monoisotopic_mass_parent,theoretical_precursor_mz,precursor_err_da,exactmass_err_da,elements,n_components_raw,charged_raw,in_msg15_recorded_all,in_msg15_parent_all,in_msg15_simchallenge_all,in_msg15_recorded_train,in_msg15_recorded_val,in_msg15_recorded_test,in_muru_registry_all,in_muru_registry_direct_reason,in_muru_exposed_union,in_pr7_study2_population,in_comparator_common_population,in_msnlib_9lib,in_msnlib_v1_0_4lib,in_multims2_reserved_validation_secondary,in_muru_exposed_populations_union,in_muru_dev_compounds_csv_keys,in_pop_ENTACT-MIX-LISTS-499-503-505,in_pop_LCSB-ALL-MASSBANK-V1-EXPOSURE-SET,in_pop_LCSB-CONFIRMATION,in_pop_LCSB-DEV,in_pop_LCSB-NEG,in_pop_LCSB-POS-V2-SPECTRA,in_pop_LCSB-RAW-MIX-REPLICATE-SET-92,in_pop_LCSB-RAW-MIXES-499-503-505,in_pop_MultiMS2-ANCHOR,in_pop_V2-DEVELOPMENT-POPULATION,in_pop_WUR-DEV-ANALYSIS,in_pop_WUR-DEV-HOLD,in_pop_WUR-NEG-D6-EXCLUDED,in_pop_WUR-NEG-DEV,in_pop_WUR-POS-IDENTITY,in_pop_WUR-SEALED,sg_in_msg15_scaffold_groups,sg_in_muru_registry_scaffold_groups,sg_in_muru_dev_scaffold_groups,sg_in_pr7_scaffold_groups,sg_in_comparator_scaffold_groups,in_msg15_any_route,formula_in_msg,formula_and_scaffold_in_msg,excluded_key_level_conservative,excluded_scaffold_level_muru_pr7_comparator
CCMSLIB00012718472,Alternariol methyl ether,M-H,Negative,-1,271.019,272.026,21 Scan.mzXML,Pyrone,CC1=CC(=CC2=C1C3=C(C(=CC(=C3)OC)O)C(=O)O2)O,CC1=CC(=CC2=C1C3=C(C(=CC(=C3)OC)O)C(=O)O2)O,C15H12O5,271.0187,M-H,5.1,LCSDQFNUYFTXMT,O=c1oc2ccccc2c2ccccc12,LCSDQFNUYFTXMT,O=c1oc2ccccc2c2ccccc12,C15H12O5,272.068473484,271.061197484,-0.0421974839999848,-0.042473483999970085,C;H;O;,1.0,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True
CCMSLIB00012718473,Anziaic acid,M-H,Negative,-1,429.191,430.199,24 Scan.mzXML,Didepside,CCCCCC1=C(C(=CC(=C1)O)O)C(=O)OC2=CC(=C(C(=C2)O)C(=O)O)CCCCC,CCCCCC1=C(C(=CC(=C1)O)O)C(=O)OC2=CC(=C(C(=C2)O)C(=O)O)CCCCC,C24H30O7,429.1914,M-H,5.9,BEFYPHLCGVCBFF,O=C(Oc1ccccc1)c1ccccc1,BEFYPHLCGVCBFF,O=C(Oc1ccccc1)c1ccccc1,C24H30O7,430.1991532999999,429.19187729999993,-0.000877299999956449,-0.00015329999990854049,C;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True
CCMSLIB00012718474,Aphthosin,M-H,Negative,-1,645.161,646.169,25 Scan.mzXML,Tetradepside,CC1=CC(=CC(=C1C(=O)OC2=CC(=C(C(=C2)C)C(=O)OC3=CC(=C(C(=C3)C)C(=O)OC4=CC(=C(C(=C4)C)C(=O)OC)O)O)O)O)OC,CC1=CC(=CC(=C1C(=O)OC2=CC(=C(C(=C2)C)C(=O)OC3=CC(=C(C(=C3)C)C(=O)OC4=CC(=C(C(=C4)C)C(=O)OC)O)O)O)O)OC,C34H30O13,645.1608,M-H,6.6,VIOAANSIBLJPLO,O=C(Oc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccccc3)cc2)cc1)c1ccccc1,VIOAANSIBLJPLO,O=C(Oc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccccc3)cc2)cc1)c1ccccc1,C34H30O13,646.1686410200001,645.1613650200001,-0.0003650200001175108,0.00035897999987355433,C;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00012718475,Argopsin,M-H,Negative,-1,395.009,396.017,26 Scan.mzXML,Depsidone,CC1=C2C(=C(C(=C1Cl)O)C=O)OC3=C(C(=C(C(=C3OC2=O)C)OC)Cl)C,CC1=C2C(=C(C(=C1Cl)O)C=O)OC3=C(C(=C(C(=C3OC2=O)C)OC)Cl)C,C18H14Cl2O6,395.0089,M-H,6.3,SNNDIPJEAQAKTJ,O=C1Oc2ccccc2Oc2ccccc21,SNNDIPJEAQAKTJ,O=C1Oc2ccccc2Oc2ccccc21,C18H14Cl2O6,396.01674352799995,395.00946752799996,-0.0004675279999446502,0.0002564720000464149,C;Cl;H;O;,1.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True
CCMSLIB00012718476,Arthoniaic acid,M-H,Negative,-1,527.228,528.236,27 Scan.mzXML,Didepside,CCCCCC(=O)CC1=C(C(=CC(=C1)O)O)C(=O)OC2=CC(=C(C(=C2)OC)C(=O)O)CC(=O)CCCCC,CCCCCC(=O)CC1=C(C(=CC(=C1)O)O)C(=O)OC2=CC(=C(C(=C2)OC)C(=O)O)CC(=O)CCCCC,C29H36O9,527.2281,M-H,5.3,DGXLEDCXMIJNPJ,O=C(Oc1ccccc1)c1ccccc1,DGXLEDCXMIJNPJ,O=C(Oc1ccccc1)c1ccccc1,C29H36O9,528.2359327319999,527.2286567319999,-0.0006567319999248866,6.72680000661785e-05,C;H;O;,1.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True
CCMSLIB00012718477,"""Arthothelin or 2,4,5-Trichloronorlichexanthone""",M-H,Negative,-1,358.928,359.936,28 Scan.mzXML,Xanthone,CC1=CC(=C(C2=C1C(=O)C3=C(C(=C(C(=C3O2)Cl)O)Cl)O)Cl)O,CC1=CC(=C(C2=C1C(=O)C3=C(C(=C(C(=C3O2)Cl)O)Cl)O)Cl)O,C14H7Cl3O5,358.9281,M-H,5.2,NTAXLEHKEDVPRK,O=c1c2ccccc2oc2ccccc12,NTAXLEHKEDVPRK,O=c1c2ccccc2oc2ccccc12,C14H7Cl3O5,359.93590636399995,358.92863036399996,-0.0006303639999600819,9.363600003098327e-05,C;Cl;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True
CCMSLIB00012718478,Ascomatic acid,M-H,Negative,-1,299.092,300.1,29 Scan.mzXML,Dibenzofuran,CC1=C(C(O)=O)C(OC)=CC2=C1C3=C(C)C=C(OC)C=C3O2,CC1=C(C(O)=O)C(OC)=CC2=C1C3=C(C)C=C(OC)C=C3O2,C17H1605,299.092,M-H,5.1,AVVSZZOYGZWHMW,c1ccc2c(c1)oc1ccccc12,AVVSZZOYGZWHMW,c1ccc2c(c1)oc1ccccc12,C17H16O5,300.099773612,299.092497612,-0.0004976120000037554,0.00022638800004415316,C;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True
CCMSLIB00012718479,"""Asemone or 4,5,7-Trichloronorlichexanthone""",M+H,Positive,1,360.944,359.936,30 Scan.mzXML,Xanthone,CC1=C2C(=C(C(=C1Cl)O)Cl)OC3=C(C2=O)C(=CC(=C3Cl)O)O,CC1=C2C(=C(C(=C1Cl)O)Cl)OC3=C(C2=O)C(=CC(=C3Cl)O)O,C14H7Cl3O5,360.9437,M+H,5.4,FQWPRMRWVYNNSY,O=c1c2ccccc2oc2ccccc12,FQWPRMRWVYNNSY,O=c1c2ccccc2oc2ccccc12,C14H7Cl3O5,359.93590636399995,360.94318236399994,0.0008176360000788918,9.363600003098327e-05,C;Cl;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True
CCMSLIB00012718480,Atranorin,M-H,Negative,-1,373.092,374.1,31 Scan.mzXML,Didepside,CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2)C)C(=O)OC)O)C)O)C=O)O,CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2)C)C(=O)OC)O)C)O)C=O)O,C19H18O8,373.0924,M-H,6.1,YLOYKYXNDHOHHT,O=C(Oc1ccccc1)c1ccccc1,YLOYKYXNDHOHHT,O=C(Oc1ccccc1)c1ccccc1,C19H18O8,374.1001675359999,373.0928915359999,-0.0008915359999264183,-0.00016753599987850976,C;H;O;,1.0,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True
CCMSLIB00012718481,Baeomycesic acid,M-H,Negative,-1,373.092,374.1,32 Scan.mzXML,Didepside,CC1=CC(=C(C(=C1C(=O)O)O)C)OC(=O)C2=C(C(=C(C=C2C)OC)C=O)O,CC1=CC(=C(C(=C1C(=O)O)O)C)OC(=O)C2=C(C(=C(C=C2C)OC)C=O)O,C19H18O8,373.0924,M-H,5.5,DUIBXZLCROUOFD,O=C(Oc1ccccc1)c1ccccc1,DUIBXZLCROUOFD,O=C(Oc1ccccc1)c1ccccc1,C19H18O8,374.10016753599996,373.09289153599997,-0.0008915359999832617,-0.00016753599993535317,C;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True
