scope,criterion,truth_family,selected_family,count
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,bic,mass_interaction,mass_saturating_descriptor,0
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,bic,mass_interaction,mass_interaction,150
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,bic,mass_interaction,mass_exponential_descriptor,0
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,bic,mass_exponential_descriptor,mass_power,2
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,bic,mass_exponential_descriptor,mass_affine_descriptor,38
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,bic,mass_exponential_descriptor,mass_saturating_descriptor,23
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,bic,mass_exponential_descriptor,mass_interaction,8
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,bic,mass_exponential_descriptor,mass_exponential_descriptor,79
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_power,mass_power,39
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_power,mass_affine_descriptor,12
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_power,mass_saturating_descriptor,24
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_power,mass_interaction,54
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_power,mass_exponential_descriptor,21
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_affine_descriptor,mass_power,0
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_affine_descriptor,mass_affine_descriptor,70
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_affine_descriptor,mass_saturating_descriptor,28
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_affine_descriptor,mass_interaction,3
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_affine_descriptor,mass_exponential_descriptor,49
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_saturating_descriptor,mass_power,1
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_saturating_descriptor,mass_affine_descriptor,31
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_saturating_descriptor,mass_saturating_descriptor,95
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_saturating_descriptor,mass_interaction,9
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_saturating_descriptor,mass_exponential_descriptor,14
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_interaction,mass_power,1
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_interaction,mass_affine_descriptor,1
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_interaction,mass_saturating_descriptor,0
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_interaction,mass_interaction,143
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_interaction,mass_exponential_descriptor,5
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_exponential_descriptor,mass_power,6
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_exponential_descriptor,mass_affine_descriptor,27
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_exponential_descriptor,mass_saturating_descriptor,46
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_exponential_descriptor,mass_interaction,19
frozen_operating_point_c25_40_55_noise02_grid6_750_worlds,val_r2,mass_exponential_descriptor,mass_exponential_descriptor,52
