criterion,criterion_params,rule,rule_params,n_free_params,FRR,FRR_wilson_hi,indeterminate_rate,indeterminate_wilson_hi,power_M1_a1,power_M2_a1,power_M3_a1,power_M1_a1_wilson_lo,power_M2_a1_wilson_lo,power_M3_a1_wilson_lo,power_M1_a2,power_M2_a2,power_M3_a2,misattr_M1,misattr_M2,misattr_M3,monotone_M1,monotone_M2,monotone_M3,alpha_star_M1,alpha_star_M2,alpha_star_M3,admissible
C1,{'delta': 0.001},P1,"{'ratio': 0.9, 'w': 18}",3,0.027777777777777776,0.045322004060852954,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.06851851851851852,0.005555555555555556,0.022222222222222223,True,True,True,,,,False
C1,{'delta': 0.001},P1,"{'ratio': 0.9, 'w': 20}",3,0.005555555555555556,0.01620503920082439,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.027777777777777776,0.005555555555555556,0.005555555555555556,True,True,True,,,,False
C1,{'delta': 0.001},P1,"{'ratio': 0.9, 'w': 24}",3,0.0,0.00706356376180703,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,False
C1,{'delta': 0.001},P1,"{'ratio': 0.95, 'w': 15}",3,0.1,0.1281967433231841,0.5277777777777778,0.569539631953901,0.0,0.0,0.15,0.0,0.0,0.10518222287075336,0.05,0.0,0.48333333333333334,0.1925925925925926,0.13333333333333333,0.17222222222222222,True,True,True,,,,False
C1,{'delta': 0.001},P1,"{'ratio': 0.95, 'w': 18}",3,0.05,0.07176953697013412,0.5333333333333333,0.5750275601236592,0.0,0.0,0.016666666666666666,0.0,0.0,0.005684086620487436,0.0,0.0,0.2222222222222222,0.07777777777777778,0.027777777777777776,0.044444444444444446,True,True,True,,,,False
C1,{'delta': 0.001},P1,"{'ratio': 0.95, 'w': 20}",3,0.022222222222222223,0.03843717901432376,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,0.03333333333333333,0.016666666666666666,0.016666666666666666,True,True,True,,,,False
C1,{'delta': 0.001},P1,"{'ratio': 0.95, 'w': 24}",3,0.0,0.00706356376180703,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,True,True,True,,,,False
C1,{'delta': 0.001},P1,"{'ratio': 0.98, 'w': 15}",3,0.13333333333333333,0.16461027233824474,0.5277777777777778,0.569539631953901,0.016666666666666666,0.0,0.2,0.005684086620487436,0.0,0.14810873506719885,0.13333333333333333,0.016666666666666666,0.5666666666666667,0.2351851851851852,0.15,0.2222222222222222,False,False,False,,,,False
C1,{'delta': 0.001},P1,"{'ratio': 0.98, 'w': 18}",3,0.06666666666666667,0.09091432333311936,0.5333333333333333,0.5750275601236592,0.0,0.0,0.03333333333333333,0.0,0.0,0.015364790984832805,0.05,0.0,0.2388888888888889,0.08333333333333333,0.03888888888888889,0.07777777777777778,True,True,True,,,,False
C1,{'delta': 0.001},P1,"{'ratio': 0.98, 'w': 20}",3,0.027777777777777776,0.045322004060852954,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12222222222222222,0.06111111111111111,0.022222222222222223,0.016666666666666666,True,True,True,,,,False
C1,{'delta': 0.001},P1,"{'ratio': 0.98, 'w': 24}",3,0.0,0.00706356376180703,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,True,True,True,,,,False
C1,{'delta': 0.001},P2,{'q': 0.05},2,0.005555555555555556,0.01620503920082439,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.027777777777777776,0.005555555555555556,0.005555555555555556,True,True,True,,,,False
C1,{'delta': 0.001},P2,{'q': 0.01},2,0.0,0.00706356376180703,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,True,True,True,,,,False
C1,{'delta': 0.001},P2,{'q': 0.001},2,0.0,0.00706356376180703,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,False
C1,{'delta': 0.001},P3,"{'m': 0.05, 'f': 0.5}",3,0.06111111111111111,0.08458016822203458,0.5333333333333333,0.5750275601236592,0.0,0.0,0.05,0.0,0.0,0.026525138483007187,0.0,0.016666666666666666,0.36666666666666664,0.19074074074074074,0.08888888888888889,0.10555555555555556,True,True,True,,,,False
C1,{'delta': 0.001},P3,"{'m': 0.05, 'f': 0.6}",3,0.027777777777777776,0.045322004060852954,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.08333333333333333,0.005555555555555556,0.027777777777777776,True,True,True,,,,False
C1,{'delta': 0.001},P3,"{'m': 0.05, 'f': 0.67}",3,0.0,0.00706356376180703,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.027777777777777776,0.0,0.005555555555555556,True,True,True,,,,False
C1,{'delta': 0.001},P3,"{'m': 0.1, 'f': 0.5}",3,0.06111111111111111,0.08458016822203458,0.5333333333333333,0.5750275601236592,0.0,0.0,0.03333333333333333,0.0,0.0,0.015364790984832805,0.0,0.016666666666666666,0.3388888888888889,0.1425925925925926,0.06111111111111111,0.08888888888888889,True,True,True,,,,False
C1,{'delta': 0.001},P3,"{'m': 0.1, 'f': 0.6}",3,0.027777777777777776,0.045322004060852954,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.08333333333333333,0.005555555555555556,0.027777777777777776,True,True,True,,,,False
C1,{'delta': 0.001},P3,"{'m': 0.1, 'f': 0.67}",3,0.0,0.00706356376180703,0.5333333333333333,0.5750275601236592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.027777777777777776,0.0,0.005555555555555556,True,True,True,,,,False
C1,{'delta': 0.003},P0,{},4,0.005555555555555556,0.01620503920082439,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.027777777777777776,0.005555555555555556,0.005555555555555556,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.8, 'w': 15}",3,0.016666666666666666,0.03136875768953451,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.08518518518518518,0.022222222222222223,0.03333333333333333,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.8, 'w': 18}",3,0.0,0.00706356376180703,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.022222222222222223,0.0,0.0,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.8, 'w': 20}",3,0.0,0.00706356376180703,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.8, 'w': 24}",3,0.0,0.00706356376180703,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.9, 'w': 15}",3,0.06111111111111111,0.08458016822203458,0.5166666666666667,0.5585482584416759,0.0,0.0,0.05,0.0,0.0,0.026525138483007187,0.0,0.0,0.31666666666666665,0.1574074074074074,0.09444444444444444,0.10555555555555556,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.9, 'w': 18}",3,0.027777777777777776,0.045322004060852954,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.06851851851851852,0.005555555555555556,0.022222222222222223,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.9, 'w': 20}",3,0.005555555555555556,0.01620503920082439,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.027777777777777776,0.005555555555555556,0.005555555555555556,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.9, 'w': 24}",3,0.0,0.00706356376180703,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.95, 'w': 15}",3,0.1,0.1281967433231841,0.5111111111111111,0.5530448283361799,0.0,0.0,0.15,0.0,0.0,0.10518222287075336,0.05,0.016666666666666666,0.5,0.19444444444444445,0.13333333333333333,0.17777777777777778,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.95, 'w': 18}",3,0.05,0.07176953697013412,0.5166666666666667,0.5585482584416759,0.0,0.0,0.016666666666666666,0.0,0.0,0.005684086620487436,0.0,0.0,0.22777777777777777,0.07777777777777778,0.027777777777777776,0.044444444444444446,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.95, 'w': 20}",3,0.022222222222222223,0.03843717901432376,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10555555555555556,0.03333333333333333,0.016666666666666666,0.016666666666666666,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.95, 'w': 24}",3,0.0,0.00706356376180703,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.98, 'w': 15}",3,0.13333333333333333,0.16461027233824474,0.5111111111111111,0.5530448283361799,0.016666666666666666,0.0,0.2,0.005684086620487436,0.0,0.14810873506719885,0.13333333333333333,0.016666666666666666,0.5722222222222222,0.24259259259259258,0.15,0.2222222222222222,False,False,False,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.98, 'w': 18}",3,0.06666666666666667,0.09091432333311936,0.5166666666666667,0.5585482584416759,0.0,0.0,0.03333333333333333,0.0,0.0,0.015364790984832805,0.05,0.0,0.24444444444444444,0.08888888888888889,0.03888888888888889,0.07777777777777778,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.98, 'w': 20}",3,0.027777777777777776,0.045322004060852954,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.06111111111111111,0.022222222222222223,0.016666666666666666,True,True,True,,,,False
C1,{'delta': 0.003},P1,"{'ratio': 0.98, 'w': 24}",3,0.0,0.00706356376180703,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,True,True,True,,,,False
C1,{'delta': 0.003},P2,{'q': 0.05},2,0.005555555555555556,0.01620503920082439,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.027777777777777776,0.005555555555555556,0.005555555555555556,True,True,True,,,,False
C1,{'delta': 0.003},P2,{'q': 0.01},2,0.0,0.00706356376180703,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,True,True,True,,,,False
C1,{'delta': 0.003},P2,{'q': 0.001},2,0.0,0.00706356376180703,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,False
C1,{'delta': 0.003},P3,"{'m': 0.05, 'f': 0.5}",3,0.06111111111111111,0.08458016822203458,0.5166666666666667,0.5585482584416759,0.0,0.0,0.05,0.0,0.0,0.026525138483007187,0.0,0.0,0.37222222222222223,0.1962962962962963,0.08888888888888889,0.10555555555555556,True,True,True,,,,False
C1,{'delta': 0.003},P3,"{'m': 0.05, 'f': 0.6}",3,0.027777777777777776,0.045322004060852954,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.08333333333333333,0.005555555555555556,0.027777777777777776,True,True,True,,,,False
C1,{'delta': 0.003},P3,"{'m': 0.05, 'f': 0.67}",3,0.0,0.00706356376180703,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.027777777777777776,0.0,0.005555555555555556,True,True,True,,,,False
C1,{'delta': 0.003},P3,"{'m': 0.1, 'f': 0.5}",3,0.06111111111111111,0.08458016822203458,0.5166666666666667,0.5585482584416759,0.0,0.0,0.03333333333333333,0.0,0.0,0.015364790984832805,0.0,0.0,0.34444444444444444,0.14814814814814814,0.06111111111111111,0.08888888888888889,True,True,True,,,,False
C1,{'delta': 0.003},P3,"{'m': 0.1, 'f': 0.6}",3,0.027777777777777776,0.045322004060852954,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.08333333333333333,0.005555555555555556,0.027777777777777776,True,True,True,,,,False
C1,{'delta': 0.003},P3,"{'m': 0.1, 'f': 0.67}",3,0.0,0.00706356376180703,0.5166666666666667,0.5585482584416759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.027777777777777776,0.0,0.005555555555555556,True,True,True,,,,False
C1,{'delta': 0.01},P0,{},4,0.005555555555555556,0.01620503920082439,0.38333333333333336,0.4250282745974845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.027777777777777776,0.005555555555555556,0.005555555555555556,True,True,True,,,,False
C1,{'delta': 0.01},P1,"{'ratio': 0.8, 'w': 15}",3,0.016666666666666666,0.03136875768953451,0.38333333333333336,0.4250282745974845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14444444444444443,0.09074074074074075,0.022222222222222223,0.03333333333333333,True,True,True,,,,False
C1,{'delta': 0.01},P1,"{'ratio': 0.8, 'w': 18}",3,0.0,0.00706356376180703,0.38333333333333336,0.4250282745974845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.022222222222222223,0.0,0.011111111111111112,True,True,True,,,,False
C1,{'delta': 0.01},P1,"{'ratio': 0.8, 'w': 20}",3,0.0,0.00706356376180703,0.38333333333333336,0.4250282745974845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,True,True,True,,,,False
C1,{'delta': 0.01},P1,"{'ratio': 0.8, 'w': 24}",3,0.0,0.00706356376180703,0.38333333333333336,0.4250282745974845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,False
