key,scaffold_group,name,smiles,labs,instrument_types,instrument_models,n_records,ce_strings_by_lab,max_distinct_ce_strings_within_one_lab,max_distinct_single_numeric_ce_within_one_lab,mh_in_dev_range,parent_formal_charge,n_fragments_raw,in_msg15_any,msg15_folds,in_msg15_simchallenge,scaffold_in_msg15,in_muru_registry,in_muru_registry_direct,muru_exposed_populations,scaffold_in_muru_registry,in_study2_pop,scaffold_in_study2_pop,in_comparator_pop,scaffold_in_comparator_pop,in_msnlib_9lib,in_msnlib_v1_0,in_multims2_reserved,msg15_keys_same_formula,msg15_keys_same_formula_and_scaffold,pass_C,pass_B
COLNVLDHVKWLRT,c1ccccc1,DL-Phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)N,MC19;MC20;MC22,LC-ESI-ITFT;LC-ESI-QFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300;Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic;Thermo Scientific Q-Exactive Focus",8,"{""MC19"": [""45eV""], ""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""], ""MC22"": [""30eV""]}",6,6,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,11,9,False,False
CPAGZVLINCPJEH,c1c[nH]cn1,3-METHYLHISTAMINE,CN1C=NC=C1CCN,MC22,LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic",1,"{""MC22"": [""30eV""]}",1,1,True,0,1,True,train,True,True,False,False,,True,False,False,False,False,True,False,False,3,3,False,False
CPPAWCQANCLZEO,O=c1ccc2ccccc2o1,5-Hydroxy-7-methoxychromen-2-one,COC1=CC(=C2C=CC(=O)OC2=C1)O,MC19,LC-ESI-ITFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300",1,"{""MC19"": [""45eV""]}",1,1,True,0,1,False,,False,True,False,False,,True,False,False,False,False,False,False,False,9,5,False,True
CQLRUIIRRZYHHS,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,isorhamnetin 3-O-glucoside,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,MC25,LC-ESI-ITFT,LTQ-Orbitrap XL hybrid mass spectrometer (Thermo Scientific),1,"{""MC25"": [""0.3""]}",1,1,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,6,4,False,False
CQOVPNPJLQNMDC,c1c[nH]cn1,Carnosine,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,MC20;MC22,LC-ESI-ITFT;LC-ESI-QFT,"NOT_FETCHED;Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic;Thermo Scientific Q-Exactive Focus",7,"{""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""], ""MC22"": [""30eV""]}",6,6,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,2,1,False,False
CRSFLLTWRCYNNX,O=c1ccc2cccc(OC3CCCCO3)c2o1,Fraxin,COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O,MC19,LC-ESI-ITFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300",1,"{""MC19"": [""45eV""]}",1,1,True,0,1,True,train,True,True,True,False,,True,False,False,False,False,True,True,False,4,1,False,False
CSWGBLVUKVWCOS,C=C1C(=O)OC2C=CCCC=CCCC12,14-Hydroxy-Costunolide,C=C1[C@@H]2CCC(=CCCC(C)=C[C@H]2OC1=O)CO,MC14,LC-ESI-ITFT,"Q Exactive Plus, ThermoFisher Scientific",1,"{""MC14"": [""50eV""]}",1,1,True,0,1,False,,False,True,False,False,,True,False,False,False,False,False,False,False,18,0,False,True
CSYYHGVTSAUQEW,C=C1C(=O)OC2CCC3CCC(CCC12)O3,Viguilenin,CCC(C)C(=O)OC1CC2(C(CC(O2)(C(CC3C1C(=C)C(=O)O3)C)O)O)C,MC14,LC-ESI-ITFT,"Q Exactive Plus, ThermoFisher Scientific",1,"{""MC14"": [""50eV""]}",1,1,True,0,1,False,,False,False,False,False,,False,False,False,False,False,False,False,False,0,0,True,True
CTJZWFCPUDPLME,O=c1ccc2cc3ccoc3c(OCC3CO3)c2o1,Heraclenin,CC1(C(O1)COC2=C3C(=CC4=C2OC=C4)C=CC(=O)O3)C,MC19,LC-ESI-ITFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300",1,"{""MC19"": [""45eV""]}",1,1,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,19,1,False,False
CUICTWWBLRZLES,C=C1C(=O)OC2C=CC(=O)C=CCCCC12,Tifruticin,CC(CC)C(=O)O[C@@H]1C[C@@](C)(O)C=CC(=O)C(CO)=C[C@@H]2OC(=O)C(=C)[C@H]12,MC14,LC-ESI-ITFT,"Q Exactive Plus, ThermoFisher Scientific",1,"{""MC14"": [""50eV""]}",1,1,True,0,1,False,,False,False,False,False,,True,False,False,False,False,False,False,False,5,0,False,True
CVJVKWSECGMGCW,c1ccccc1,N-FeruloylAgmatine,COC1=C(C=CC(=C1)C=CC(=O)NC(=NCCCCN)N)O,MC19,LC-ESI-ITFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300",1,"{""MC19"": [""35eV""]}",1,1,True,0,1,False,,False,True,False,False,,True,False,False,False,False,False,False,False,4,2,False,True
CVSVTCORWBXHQV,__ACYCLIC__CVSVTCORWBXHQV,Creatine,CN(CC(O)=O)C(N)=N,MC20;MC22,LC-ESI-ITFT;LC-ESI-QFT,"NOT_FETCHED;Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic;Thermo Scientific Q-Exactive Focus",7,"{""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""], ""MC22"": [""30eV""]}",6,6,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,2,1,False,False
CVUANYCQTOGILD,C=C1CCCC2CC3OC(=O)C(=C)C3CC12,β-Isoalantolactone,C[C@]12CCCC(=C)[C@@H]1C[C@H]3[C@@H](C2)OC(=O)C3=C,MC14,LC-ESI-ITFT,"Q Exactive Plus, ThermoFisher Scientific",1,"{""MC14"": [""50eV""]}",1,1,True,0,1,True,train,False,True,True,True,,True,False,False,False,False,True,True,False,5,1,False,False
CWOJBEDMJKZKAB,C1CCOCC1,8-Methylthiooctyl glucosinolate,CSCCCCCCCCC(=NOS(=O)(=O)O)SC1C(C(C(C(O1)CO)O)O)O,MC15,LC-ESI-ITFT,q exactive focus thermo,1,"{""MC15"": [""30""]}",1,1,True,0,1,False,,False,True,False,False,,True,False,False,False,False,False,False,False,0,0,False,True
CWVRJTMFETXNAD,O=C(C=Cc1ccccc1)OC1CCCCC1,Chlorogenic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,MC09;MC19;MC25,LC-ESI-ITFT;LC-ESI-QFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300;LTQ-Orbitrap XL hybrid mass spectrometer (Thermo Scientific);QE Focus, Thermo Scientfic; UPLC I-Class, Waters",6,"{""MC09"": [""15,30,45 (NCE)""], ""MC19"": [""35eV""], ""MC25"": [""0.3""]}",1,1,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,7,3,False,False
CXQWRCVTCMQVQX,O=C1CC(c2ccccc2)Oc2ccccc21,Taxifolin,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,MC19,LC-ESI-ITFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300",1,"{""MC19"": [""35eV""]}",1,1,True,0,1,True,train,True,True,True,False,,True,False,False,False,False,True,True,False,5,3,False,False
CYMAWWCMMZZOTB,C=C1C(=O)C=CC2CC3OC(=O)CC3CC12,Farinosin,C[C@@]12C[C@@H]3[C@H](C[C@H]1C(=C)C(=O)C=C2)[C@@](C(=O)O3)(C)O,MC14,LC-ESI-ITFT,"Q Exactive Plus, ThermoFisher Scientific",1,"{""MC14"": [""50eV""]}",1,1,True,0,1,False,,False,False,False,False,,False,False,False,False,False,False,False,False,15,0,True,True
CZORDMACTVHUCP,O=C1CC2C=C3CCCCC3CC2O1,Alantolactone-Glutathione,O=C(O)[C@@H](N)CCC(=O)N[C@@H](CSCC1C(=O)O[C@@H]2C[C@@]3(C)CCCC(C)C3=C[C@H]12)C(=O)NCC(=O)O,MC14,LC-ESI-ITFT,"Q Exactive Plus, ThermoFisher Scientific",1,"{""MC14"": [""50eV""]}",1,1,True,0,1,False,,False,False,False,False,,False,False,False,False,False,False,False,False,0,0,True,True
DANYIYRPLHHOCZ,O=c1cc(-c2ccccc2)oc2ccccc12,Acacetin,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,MC19;MC25,LC-ESI-ITFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300;LTQ-Orbitrap XL hybrid mass spectrometer (Thermo Scientific)",2,"{""MC19"": [""45eV""], ""MC25"": [""0.3""]}",1,1,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,20,6,False,False
DAYLJWODMCOQEW,c1cc[n+](C2CCCO2)cc1,NICOTINAMIDE MONONUCLEOTIDE,NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O,MC22,LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic",1,"{""MC22"": [""30eV""]}",1,1,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,1,1,False,False
DBMJZOMNXBSRED,O=c1ccc2cc3ccoc3cc2o1,Bergamottin,CC(=CCCC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C)C,MC19,LC-ESI-ITFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300",1,"{""MC19"": [""45eV""]}",1,1,True,0,1,True,train,True,True,False,False,,True,False,False,False,False,True,True,False,8,2,False,False
DBYQNZJJUBKANY,C=C1CC(OC(=O)C2CO2)C2C(=C)C(=O)OC2C2C=CC(=O)C12,"2-oxo-8(2-methyl-2,3-epoxybutanoyl)-guaia-3,10(14),11(13)-trien-6,12-olide",CC4OC4(C)C(=O)O[C@@H]2CC(=C)[C@@H]3C(=O)C=C(C)[C@@H]3[C@H]1OC(=O)C(=C)[C@@H]12,MC14,LC-ESI-ITFT,"Q Exactive Plus, ThermoFisher Scientific",1,"{""MC14"": [""50eV""]}",1,1,True,0,1,False,,False,False,False,False,,False,False,False,False,False,False,False,False,14,0,True,True
DCQBOIHKCBTVFH,O=C1CCC2C(CCC3C2CCC2C3CC3C2CC2CCCCN23)C1,5alpha-Solanidan-3-on,O=C1CC[C@@]2(C)[C@](CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])C[C@@]5([H])[C@]4([H])[C@H](C)[C@]6([H])N5C[C@@H](C)CC6)([H])C1,MC01,APCI-ITFT,Orbitrap Elite,1,"{""MC01"": [""35 CID""]}",1,1,True,0,1,False,,False,False,False,False,,False,False,False,False,False,False,False,False,1,0,True,True
DCTLYFZHFGENCW,O=c1[nH]c(=O)c2ncn(C3CCCO3)c2[nH]1,XANTHOSINE-MONOPHOSPHATE,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=O)NC2=O,MC22,LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic",1,"{""MC22"": [""30eV""]}",1,1,True,0,1,True,train,True,True,False,False,,True,False,False,False,False,False,False,False,1,1,False,False
DCXYFEDJOCDNAF,__ACYCLIC__DCXYFEDJOCDNAF,L-Asparagine,N[C@@H](CC(N)=O)C(O)=O,MC20;MC22,LC-ESI-ITFT;LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic;Thermo Scientific Q-Exactive Focus",7,"{""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""], ""MC22"": [""30eV""]}",6,6,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,3,1,False,False
