compound,identity_source,smiles,recorded_inchikey,db_precursor_mz,formula,parent_key,recorded_first_block,smiles_formula_matches_recorded_formula,other_route_keys_conflicting,key_route_disagree,scaffold_group,net_formal_charge_raw,parent_mh_mz,mh_in_dev_range,elements,has_F,single_ce_listed,n_single_ce_listed,ces_listed,n_ces_listed,adducts,n_mh_spectra,has_mh,total_spectra,chimeric_flag,rt_min,s1_compound_id,coinjected_ions_within_0p7_mz_of_mh,n_coinjected_ions_within_0p7,in_muru_registry,in_muru_registry_direct_reason,muru_exposed_populations,in_muru_exposed_population_union,group_in_muru_registry_groups,in_pr7_population,group_in_pr7_groups,in_comparator_population,group_in_comparator_groups,in_msg15_any_fold,msg15_folds,in_msg15_simchallenge,msg15_rows,msg15_instrument_types,msg15_mh_qtof_rows,group_in_msg15_groups,in_msnlib_9lib,in_msnlib_v1_0,anyroute_in_muru_registry,anyroute_in_muru_exposed_population_union,anyroute_in_pr7_population,anyroute_in_comparator_population,anyroute_in_msg15_any_fold
Diethyl phthalate,db_SMILES,CCOC(=O)c1ccccc1C(=O)OCC,FLKPEMZONWLCSK-UHFFFAOYSA-N,223.097,C12H14O4,FLKPEMZONWLCSK,FLKPEMZONWLCSK,True,,False,c1ccccc1,0.0,223.09648,True,C;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 13, ""[M+Na]+"": 8}",13,True,21,Yes,11.31,105.0,3-benzylidene camphor[M-H2O+H]+;Acetamiprid [M+H]+;Bisphenol F[M+Na]+;Mono butyl phthalate[M+H]+;Mono-isobutyl phthalate[M+H]+,5,True,True,ENTACT-MIX-LISTS-499-503-505;LCSB-RAW-MIX-REPLICATE-SET-92,True,True,False,False,False,False,True,train,True,24,Orbitrap:15;QTOF:9,9,True,True,False,True,True,False,False,True
Dimethyl phthalate,db_SMILES,COC(=O)c1ccccc1C(=O)OC,NIQCNGHVCWTJSM-UHFFFAOYSA-N,195.0657,C10H10O4,NIQCNGHVCWTJSM,NIQCNGHVCWTJSM,True,,False,c1ccccc1,0.0,195.06518,True,C;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15, ""[M+Na]+"": 14}",15,True,29,Yes,7.27,109.0,3-phenanthrol[M+H]+;Butylparaben[M+H]+;Isobutylparaben[M+H]+,3,True,True,,False,True,False,False,False,False,True,train,True,30,Orbitrap:23;QTOF:7,7,True,True,True,True,False,False,False,True
Doxycycline,db_SMILES,C[C@H]1c2c(C(O)=C3C(=O)[C@]4(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]4[C@@H](O)[C@@H]31)c(O)ccc2,SGKRLCUYIXIAHR-AKNGSSGZSA-N,445.1611,C22H24N2O8,SGKRLCUYIXIAHR,SGKRLCUYIXIAHR,True,,False,O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,0.0,445.16054,True,C;N;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15, ""[M+Na]+"": 11}",15,True,26,Yes,4.87,111.0,Tetracycline[M+H]+,1,True,True,,False,True,False,False,False,False,True,test,True,58,Orbitrap:35;QTOF:21,21,True,True,True,True,False,False,False,True
Duloxetine,db_SMILES,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,ZEUITGRIYCTCEM-KRWDZBQOSA-N,298.1266,C18H19NOS,ZEUITGRIYCTCEM,ZEUITGRIYCTCEM,True,,False,c1csc(COc2cccc3ccccc23)c1,0.0,298.12601,True,C;N;O;S,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15}",15,True,15,No,11.0,112.0,,0,True,True,,False,True,False,False,False,False,True,train,True,20,QTOF:13;Orbitrap:7,13,True,True,True,True,False,False,False,True
Enrofloxacin,db_SMILES,CCN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2)CC1,SPFYMRJSYKOXGV-UHFFFAOYSA-N,360.1723,C19H22FN3O3,SPFYMRJSYKOXGV,SPFYMRJSYKOXGV,True,,False,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,0.0,360.1718,True,C;F;N;O,True,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15}",15,True,15,No,5.5,117.0,Clorpyrifos-methyl[M+K]+,1,True,True,V2-DEVELOPMENT-POPULATION;WUR-POS-IDENTITY;WUR-SEALED,True,True,False,False,False,False,True,train,True,55,QTOF:28;Orbitrap:26,28,True,True,True,True,True,False,False,True
Enterolactone,db_SMILES,O=C1OC[C@H](Cc2cc(O)ccc2)[C@H]1Cc1cc(O)ccc1,HVDGDHBAMCBBLR-WMLDXEAASA-N,299.1283,C18H18O4,HVDGDHBAMCBBLR,HVDGDHBAMCBBLR,True,,False,O=C1OCC(Cc2ccccc2)C1Cc1ccccc1,0.0,299.12779,True,C;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15, ""[M+H-H2O]+"": 9, ""[M+NH4]+"": 5}",15,True,29,Yes,7.62,119.0,Aflatoxin P1[M+H]+,1,True,True,LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;LCSB-NEG,True,True,False,False,False,False,True,train,True,28,QTOF:27,27,True,False,False,True,True,False,False,True
Erythromycin,db_Isomeric_Smiles,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,ULGZDMOVFRHVEP-RWJQBGPGSA-N,734.4691,C37H67NO13,ULGZDMOVFRHVEP,ULGZDMOVFRHVEP,True,,False,O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,0.0,734.46852,True,C;N;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15}",15,True,15,No,8.11,121.0,,0,True,True,,False,True,False,False,False,False,True,test,True,122,Orbitrap:64;QTOF:54,53,True,True,True,True,False,False,False,True
Fenarimol,db_SMILES,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,NHOWDZOIZKMVAI-UHFFFAOYSA-N,331.0399,C17H12Cl2N2O,NHOWDZOIZKMVAI,NHOWDZOIZKMVAI,True,,False,c1ccc(C(c2ccccc2)c2cncnc2)cc1,0.0,331.03994,True,C;Cl;N;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;40±10;40±20,3,"{""[M+H]+"": 14}",14,True,14,No,12.95,125.0,Aflatoxin G2[M+H]+;Aflatoxin M2[M+H]+;Malathion[M+H]+;Mono-(2-ethyl-5-carboxypentyl) phthalate[M+Na]+;Mono-(2-ethyl-5-oxohexyl) phthalate[M+K]+;Mono-[(2-carboxymethyl) hexyl] phthalate[M+Na]+;Mono-iso-nonyl phthalate[M+K]+,7,True,True,ENTACT-MIX-LISTS-499-503-505;LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;LCSB-DEV;LCSB-NEG;LCSB-POS-V2-SPECTRA;LCSB-RAW-MIX-REPLICATE-SET-92;LCSB-RAW-MIXES-499-503-505;V2-DEVELOPMENT-POPULATION;WUR-DEV-ANALYSIS;WUR-POS-IDENTITY,True,True,False,False,False,False,True,train,True,36,QTOF:18;Orbitrap:18,18,True,False,False,True,True,False,False,True
Fipronil,db_Canonical_Smiles,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,453.973,C12H4Cl2F6N4OS,ZOCSXAVNDGMNBV,ZOCSXAVNDGMNBV,True,,False,c1ccc(-n2cccn2)cc1,0.0,436.94598,True,C;Cl;F;N;O;S,True,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 14, ""[M+NH4]+"": 15}",14,True,29,No,16.01,126.0,Culmorin-11-glucuronide[M+Na]+;Perfluorooctanoic acid[M+Na]+;Zearalenon-14-sulfate[M+K]+,3,True,True,LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;LCSB-NEG;WUR-NEG-DEV,True,True,False,False,False,False,True,val,True,38,Orbitrap:25;QTOF:13,13,True,True,True,True,True,False,False,True
Florfenicol,db_Isomeric_Smiles,CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O,AYIRNRDRBQJXIF-NXEZZACHSA-N,358.0083,C12H14Cl2FNO4S,AYIRNRDRBQJXIF,AYIRNRDRBQJXIF,True,,False,c1ccccc1,0.0,358.00774,True,C;Cl;F;N;O;S,True,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15, ""[M+H-H2O]+"": 15, ""[M+Na]+"": 15, ""[M+NH4]+"": 15}",15,True,60,No,5.36,127.0,8-prenylnaringenin[M+NH4]+;Danofloxacin[M+H]+;Norfloxacin[M+K]+;Prochloraz[M-H2O+H]+,4,True,True,,False,True,False,False,False,False,True,train,True,34,Orbitrap:18;QTOF:16,16,True,True,True,True,False,False,False,True
