compound,smiles,formula_calc,parent_key,taut_key,skel_key,scaffold_group,n_mh_spectra,single_ce,n_single_ce,chimeric_flag,in_muru_registry,group_in_muru_registry_groups,in_pr7,group_in_pr7,in_comparator,group_in_comparator,in_msg15,group_in_msg15,msg15_pk_hit,msg15_taut_hit,msg15_skel_hit,msg15_new_hit_smiles,muru_dev_pop_pk_hit,muru_dev_pop_taut_hit,muru_dev_pop_skel_hit,muru_dev_pop_new_hit_smiles,pr7_pk_hit,pr7_taut_hit,pr7_skel_hit,pr7_new_hit_smiles,comparator_pk_hit,comparator_taut_hit,comparator_skel_hit,comparator_new_hit_smiles,taut_or_skel_new_hit
2-hydroxy-4-methoxybenzophenone,COc1cc(O)c(C(=O)c2ccccc2)cc1,C14H12O3,DXGLGDHPHMLXJC,DXGLGDHPHMLXJC,NAZSTRORASRVBV,O=C(c1ccccc1)c1ccccc1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
2-isopropyl-4-methyl-6-hydroxypyrimidine,Cc1cc(=O)nc(C(C)C)[nH]1,C8H12N2O,AJPIUNPJBFBUKK,AJPIUNPJBFBUKK,SJFAOSSOHNHUFM,O=c1cc[nH]cn1,15,,0,No,True,True,False,False,False,False,True,False,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
3-benzylidenecamphor,CC12CCC(C(=Cc3ccccc3)C1=O)C2(C)C,C17H20O,OIQXFRANQVWXJF,OIQXFRANQVWXJF,SJLAXDGXVXOPSM,O=C1C(=Cc2ccccc2)C2CCC1C2,15,20;25;30;35;40;45;50;55;60;65;70,11,Yes,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
"3,5,6-trichloro-2-pyridinol",O=c1[nH]c(Cl)c(Cl)cc1Cl,C5H2Cl3NO,WCYYAQFQZQEUEN,WCYYAQFQZQEUEN,AOJJYCMXABXDIK,O=c1cccc[nH]1,15,,0,No,True,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
4-hydroxybenzophenone,O=C(c1ccccc1)c1ccc(O)cc1,C13H10O2,NPFYZDNDJHZQKY,NPFYZDNDJHZQKY,TYPRCTMOBHKUTJ,O=C(c1ccccc1)c1ccccc1,15,20;25;30;40;45;50;55;60;65;70,10,No,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
4-methylbenzophenone,Cc1ccc(C(=O)c2ccccc2)cc1,C14H12O,WXPWZZHELZEVPO,WXPWZZHELZEVPO,MNMTXNKWQTZTSI,O=C(c1ccccc1)c1ccccc1,15,,0,No,False,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
4-methylbenzylidene camphor,Cc1ccc(/C=C2\C(=O)C3(C)CCC2C3(C)C)cc1,C18H22O,HEOCBCNFKCOKBX,HEOCBCNFKCOKBX,YNJRSLMZAGUPIJ,O=C1C(=Cc2ccccc2)C2CCC1C2,15,30;35;40;45;50;55;60;65;70,9,Yes,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
5-hydroxymethylfurfural,O=Cc1ccc(CO)o1,C6H6O3,NOEGNKMFWQHSLB,NOEGNKMFWQHSLB,YCZZQSFWHFBKMU,c1ccoc1,13,20;25;30;35;50;55;60;65;70,9,No,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
8-Prenylnaringenin,CC(C)=CCc1c2O[C@H](c3ccc(O)cc3)CC(=O)c2c(O)cc1O,C20H20O5,LPEPZZAVFJPLNZ,LPEPZZAVFJPLNZ,PBPZFJMWNBXTHO,O=C1CC(c2ccccc2)Oc2ccccc21,13,,0,No,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Acetaminophen,CC(=O)Nc1ccc(O)cc1,C8H9NO2,RZVAJINKPMORJF,RZVAJINKPMORJF,SYBAUZUDMXHHLG,c1ccccc1,16,20;35;40;70,4,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Acetamiprid,CC(=NC#N)N(C)Cc1cnc(Cl)cc1,C10H11ClN4,WCXDHFDTOYPNIE,WCXDHFDTOYPNIE,YTRHYPBZPPVSCL,c1ccncc1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Aflatoxicol,COc1c2c3c(c(=O)oc2c2c(c1)O[C@H]1OC=C[C@@H]21)[C@@H](O)CC3,C17H14O6,WYIWLDSPNDMZIT,WYIWLDSPNDMZIT,QSDGNLBKPDHTEH,O=c1oc2c3c(ccc2c2c1CCC2)OC1OC=CC31,14,20;25;30;35;40;45;50;55;60;65;70,11,Yes,False,False,False,False,False,False,False,False,False,False,True,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1CCOC1O2;COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1CCO[C@@H]1O2,False,False,True,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C2[C@@H]3CCO[C@@H]3OC2=C1,False,False,False,,False,False,False,,True
Aflatoxin B1,COc1c2c3c(C(=O)CC3)c(=O)oc2c2c(c1)O[C@H]1OC=C[C@@H]21,C17H12O6,OQIQSTLJSLGHID,OQIQSTLJSLGHID,QSDGNLBKPDHTEH,O=C1CCc2c1c(=O)oc1c3c(ccc21)OC1OC=CC31,15,20;25;30;35;40,5,Yes,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Aflatoxin B2,COc1c2c3c(C(=O)CC3)c(=O)oc2c2c(c1)O[C@H]1OCC[C@@H]21,C17H14O6,WWSYXEZEXMQWHT,WWSYXEZEXMQWHT,QSDGNLBKPDHTEH,O=C1CCc2c1c(=O)oc1c3c(ccc21)OC1OCCC31,15,20;25;30;35;40;45,6,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Aflatoxin G1,COc1c2c3c(C(=O)OCC3)c(=O)oc2c2c(c1)OC1OC=CC21,C17H12O7,XWIYFDMXXLINPU,XWIYFDMXXLINPU,GGECPJPRNZQRQZ,O=C1OCCc2c1c(=O)oc1c3c(ccc21)OC1OC=CC31,15,20;25;30;35;40;55,6,Yes,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Aflatoxin P1,O=C1CCc2c1c(=O)oc1c2c(O)cc2c1[C@@H]1C=CO[C@@H]1O2,C16H10O6,NRCXNPKDOMYPPJ,NRCXNPKDOMYPPJ,WHDJSBGMVBYCGN,O=C1CCc2c1c(=O)oc1c3c(ccc21)OC1OC=CC31,15,20;25;30;35;40;50;55;60;65;70,10,Yes,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
Alternariol,Cc1cc(O)cc2c1c1c(c(O)cc(O)c1)c(=O)o2,C14H10O5,CEBXXEKPIIDJHL,CEBXXEKPIIDJHL,QNIQNLKBDCQKEP,O=c1oc2ccccc2c2ccccc12,8,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,C16H19N3O4S,AVKUERGKIZMTKX,AVKUERGKIZMTKX,LZKPBYSDULCUJW,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,14,20;25;30;35,4,Yes,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Aristolactam I,COc1cccc2c3c4c(cc5C(=O)Nc(c53)cc12)OCO4,C17H11NO4,MXOKGWUJNGEKBH,MXOKGWUJNGEKBH,KQEFWNFKZLFMPP,O=C1Nc2cc3ccccc3c3c4c(cc1c23)OCO4,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Atrazine,CCNC1=NC(=NC(=N1)Cl)NC(C)C,C8H14ClN5,MXWJVTOOROXGIU,MXWJVTOOROXGIU,VBGCRVSTJQCRAO,c1ncncn1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,C38H72N2O12,MQTOSJVFKKJCRP,MQTOSJVFKKJCRP,LHTQFLLHTOQZFM,O=C1CC(OC2CCCCO2)CC(OC2CCCCO2)CCCCNCCCCO1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Benzyl butyl phthalate,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,C19H20O4,IRIAEXORFWYRCZ,IRIAEXORFWYRCZ,YJJRUUXTTHIMMG,O=C(OCc1ccccc1)c1ccccc1,15,20;25;30;60,4,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
"Bis(1,3-dichloro-2-propyl) phosphate",O=P(O)(OC(CCl)CCl)OC(CCl)CCl,C6H11Cl4O4P,NNKRUBFJSSBFSS,NNKRUBFJSSBFSS,YIXWRXHGWSIJRZ,__ACYCLIC__NNKRUBFJSSBFSS,15,20;50;70,3,Yes,False,False,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Cefaclor,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,C15H14ClN3O4S,QYIYFLOTGYLRGG,QYIYFLOTGYLRGG,GGAFJGKUODHQEK,O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,29,20;25;30;40;45;50;55;60;65;70,10,Yes,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Chalcone,O=C(/C=C/c1ccccc1)c1ccccc1,C15H12O,DQFBYFPFKXHELB,DQFBYFPFKXHELB,XSOMPLRZPUGGEG,O=C(C=Cc1ccccc1)c1ccccc1,15,,0,No,False,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Chlorpyrifos,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,C9H11Cl3NO3PS,SBPBAQFWLVIOKP,SBPBAQFWLVIOKP,ZPCTWVUBNAPJPX,c1ccncc1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Chrysin,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,C15H10O4,RTIXKCRFFJGDFG,RTIXKCRFFJGDFG,XWUATZWFZUYLOB,O=c1cc(-c2ccccc2)oc2ccccc12,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,C17H18FN3O3,MYSWGUAQZAJSOK,MYSWGUAQZAJSOK,BTSBUHSIMOBXGG,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,14,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Citrinin,CC1=C2C(=CO[C@H](C)[C@H]2C)C(=O)C(C(=O)O)=C1O,C13H14O5,CBGDIJWINPWWJW,YEBAWWHAYLCCGQ,ZABJFMNTRLUOBF,O=C1C=CC=C2CCOC=C12,15,20;25;30;35;40;45;50;55;60;65;70,11,No,False,False,False,False,False,False,True,True,True,True,True,,False,True,True,C[C@H]1OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@@H]1C,False,False,False,,False,False,False,,True
Clarithromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,C38H69NO13,AGOYDEPGAOXOCK,AGOYDEPGAOXOCK,UVSDLZNBEZMXFL,O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Clorpyrifos-methyl,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,C7H7Cl3NO3PS,HRBKVYFZANMGRE,HRBKVYFZANMGRE,MJXKIPRFIBEZQY,c1ccncc1,14,,0,No,False,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Cotinine,CN1C(=O)CC[C@H]1c1cnccc1,C10H12N2O,UIKROCXWUNQSPJ,UIKROCXWUNQSPJ,DDGSRQXQKWJYLW,O=C1CCC(c2cccnc2)N1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Coumaphos,CCOP(=S)(OCC)Oc1cc2c(cc1)c(C)c(Cl)c(=O)o2,C14H16ClO5PS,BXNANOICGRISHX,BXNANOICGRISHX,CHYWJZPWMZBCLA,O=c1ccc2ccccc2o1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Daidzein,O=c1c(-c2ccc(O)cc2)coc2c1ccc(O)c2,C15H10O4,ZQSIJRDFPHDXIC,ZQSIJRDFPHDXIC,XKMBDCQVUNUIGI,O=c1c(-c2ccccc2)coc2ccccc12,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Daidzein glucuronide,O=C(O)[C@H]1O[C@@H](Oc2cc3c(cc2)c(=O)c(-c2ccc(O)cc2)co3)[C@H](O)[C@@H](O)[C@@H]1O,C21H18O10,MMIBOZXVZLENRZ,MMIBOZXVZLENRZ,DIDQVWNBUSRLSH,O=c1c(-c2ccccc2)coc2cc(OC3CCCCO3)ccc12,15,,0,No,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
Danofloxacin,CN1C[C@@H]2C[C@H]1CN2c1c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c2c1,C19H20FN3O3,QMLVECGLEOSESV,QMLVECGLEOSESV,LSHVCANMWLCOBH,O=c1ccn(C2CC2)c2cc(N3CC4CC3CN4)ccc12,15,,0,Yes,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
