compound,smiles,formula_calc,parent_key,taut_key,skel_key,scaffold_group,n_mh_spectra,single_ce,n_single_ce,chimeric_flag,in_muru_registry,group_in_muru_registry_groups,in_pr7,group_in_pr7,in_comparator,group_in_comparator,in_msg15,group_in_msg15,msg15_pk_hit,msg15_taut_hit,msg15_skel_hit,msg15_new_hit_smiles,muru_dev_pop_pk_hit,muru_dev_pop_taut_hit,muru_dev_pop_skel_hit,muru_dev_pop_new_hit_smiles,pr7_pk_hit,pr7_taut_hit,pr7_skel_hit,pr7_new_hit_smiles,comparator_pk_hit,comparator_taut_hit,comparator_skel_hit,comparator_new_hit_smiles,taut_or_skel_new_hit
Formononetin,COc1ccc(-c2coc3c(ccc(O)c3)c2=O)cc1,C16H12O4,HKQYGTCOTHHOMP,HKQYGTCOTHHOMP,KNHIXORDHNHRNO,O=c1c(-c2ccccc2)coc2ccccc12,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Fumonisin B1,CCCC[C@@H](C)[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@H](C[C@@H](C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@H](C)N)OC(=O)C[C@@H](CC(=O)O)C(=O)O,C34H59NO15,UVBUBMSSQKOIBE,UVBUBMSSQKOIBE,URFJVOKRBAJETF,__ACYCLIC__UVBUBMSSQKOIBE,15,20;25;30;35;40;45;50;60;65,9,Yes,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Genistein,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,C15H10O5,TZBJGXHYKVUXJN,TZBJGXHYKVUXJN,KDFAJBBHHGLFCN,O=c1c(-c2ccccc2)coc2ccccc12,14,,0,No,False,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Glycitein,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O,C16H12O5,DXYUAIFZCFRPTH,DXYUAIFZCFRPTH,DFBVIYPCYOKAGM,O=c1c(-c2ccccc2)coc2ccccc12,15,,0,Yes,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Imidacloprid,O=[N+]([O-])NC1=NCCN1Cc1cnc(Cl)cc1,C9H10ClN5O2,YWTYJOPNNQFBPC,YWTYJOPNNQFBPC,FYHYNWJJAAAXKH,C1=NCCN1Cc1cccnc1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Isoxanthohumol,CC(=CCC1=C2C(=C(C=C1O)OC)C(=O)CC(O2)C3=CC=C(C=C3)O)C,C21H22O5,YKGCBLWILMDSAV,YKGCBLWILMDSAV,NTIRJLVIGGRJJU,O=C1CC(c2ccccc2)Oc2ccccc21,14,,0,No,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Jacobine,C[C@@H]1C[C@@]2(O[C@H]2C)C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@]1(C)O)[C@H]23,C18H25NO6,IAPHXJRHXBQDQJ,IAPHXJRHXBQDQJ,VMIUFTPFDSVWJL,O=C1CCCC2(CO2)C(=O)OC2CCN3CC=C(CO1)C23,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Jacobine-N-oxide,C[C@@H]1C[C@@]2(O[C@H]2C)C(=O)O[C@@H]2CC[N+]3([O-])CC=C(COC(=O)[C@]1(C)O)[C@H]23,C18H25NO7,NKRQJWQYBNTAEV,NKRQJWQYBNTAEV,,O=C1CCCC2(CO2)C(=O)OC2CC[NH+]3CC=C(CO1)C23,9,,0,No,True,True,False,False,False,False,True,True,True,True,False,,True,True,False,,False,False,False,,False,False,False,,False
Kaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,C15H10O6,IYRMWMYZSQPJKC,IYRMWMYZSQPJKC,FJHXDMTZOTYACY,O=c1cc(-c2ccccc2)oc2ccccc12,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,C10H19O6PS2,JXSJBGJIGXNWCI,JXSJBGJIGXNWCI,BGNKONPUQIIVRR,__ACYCLIC__JXSJBGJIGXNWCI,7,,0,Yes,False,False,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
