group_key,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source
RYAUSSKQMZRMAI,c1ccc(CCCN2CCOCC2)cc1,304.263793945313,55.0,4.0,2.0,1.0,5.0,12.47,0.09090909090909091,1.0,1.0,0.0,0.0,WUR
RYVIXQCRCQLFCM,c1cnc(Oc2cccc(Oc3ncccn3)c2)nc1,431.1197,49.0,9.0,3.0,3.0,13.0,144.24,0.3870967741935484,4.0,8.0,0.0,0.0,LCSB
RZILCCPWPBTYDO,c1ccccc1,233.0896,27.0,1.0,1.0,1.0,5.0,32.34,0.375,2.0,1.0,0.0,3.0,LCSB
RZVAJINKPMORJF,c1ccccc1,152.070648193359,20.0,1.0,1.0,1.0,5.0,49.33,0.2727272727272727,1.0,2.0,0.0,0.0,WUR
SAPGTCDSBGMXCD,c1ccc(C(c2ccccc2)c2cncnc2)cc1,315.0695,34.0,3.0,3.0,3.0,12.0,46.010000000000005,0.22727272727272727,2.0,1.0,0.0,2.0,LCSB
SBDNJUWAMKYJOX,c1ccc(Nc2ccccc2)cc1,296.023681640625,30.0,3.0,2.0,2.0,9.0,49.33,0.2631578947368421,1.0,2.0,0.0,2.0,WUR
SBUJHOSQTJFQJX,C1CC[C@@H](O[C@@H]2CCC[C@H](O[C@@H]3CCCCO3)C2)OC1,485.245697021484,69.0,6.0,3.0,0.0,3.0,282.61000000000007,0.45454545454545453,4.0,11.0,0.0,0.0,WUR
SCABKEBYDRTODC,__ACYCLIC__SCABKEBYDRTODC,435.2952,72.0,23.0,0.0,0.0,2.0,89.52000000000001,0.26666666666666666,0.0,8.0,0.0,0.0,LCSB
SCCDDNKJYDZXMM,c1ccccc1,256.110046386719,35.0,5.0,1.0,1.0,5.0,29.54,0.23529411764705882,1.0,2.0,0.0,1.0,WUR
SDMSCIWHRZJSRN,c1ccc(-c2ccno2)cc1,314.061,36.0,7.0,2.0,2.0,8.5,53.72,0.35,1.0,4.0,1.0,0.0,LCSB
SGUAFYQXFOLMHL,c1ccc(CCCNCCc2ccccc2)cc1,329.186,48.0,8.0,2.0,2.0,9.0,95.57999999999998,0.20833333333333334,2.0,3.0,0.0,0.0,LCSB
SHCRDCOTRILILT,O=C1C=C[C@@H](OC(=O)C2CC2)C1,361.201080322266,54.0,6.0,2.0,0.0,8.0,69.67000000000002,0.19230769230769232,0.0,5.0,0.0,0.0,WUR
SJDACOMXKWHBOW,O=C1Nc2ccccc2C1(c1ccccc1)c1ccccc1,318.1125,39.0,2.0,4.0,3.0,14.0,69.56,0.16666666666666666,1.0,3.0,0.0,0.0,LCSB
SLCGUGMPSUYJAY,O=C(Nc1ccccc1)c1ccccc1,366.066009521484,41.0,5.0,2.0,2.0,10.0,46.61,0.25,1.0,3.0,0.0,2.0,WUR
SLDQOBRACOQXGE,c1ccccc1,191.1067,28.0,4.0,1.0,1.0,6.0,26.3,0.14285714285714285,0.0,2.0,0.0,0.0,LCSB
SMWDFEZZVXVKRB,c1ccc2ncccc2c1,130.065063476563,17.0,0.0,2.0,2.0,7.5,12.89,0.1,1.0,0.0,0.0,0.0,WUR
SNHRLVCMMWUAJD,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,477.2647,71.0,6.0,4.0,0.0,9.0,100.90000000000002,0.20588235294117646,0.0,6.0,0.0,1.0,LCSB
SNPPWIUOZRMYNY,c1ccccc1,240.115,34.0,3.0,1.0,1.0,5.0,29.1,0.1875,1.0,1.0,0.0,1.0,LCSB
SOUGWDPPRBKJEX,c1ccccc1,336.031799316406,36.0,5.0,1.0,1.0,6.0,46.17,0.3,1.0,2.0,0.0,3.0,WUR
SPNQRCTZKIBOAX,c1ccccc1,296.1605,42.0,5.0,1.0,1.0,6.0,98.31,0.3333333333333333,3.0,4.0,0.0,0.0,LCSB
STECJAGHUSJQJN,O=C(Cc1ccccc1)O[C@H]1C[C@@H]2N[C@H](C1)[C@H]1O[C@H]12,304.1543,43.0,4.0,4.0,1.0,8.0,62.3,0.22727272727272727,1.0,4.0,0.0,0.0,LCSB
STJLVHWMYQXCPB,c1ccc(C2(Cn3cncn3)OCCO2)cc1,342.0771,39.0,5.0,3.0,2.0,8.5,49.17,0.3181818181818182,3.0,2.0,0.0,2.0,LCSB
STJMRWALKKWQGH,c1ccccc1,277.086975097656,35.0,3.0,1.0,1.0,4.0,58.28,0.29411764705882354,2.0,1.0,0.0,2.0,WUR
STMIIPIFODONDC,c1ccc(CCn2cncn2)cc1,314.0821,37.0,6.0,2.0,2.0,7.5,50.94,0.3,3.0,1.0,0.0,2.0,LCSB
STUSTWKEFDQFFZ,c1ccccc1,197.084,26.0,2.0,1.0,1.0,5.0,15.6,0.23076923076923078,2.0,0.0,0.0,1.0,LCSB
SUBWVHAACKTENX,O=C1CCC[C@@H](O[C@H]2CCCCO2)CCC[C@@H](O[C@H]2CCCCO2)C=CC=CCCO1,699.442138671875,111.0,9.0,3.0,0.0,7.0,156.69,0.2653061224489796,2.0,11.0,0.0,0.0,WUR
SWAJJKROCOJICG,c1ccccc1,208.0968,28.0,4.0,1.0,1.0,6.0,55.4,0.26666666666666666,1.0,3.0,0.0,0.0,LCSB
SYJGKVOENHZYMQ,O=S(=O)(Nc1nc2ccncn2n1)c1ccccc1,484.0709,46.0,8.0,3.0,3.0,13.0,116.94,0.5,5.0,5.0,1.0,5.0,LCSB
SZINUGQCTHLQAZ,O=C1C=C[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3CN12,337.154968261719,45.0,1.0,5.0,2.0,13.0,73.4,0.2,2.0,3.0,0.0,0.0,WUR
SZRPDCCEHVWOJX,c1ccc(Nc2ccncn2)cc1,324.0568,35.0,5.0,2.0,2.0,9.0,75.11000000000001,0.3333333333333333,3.0,2.0,1.0,1.0,LCSB
SZWKGOZKRMMLAJ,O=C(Nc1ccccc1)c1ccc2c(c1)CCCC2,352.1907,51.0,3.0,3.0,2.0,11.0,66.4,0.15384615384615385,1.0,3.0,0.0,0.0,LCSB
TUBQDCKAWGHZPF,c1ccc2scnc2c1,238.976745605469,20.0,3.0,2.0,2.0,9.0,36.68,0.35714285714285715,2.0,0.0,3.0,0.0,WUR
TVLSRXXIMLFWEO,O=C(NCCOc1ccccc1)n1ccnc1,376.0381,39.0,6.0,2.0,2.0,8.5,47.36,0.34782608695652173,3.0,2.0,0.0,3.0,LCSB
TVVXHFWWAYXBNC,O=C(Nc1nnn[nH]1)c1cc2ccccc2s1,334.0968,38.0,5.0,3.0,3.0,11.5,102.02,0.391304347826087,5.0,3.0,1.0,0.0,LCSB
TWFZGCMQGLPBSX,c1ccc2[nH]cnc2c1,192.0768,23.0,1.0,2.0,2.0,8.0,67.00999999999999,0.35714285714285715,3.0,2.0,0.0,0.0,LCSB
TWHBYJSVDCWICV,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,699.490295410156,111.0,9.0,1.0,0.0,7.0,139.83,0.25,3.0,9.0,0.0,0.0,WUR
TWMFGCHRALXDAR,__ACYCLIC__TWMFGCHRALXDAR,285.29,56.0,14.0,0.0,0.0,1.0,32.34,0.15,2.0,1.0,0.0,0.0,LCSB
TWPMMLHBHPYSMT,c1ccc(Nc2ccccc2)cc1,184.1121,27.0,2.0,2.0,2.0,8.0,12.03,0.07142857142857142,1.0,0.0,0.0,0.0,LCSB
TYMLOMAKGOJONV,c1ccccc1,139.050201416016,16.0,1.0,1.0,1.0,5.0,69.16,0.4,2.0,2.0,0.0,0.0,WUR
TZBPRYIIJAJUOY,c1cncnc1,334.1349,45.0,9.0,1.0,1.0,5.0,56.71,0.38095238095238093,3.0,3.0,1.0,0.0,LCSB
UACOXBQBNWQWOK,c1ccc(-c2ncoc2-c2ccc3nncn3c2)cc1,341.1208,39.0,3.0,4.0,4.0,14.5,56.22,0.28,4.0,1.0,0.0,2.0,LCSB
UAFDGCOOJPIAHN,O=S(=O)(c1ccccc1)c1ccc2nc[nH]c2c1,332.070129394531,36.0,3.0,3.0,3.0,14.0,101.14999999999998,0.34782608695652173,3.0,4.0,1.0,0.0,WUR
