"ID","Name","SMILES","CAS","RT"
44,"Pirimicarb","CN(C)C(=O)OC1=C(C)C(C)=NC(=N1)N(C)C","23103-98-2",NA
48,"Linuron","CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1","330-55-2",NA
55,"Cybutryne","CSC1=NC(NC(C)(C)C)=NC(NC2CC2)=N1","28159-98-0",NA
60,"Imidacloprid","[O-][N+](=O)\N=C1/NCCN1CC1=CN=C(Cl)C=C1","138261-41-3",NA
210,"Phenformin","NC(=N)NC(=N)NCCC1=CC=CC=C1","",NA
211,"Zearalenone","C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1","",NA
212,"Fenpropathrin","CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C","",NA
213,"N-(1-Methylheptyl)-N'-phenyl-1,4-benzenediamine","CCCCCCC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1","",NA
214,"4-Hydroxyacetophenone","CC(=O)C1=CC=C(O)C=C1","",NA
215,"Fluazifop-P-butyl","CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1","",NA
216,"Dialifor","CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=C(C=CC=C2)C1=O","",NA
217,"Aldicarb","CNC(=O)ON=CC(C)(C)SC","",NA
218,"4-tert-Butylbenzoic acid","CC(C)(C)C1=CC=C(C=C1)C(O)=O","",NA
219,"(9Z,12R)-12-Hydroxyoctadec-9-enoic acid","CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O","",NA
220,"Labetalol","CC(CCC1=CC=CC=C1)NCC(O)C1=CC=C(O)C(=C1)C(N)=O","",NA
221,"1H-Benzo[de]isoquinoline-1,3(2H)-dione","O=C1NC(=O)C2=CC=CC3=C2C1=CC=C3","",NA
222,"Zenarestat","OC(=O)CN1C(=O)N(CC2=CC=C(Br)C=C2F)C(=O)C2=C1C=C(Cl)C=C2","",NA
223,"SSR126768","CCN(Cc1cccnc1)C(=O)c1cccc(Cl)c1[C@]1(C)C(=O)N(Cc2ccc(OC)cc2OC)c2ccc(Cl)cc21","",NA
225,"PharmaGSID_48507","CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2","",NA
226,"2-Mercaptobenzothiazole","SC1=NC2=C(S1)C=CC=C2","",NA
227,"Picloram","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl","",NA
228,"Rhodamine 6G","CCNC1=CC2=[O+]C3=C(C=C(C)C(NCC)=C3)C(=C2C=C1C)C1=C(C=CC=C1)C(=O)OCC","",NA
229,"C.I. Basic Red 9","NC1=CC=C(C=C1)C(C1=CC=C(N)C=C1)=C1C=CC(=N)C=C1","",NA
230,"2-Methyl-4,6-dinitrophenol","CC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O","",NA
231,"Ametryn","CCNC1=NC(SC)=NC(NC(C)C)=N1","",NA
232,"Dodecyltrimethylammonium","CCCCCCCCCCCC[N+](C)(C)C","",NA
233,"2-Isopropyl-6-methyl-4-pyrimidone","CC(C)C1=NC(=O)C=C(C)N1","",NA
234,"6-hydroxynaphthalene-2-sulfonate","OC1=CC2=C(C=C1)C=C(C=C2)S(O)(=O)=O","",NA
235,"Pyriproxyfen","CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1","",NA
236,"Raloxifene","OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1","",NA
237,"Crufomate","CNP(=O)(OC)OC1=CC=C(C=C1Cl)C(C)(C)C","",NA
238,"Epoxiconazole","FC1=CC=C(C=C1)C1(CN2C=NC=N2)OC1C1=C(Cl)C=CC=C1","",NA
239,"Triamcinolone","C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO","",NA
240,"Quinmerac","CC1=CC2=C(N=C1)C(C(O)=O)=C(Cl)C=C2","",NA
241,"4-Ethoxy-4-oxobut-2-enoic acid","CCOC(=O)C=CC(O)=O","",NA
242,"5HPP-33","CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O","",NA
243,"SR58611","CCOC(=O)COC1=CC2=C(CCC(C2)NCC(O)C2=CC(Cl)=CC=C2)C=C1","",NA
244,"2-Phenylethyl 3-phenylprop-2-enoate","O=C(OCCC1=CC=CC=C1)C=CC1=CC=CC=C1","",NA
245,"FR167356","CC1=C(C2=C(O1)C(NC(=O)C1=C(Cl)C=CC=C1Cl)=CC=C2)C(C)(C)O","",NA
