"ID","Name","SMILES","CAS","RT"
1067,"2-Aminobenzimidazole","NC1=NC2=CC=CC=C2N1","",NA
1068,"5-Methoxypsoralen","COC1=C2C=COC2=CC2=C1C=CC(=O)O2","",NA
1069,"2-(2H-Benzotriazol-2-yl)-4-methylphenol","CC1=CC(N2N=C3C=CC=CC3=N2)=C(O)C=C1","",NA
1070,"Thiazopyr","COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F","",NA
1071,"Aldicarb sulfoxide","CNC(=O)O\N=C\C(C)(C)S(C)=O","",NA
1072,"17-Methyltestosterone","C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","",NA
1073,"Tamoxifen","CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1","",NA
1074,"Phenyl 1-hydroxy-2-naphthoate","OC1=C(C=CC2=C1C=CC=C2)C(=O)OC1=CC=CC=C1","",NA
1075,"Propamocarb","CCCOC(=O)NCCCN(C)C","",NA
1076,"Clofibric acid","CC(C)(OC1=CC=C(Cl)C=C1)C(O)=O","",NA
1077,"5,7-Dimethoxy-2H-chromen-2-one","COC1=CC2=C(C=CC(=O)O2)C(OC)=C1","",NA
1078,"Phosfolan","CCOP(=O)(OCC)N=C1SCCS1","",NA
1079,"Terbucarb","CNC(=O)OC1=C(C=C(C)C=C1C(C)(C)C)C(C)(C)C","",NA
1080,"1,3-Cyclohexanedione","O=C1CCCC(=O)C1","",NA
1081,"2-(Propan-2-yl)-9H-thioxanthen-9-one","CC(C)C1=CC2=C(SC3=C(C=CC=C3)C2=O)C=C1","",NA
1082,"4-[(3-oxobutanoyl)amino]benzenesulfonate","CC(=O)CC(=O)NC1=CC=C(C=C1)S(O)(=O)=O","",NA
1084,"4-Methoxy-2-methylaniline","COC1=CC(C)=C(N)C=C1","",NA
1085,"Amiloride","NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N","",NA
1086,"Aloe-emodin","OCC1=CC2=C(C(O)=C1)C(=O)C1=C(C=CC=C1O)C2=O","",NA
1087,"Fenarimol","OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl","",NA
1088,"Triflumizole","CCCOC\C(=N/C1=C(C=C(Cl)C=C1)C(F)(F)F)N1C=CN=C1","",NA
1089,"1-naphthaleneacetate","OC(=O)CC1=C2C=CC=CC2=CC=C1","",NA
1090,"N,N'-Dimethylthiourea","CNC(=S)NC","",NA
1091,"2-Isopropylphenol","CC(C)C1=C(O)C=CC=C1","",NA
1092,"2,2-Dimethyl-2,3-dihydro-1-benzofuran-7-amine","CC1(C)CC2=C(O1)C(N)=CC=C2","",NA
1093,"CP-457677","CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC=C(F)C=C2)C=C1","",NA
1094,"2-Hydroxyfluorene","OC1=CC2=C(C=C1)C1=C(C2)C=CC=C1","",NA
1095,"Isobutyl 3-phenylacrylate","CC(C)COC(=O)C=CC1=CC=CC=C1","",NA
1096,"Piperine","O=C(\C=C\C=C\C1=CC=C2OCOC2=C1)N1CCCCC1","",NA
1097,"Fenamiphos","CCOP(=O)(NC(C)C)OC1=CC=C(SC)C(C)=C1","",NA
1098,"2-Amino-6-nitrobenzothiazole","NC1=NC2=CC=C(C=C2S1)[N+]([O-])=O","",NA
1099,"4-Methoxy-2-methyl-N-phenylaniline","COC1=CC=C(NC2=CC=CC=C2)C(C)=C1","",NA
1100,"5-(Hydroxymethyl)-2-furfural","OCC1=CC=C(O1)C=O","",NA
1101,"4-Hydroxyandrostenedione","C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@]34C)[C@@H]1CCC2=O","",NA
1102,"Ethyl 1-naphthaleneacetate","CCOC(=O)CC1=CC=CC2=C1C=CC=C2","",NA
1103,"SR125047","COc1cccc(-c2ccc(/C=C\CN3CCCCCC3)cc2Cl)c1","",NA
1104,"Carbazole","N1C2=CC=CC=C2C2=C1C=CC=C2","",NA
1105,"N-Phenyl-2-naphthylamine","N(C1=CC=CC=C1)C1=CC=C2C=CC=CC2=C1","",NA
1106,"Methylparaben","COC(=O)C1=CC=C(O)C=C1","",NA
1107,"2,4,5-Trichlorophenol","OC1=C(Cl)C=C(Cl)C(Cl)=C1","",NA
1108,"Methyl styryl ketone","CC(=O)C=CC1=CC=CC=C1","",NA
1109,"Triclocarban","ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1","",NA
1110,"Resveratrol","OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1","",NA
1111,"Phorate","CCOP(=S)(OCC)SCSCC","",NA
1112,"Trifloxystrobin","CON=C(C(=O)OC)C1=CC=CC=C1CON=C(C)C1=CC(=CC=C1)C(F)(F)F","",NA
1113,"Monobutyl phthalate","CCCCOC(=O)C1=C(C=CC=C1)C(O)=O","",NA
1114,"Mepanipyrim","CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1","",NA
1115,"N-methyl-alpha-phenylbenzeneacetamide","CNC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1","",NA
1116,"4-(Dimethylamino)phenylthiocyanate","CN(C)C1=CC=C(SC#N)C=C1","",NA
1117,"Parinol","OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C1=CC=CN=C1","",NA
1118,"Theophylline","CN1C2=C(NC=N2)C(=O)N(C)C1=O","",NA
1119,"4-Chloro-2-methylphenol","CC1=C(O)C=CC(Cl)=C1","",NA
1120,"Cortisone","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","",NA
1121,"Famotidine","NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1","",NA
1122,"Milrinone","CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1","",NA
1123,"2-(Ethyl(3-methylphenyl)amino)acetonitrile","CCN(CC#N)C1=CC(C)=CC=C1","",NA
1124,"2-nitrophenol","OC1=C(C=CC=C1)[N+]([O-])=O","",NA
1125,"Hexadecyltrimethylammonium","CCCCCCCCCCCCCCCC[N+](C)(C)C","",NA
1126,"Diethofencarb","CCOC1=CC=C(NC(=O)OC(C)C)C=C1OCC","",NA
1127,"Nitrothal-isopropyl","CC(C)OC(=O)C1=CC(=CC(=C1)C(=O)OC(C)C)[N+]([O-])=O","",NA
1129,"sec-Butylparaben","CCC(C)OC(=O)C1=CC=C(O)C=C1","",NA
1130,"2-Ethylanthracene-9,10-dione","CCC1=CC2=C(C=C1)C(=O)C1=C(C=CC=C1)C2=O","",NA
1131,"dl-Tartaric acid","OC(C(O)C(O)=O)C(O)=O","",NA
