rep,fold,n,nWUR,r2_12,r2_24,P1_12,P1_24,P1_24_WUR,P1_12_WUR,r2_logN,slope_logN,r2_logmz,slope_logmz,r2_isoMz,src_coef,P1_24src,P1_WURonlytrain_WUR,nWURtrain,alphaW,P1_LCSBonlytrain_WUR
0,0,183,103,0.40224037112570044,0.432185603614087,0.12471934672544917,0.12431930897837136,0.11491064893167853,0.12157633129344796,0.13311818374637774,-1.0760954030500662,0.21033848906497388,-1.0768402273604183,0.1267265165285465,-0.05412981503220828,0.1238362348487748,0.12038083445509708,249,1,0.12123019284470074
0,1,152,66,0.4114355604783704,0.44909159453100045,0.13352033217581047,0.13301425691095592,0.13418615862565603,0.13455442603907675,0.32845856611112834,-1.2478152053159803,0.3440121937303856,-1.313889891212076,0.31656413766351954,-0.026535444744299204,0.13262821766582758,0.1354904026667514,286,30,0.14263299663122872
0,2,152,56,0.5187016750672879,0.5445041097152411,0.13631866749417038,0.13406534110915777,0.12187419443764812,0.1182501376818239,0.32056810136187264,-1.2009466076653528,0.4030621372758064,-1.27391047318731,0.3664267064864102,-0.05543003134431569,0.1342506461785841,0.12597093894789582,296,30,0.1396907013255216
0,3,152,69,0.4274717959523854,0.4215942997859802,0.13471398028986772,0.13603133228535838,0.133875346261783,0.13619275714572693,0.3228016499418688,-1.278742967793069,0.3891060891552728,-1.3170473803016731,0.34740642201733885,-0.043882645576066165,0.13601669182843365,0.13865514791324288,283,30,0.14700951839753562
0,4,152,58,0.5118893007540137,0.5456135541110335,0.14195597843469385,0.13824469995219646,0.12823047305027327,0.1270681750265774,0.41551847710796375,-0.980550425407262,0.38613943719929056,-1.0125605124369763,0.4401639480838413,-0.03501161889840833,0.13779526480466334,0.12391889790835363,294,3,0.13755235080526312
1,0,183,103,0.40224037112570044,0.432185603614087,0.12471934672544917,0.12431930897837136,0.11491064893167853,0.12157633129344796,0.13311818374637774,-1.0760954030500662,0.21033848906497388,-1.0768402273604183,0.1267265165285465,-0.05412981503220828,0.1238362348487748,0.12038083445509708,249,1,0.12123019284470074
1,1,152,61,0.5040552988452143,0.5302575247211145,0.13247633310891624,0.13041862399070459,0.12131878101742699,0.12228871455099825,0.38985746638944396,-1.1696448143450193,0.37736793203971686,-1.2056713940551838,0.4165788838924307,-0.06747537953202531,0.13099158451934717,0.12982945744904836,291,1,0.12259642653021374
1,2,152,58,0.5737534681959864,0.616959910926475,0.1356780299125273,0.13160210940828013,0.12954279975184027,0.13313808057961615,0.4365597844293315,-1.0953786320334096,0.4282037473334719,-1.1453991376677144,0.4313913962763728,-0.05408261581712255,0.13095049988291188,0.12985057030323383,294,10,0.13011160255071266
1,3,152,63,0.4424590618395826,0.4426293451536537,0.1378831813490658,0.1378609444576428,0.13108243216987028,0.1281153095784353,0.28592215805474075,-1.0738037484738139,0.35666581750156146,-1.1006456564817877,0.38326635805278153,-0.08318118930875402,0.13853412498730774,0.1398836160311185,289,10,0.15163669963111465
1,4,152,67,0.28781053881182095,0.3060115093556902,0.14522869364337862,0.14354604729267875,0.1369993131241117,0.1367540054391361,0.1579252752425797,-1.0682649239633522,0.22307332917887046,-1.0951252559671634,0.20935077536932345,-0.037367686962177286,0.14274975520248828,0.12478942692292302,285,10,0.15649433385493322
2,0,183,103,0.40224037112570044,0.432185603614087,0.12471934672544917,0.12431930897837136,0.11491064893167853,0.12157633129344796,0.13311818374637774,-1.0760954030500662,0.21033848906497388,-1.0768402273604183,0.1267265165285465,-0.05412981503220828,0.1238362348487748,0.12038083445509708,249,1,0.12123019284470074
2,1,152,69,0.3342043579875049,0.338074033951422,0.14526676258354262,0.1439982482194861,0.1516514305123913,0.1449225527817327,0.06099054630284828,-1.072941338315464,0.1640422627457473,-1.1244563736400182,0.12884359211875407,-0.06357101773853895,0.14339875483525205,0.14653528350985529,283,30,0.16787421417195356
2,2,152,63,0.4660435228215274,0.48419805237703906,0.13856133880548255,0.13845455283735683,0.11677395794631311,0.11726862751583714,0.42738542393867296,-1.2094953643332689,0.41054586199120746,-1.2811371108812828,0.37507660934563103,-0.06003823459194442,0.13890603348612848,0.11823343020054203,289,10,0.1269008961620989
2,3,152,52,0.5001634056754842,0.5303178641766684,0.1317540566185531,0.13348595465180024,0.14135029119692846,0.14311889051369153,0.3243751092611328,-1.1607439946572198,0.3914973726734664,-1.1925483817206213,0.3818509897733484,-0.050510016149518396,0.13216730637014043,0.13914377243364423,300,3,0.12828332872427542
2,4,152,65,0.48325464226792825,0.50956852030941,0.13647717417676125,0.13211991769720274,0.11692371419157652,0.11921522655240388,0.5141404390625544,-1.1537439431820267,0.4838615036984343,-1.1935767072419516,0.49453520601063994,-0.08913984115464724,0.13279269537347257,0.11892822559646338,287,10,0.13859964320518417
