key,scaffold_group_census,in_design12b,reasons
AAAQFGUYHFJNHI,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,True,DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAAUHBGRTHINSW,c1ccc(C2CCCCC2)cc1,True,SCAFFOLD_GROUP_EXCLUDED
AABFWJDLCCDJJN,c1ccc2c(-c3nccc4c3[nH]c3ccccc34)cccc2c1,True,DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
AABILZKQMVKFHP,,False,EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION;EXPOSED_POPULATION:WUR-POS-IDENTITY;EXPOSED_POPULATION:WUR-SEALED
AABYYGGKCQWHRA,O=S(=O)(Nc1ccccc1)c1cnoc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AACFPJSJOWQNBN,O=C1NCCCc2c1oc1ccccc21,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AACVPYUISGWNOU,C1=C2CC(OC3CCC(OC4CCC(OC5CCC(OC6CCCCO6)CO5)CO4)CO3)CCC2C2CCC3CCCC3C2C1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAEAWLCVAIUTBJ,c1ccc(OCCSc2ccccn2)cc1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
AAEVYOVXGOFMJO,,False,EXPOSED_POPULATION:LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;EXPOSED_POPULATION:LCSB-CONFIRMATION;EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION;EXPOSED_POPULATION:WUR-POS-IDENTITY;EXPOSED_POPULATION:WUR-SEALED
AAEZDRKCAQWFDB,O=C(CCSc1nccs1)Nc1ccccc1,False,HEADER_READ_WELL_STUDY1
AAFJXZWCNVJTMK,C(CC1CO1)C1CO1,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAFLALGGEYRGTR,O=C(Nc1cccs1)c1ccccc1,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAGFPTSOPGCENQ,O=C1C=CCC2C3CCCN4CCCC(CN12)C34,False,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;DECODED_SAME_WELL_ION_0p7;EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION;EXPOSED_POPULATION:WUR-DEV-ANALYSIS;EXPOSED_POPULATION:WUR-POS-IDENTITY;HEADER_READ_WELL_STUDY1;MSNLIB_ANCHOR_CENSUS_DESIGN;MSNLIB_ANCHOR_CENSUS_DETECTED;MSNLIB_ANCHOR_GATE_CALIBRATION
AAHPIJMQJAZYTM,c1ccc2sccc2c1,False,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1
AAHSTEUFCXJGIV,C=C1C(=O)OC2CC=CCC12,True,SCAFFOLD_GROUP_EXCLUDED
AAHYTWRSQZFZCM,c1cn[nH]c1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAIIJIOWYALNCC,O=C1NCc2c1ccc1c2OC2(CCCC3CCCCC32)C1,True,SCAFFOLD_GROUP_EXCLUDED
AAILVFJAIVKJQG,c1ccc(-c2nc(-c3ccc4ocnc4c3)no2)cc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAJANDWRABHMKV,O=c1[nH]c(=O)c2sc3nc(Cc4ccccc4)ccc3c2[nH]1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAJCAOZPYSHLNJ,O=C(NCc1ccnc(-n2ccnc2)c1)c1cn(-c2ccccc2)nn1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAJMQTLFRTZCJK,O=C(Nc1ccccc1)NC1CCNCC1,True,DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAJNUQCUXATYLI,O=C(NCCc1ccccc1)N1CCN(C(=O)NCCc2ccccc2)CC1,False,HEADER_READ_WELL_STUDY1
AAJOPMHTWQOBSN,S=C(NCCc1ccccn1)Nc1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAKFSKGDIRKILO,c1ccc(-c2ccoc2)cc1,False,HEADER_READ_WELL_STUDY1
AAKJLRGGTJKAMG,c1ccc(Nc2ncnc3ccccc23)cc1,True,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;DECODED_SAME_WELL_ION_0p7;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAKPNRVLVGZWKZ,O=C(NCCCS(=O)(=O)N1CCN(c2ccccc2)CC1)c1ccccc1,True,SCAFFOLD_GROUP_EXCLUDED
AAKRPNIMPXZCJY,c1cc(CNc2ncns2)cc(N2CCCC2)n1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AALLCALQGXXWNA,O=C1OC2C=CC1C1CCC3C(=O)OC(c4ccoc4)CC3C21,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AALLEWUCWSEWPN,O=C(CNC(=O)c1ccncn1)NCc1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AALSSIXXBDPENJ,O=C1C=CC(=O)C=C1,True,DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
AAMWBCCOOVEHKO,c1ccc(Sc2ccccc2)cc1,True,SCAFFOLD_GROUP_EXCLUDED
AANLHOVYRNPCCG,O=c1cc[nH]c(SCc2nc(-c3ccccc3)no2)n1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAOADKHNFOGATJ,O=C(CSc1nc2sc3c(c2c(=O)[nH]1)CCC3)c1ccc2c(c1)OCCO2,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAOMTOLCSIHZLA,O=C(Nc1ccccc1)c1cccc2ccccc12,True,SCAFFOLD_GROUP_EXCLUDED
AAOQQWDQWALLNL,c1ccc(-n2cccn2)nc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAPOCPWDQZSQRR,c1ccc2[nH]ccc2c1,False,HEADER_READ_WELL_STUDY1
AAPVQEMYVNZIOO,,False,EXPOSED_POPULATION:LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;EXPOSED_POPULATION:LCSB-NEG
AAPVVWIJQYJQDU,O=C(Cn1cccc1)Nc1n[nH]c(C2CCC2)n1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAQCMZVIQHLXPK,c1ccc(Cc2nnc3n2CCCCC3)cc1,False,HEADER_READ_WELL_STUDY1
AARVTLIQNGAELZ,O=c1ccc2nc3ccc(OCc4ccccc4)cc3oc-2c1,False,HEADER_READ_WELL_STUDY1
AASPGTOXCQXNOQ,c1ccccc1,False,HEADER_READ_WELL_STUDY1
AASPJVSSGHFYEZ,O=C(Cc1[nH]nc2ccccc12)Nc1cc(C2CC3CCC2C3)[nH]n1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AATNJWXJPJWZJO,O=C(NCc1cccnc1)c1ccc2nc[nH]c2c1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
AATQPQPHHPJRIB,c1ccc(CSc2ccc3nnc(-c4cccnc4)n3n2)cc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AATRFIAYPGUYMW,c1cc2ccc(-c3cnoc3)cc2[nH]1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAUQHXZZSVAPDF,O=C(Nc1ccccc1C(=O)N1CCNCC1)NC1CCCCC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAUQLHHARJUJEH,c1ccccc1,False,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1
AAVITBBBERPUIN,O=C1CCc2cc(C(=O)Nc3ccn[nH]3)ccc2N1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAVMGRPGPSSZBQ,,False,EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION;EXPOSED_POPULATION:WUR-POS-IDENTITY;EXPOSED_POPULATION:WUR-SEALED
AAWZDTNXLSGCEK,C1CCCCC1,False,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1
AAYKKWVXFFYZTJ,c1ccc(-c2nc3ccccc3[nH]2)cc1,True,SCAFFOLD_GROUP_EXCLUDED
AAYYFZIKKOGURD,O=S(=O)(c1csc(-c2cc[nH]n2)c1)N1CC=C(c2ccccc2)CC1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ABACVOXFUHDKNZ,c1ccc(-c2cccn2-c2ccccc2)cc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABAOVZSDPNRFSH,c1cnc(N2CCN(c3nccn4nc(C5CC5)cc34)CC2)nc1,False,HEADER_READ_WELL_STUDY1
ABAUQTFGZFERHJ,O=C1CC(c2nc(-c3ccccc3)no2)CN1c1ccc2c(c1)OCCO2,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABBAAUVWZONDMO,O=C(NCC1(c2ccccc2)CCCC1)c1ccccc1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ABBVAMUCDQETDO,O=C1CCNCC1,True,SCAFFOLD_GROUP_EXCLUDED
ABCGFHPGHXSVKI,C1=Cc2nc1c(-c1cc[nH+]cc1)c1nc(c(-c3cc[nH+]cc3)c3ccc([nH]3)c(-c3cc[nH+]cc3)c3ccc([nH]3)c2-c2cc[nH+]cc2)C=C1,False,HEADER_READ_WELL_STUDY1
ABDKAPXRBAPSQN,c1ccccc1,False,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1
ABEBRXHVBGVMII,O=C(c1ccccc1)N1CCCC(COc2ccccn2)C1,True,SCAFFOLD_GROUP_EXCLUDED
ABFVFIZSXKRBRL,O=C1CC(c2ccccc2)Oc2ccccc21,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABGOSOMRWSYAOB,c1ccc2c(-c3ccncc3)nnc(NC3CCCC3)c2c1,True,DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABGPUQXRCXUIFE,c1ccc2ncc(-c3nnc4cnc5ccccc5n34)cc2c1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABHHIGWFFMCQOC,O=C1CCC(=O)NCCCCCNC(=O)CCC(=O)NCCCCCNC(=O)CCC(=O)NCCCCCN1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ABHPWDORHHCHDL,O=C(NCCN1CCN(c2ccccc2)CC1)c1cc2c(=O)[nH]ccn2n1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABHSTJRFIMIPSW,O=C(Nc1cccc2cccnc12)c1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABJKWBDEJIDSJZ,c1ccc(CNCc2cccc3ccccc23)cc1,True,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;DECODED_SAME_WELL_ION_0p7;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABJOCPBDVGJFLG,O=C1C=C(c2ccccc2)C(Cc2ccccc2)O1,True,SCAFFOLD_GROUP_EXCLUDED
ABKBDMPNGBOCLQ,O=C1CC(C(=O)NCc2cncs2)CCN1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABKCFISXPHPMMD,O=c1[nH]c(-c2ccccc2)nc2oc3ccccc3c(=O)c12,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABKCKTZJSCRJQJ,O=C(c1ccccc1)N1CCCC2(CCOCC2)C1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABKJCDILEUEJSH,c1ccccc1,False,DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1
ABLZXFCXXLZCGV,,False,EXPOSED_POPULATION:WUR-NEG-DEV
ABMLKKCDLVXVDG,O=C(Cc1c[nH]c2ccccc12)N1CC(N2CC3CCCC3C2)C1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ABMUNUSXKYUURV,c1ccc(CNc2nc3ccccc3s2)nc1,True,SCAFFOLD_GROUP_EXCLUDED
ABNUOTJZDQDNBK,O=C(NC1CC1)C(c1ccccc1)N1CCC(N2CCCC2)C1,False,HEADER_READ_WELL_STUDY1
ABOJUMOHOUTFOR,c1ccc(CNCc2ccncc2)cc1,True,SCAFFOLD_GROUP_EXCLUDED
ABOOPXYCKNFDNJ,,False,EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION;EXPOSED_POPULATION:WUR-NEG-D6-EXCLUDED;EXPOSED_POPULATION:WUR-POS-IDENTITY;EXPOSED_POPULATION:WUR-SEALED
ABOPTWOWDLNBOE,O=c1ccc2cc(COC3CCCCO3)ccc2o1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ABPZGPXYDKINAU,S=C1NC=CC(c2ccccc2)N1,True,SCAFFOLD_GROUP_EXCLUDED
ABQYNGFPMBXNJC,O=C(Nc1ccccc1)N1CCN(Cc2nc(-c3cccs3)cs2)CC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABRISPFTOZIXMP,c1ccc2n[nH]cc2c1,True,SCAFFOLD_GROUP_EXCLUDED
ABRULANJVVJLFI,O=c1cc(-c2ccccc2)oc2ccc(C3CCCCO3)cc12,True,SCAFFOLD_GROUP_EXCLUDED
ABSKTKWHYYZMMT,O=C(NCCc1ccsc1)Nc1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABSZDLFPZYSNMZ,O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1ccccc1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ABTMPEWWLNFYJP,O=C(C1CCCN(c2nc3cccnc3[nH]2)C1)N1CCSCC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABUPYBBLLDSUMF,c1cn[nH]c1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABVDJKDAAWCYKH,c1ccc(OC2CCCCO2)cc1,False,HEADER_READ_WELL_STUDY1
ABXDBVMGRKZFRC,O=c1nc[nH]c2c1ncn2C1CCCO1,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ABZFPJRBPBCZTN,O=S1(=O)CCC(CN2CCN(c3ccccc3)CC2)C1,False,HEADER_READ_WELL_STUDY1
ACAAARRHTVKSKR,O=C(c1ccccc1-n1cccc1)N1CCC=N1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACAAVKGSTVOIQB,O=C1C(=Cc2ccccc2)Oc2ccccc21,True,SCAFFOLD_GROUP_EXCLUDED
ACAKNPKRLPMONU,O=C(NCCc1c[nH]c2ccccc12)c1cccs1,False,DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1
ACBIVSGMHXXZHJ,O=C1CC(NCc2ccccc2)C(=O)N1c1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACCFLVVUVBJNGT,O=c1[nH]c2cnc3ccc(-c4cccnc4)cc3c2[nH]1,False,DECODED_SAME_PLATE_EXTENDED_ION_5PPM;HEADER_READ_WELL_STUDY1
ACCMWZWAEFYUGZ,c1ccc(CCN2CCC(c3nc4ccccc4[nH]3)CC2)cc1,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ACCRKQWGKXZJPM,O=C1CCCN1c1ccccc1,True,SCAFFOLD_GROUP_EXCLUDED
ACCRQIAOUWGZJF,O=C1C=CC(c2ccccc2)N1CCN1CCOCC1,False,HEADER_READ_WELL_STUDY1
ACDLFRQZDTZESK,O=C(NCc1ccccc1)c1ccccc1,False,HEADER_READ_WELL_STUDY1
ACEJLQCTYCBBDL,O=C(Oc1ccccc1)c1ccco1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACEKLXZRZOWKRY,,False,EXPOSED_POPULATION:WUR-NEG-DEV
ACEWLPOYLGNNHV,O=C(Cc1ccccc1)OCc1ccccn1,True,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;DECODED_SAME_WELL_ION_0p7;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACFIXJIJDZMPPO,O=[PH](OCC1CCC(N2C=CCC=C2)O1)O[PH](=O)OCC1CCC(n2cnc3cncnc32)O1,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACFSCJZUZVOFCN,O=S(=O)(Nc1ccccc1)c1cc[nH]c1,False,HEADER_READ_WELL_STUDY1
ACGDKVXYNVEAGU,C1CCCNCCC1,True,COPLATED_IN_DECODED_WELL;DECODED_SAME_WELL_ION_0p7;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACGHJVZDNQZJOV,O=C1C2Cc3c4n(c5ccccc35)COOCCC4N2C(=O)C2CCCN12,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACGPKIHTJATAMX,,False,EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION;EXPOSED_POPULATION:WUR-DEV-HOLD;EXPOSED_POPULATION:WUR-POS-IDENTITY
ACGPSJNQVVFEGB,O=C(Nc1cnc2oc(-c3ccccc3)nc2c1)c1ccoc1,True,DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
ACGUYXCXAPNIKK,,False,EXPOSED_POPULATION:LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;EXPOSED_POPULATION:LCSB-NEG;EXPOSED_POPULATION:WUR-NEG-D6-EXCLUDED
ACGWJBZGTSSLID,O=C(NCc1ccc(OC2CCCC2)cc1)N1CCC(N2CCOCC2)C1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACIJGUBIMXQCMF,__ACYCLIC__ACIJGUBIMXQCMF,True,DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ACISVJYCTXTNEU,O=C(c1cnccn1)N1CCCCC1c1nncn1CC1CC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACJJCESCDWZALG,c1ccc2[nH]c(Cc3c[nH]c4ccccc34)nc2c1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACJWOZHEDYXREA,O=C(CCc1ccccc1)N1C2C=CCC1CC2,False,HEADER_READ_WELL_STUDY1
ACKGPXAGBGOMDC,O=C(c1ccccc1)N1CCCC1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ACLOLICRBMXVEG,O=C(Nc1ccccn1)c1ccc2c(c1)OCO2,False,HEADER_READ_WELL_STUDY1
ACLRKOPAEXVBEP,O=C(NCCc1ccccc1)N1CCc2ccccc2C1c1ccccc1,False,HEADER_READ_WELL_STUDY1
ACLUEOBQFRYTQS,O=C(Nc1cc2c(s1)CCCC2)c1ccco1,True,DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACMHOWPLWQGCSA,O=C(NC1CCS(=O)(=O)C1)N1CCC(Cc2ccccc2)CC1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ACMOLWIRQARMJK,O=C(c1ccc(-c2csnn2)cc1)N1CCCC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACMXQHFNODYQAT,,False,EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION;EXPOSED_POPULATION:WUR-POS-IDENTITY;EXPOSED_POPULATION:WUR-SEALED
ACNGTJSRIRKXED,O=C(NCc1cncc(-c2ccsc2)c1)c1ccccc1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ACNHBCIZLNNLRS,O=C1C=C2C(CCC3C2CCC2Cc4c([nH]c5ccccc45)C23)OC1,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACPDIIJQNMFHOK,O=C(Nc1ccccc1)c1cccc(C(=O)Nc2ccccc2)c1,True,SCAFFOLD_GROUP_EXCLUDED
ACPIBRJMZCTLRG,O=C(Nc1ccc2c(c1)COC2)c1coc(C2CCOCC2)n1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACPOUJIDANTYHO,O=C1c2ccccc2-c2n[nH]c3cccc1c23,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ACPQPGGYZFTHGA,c1ccc(-c2nc(-c3ccc(-n4cccn4)nc3)no2)cc1,True,SCAFFOLD_GROUP_EXCLUDED
ACQBHJXEAYTHCY,O=C(c1ccc(OCCCc2cnc[nH]2)cc1)C1CC1,True,DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
ACRDPZBVMXMIBY,O=C(NC1CCC(Oc2ccccn2)CC1)c1cnns1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ACRHBAYQBXXRTO,O=C1Cc2ccccc2CCN1CCCNCC1Cc2ccccc21,True,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;DECODED_SAME_WELL_ION_0p7;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACRIYYKEWCXQOS,O=c1cc(-c2ccccc2)oc2ccc(C3OCCCC3OC3CCCCO3)cc12,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACRPUNKAESEFRM,O=c1[nH]c2ccccc2[nH]c1=O,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACSBMRVJXOQJQX,O=C(NCCn1ccc(-c2cccs2)n1)c1ccoc1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
ACSQLTBPYZSGBA,c1c[nH+]cc(-n2ncc3c2C2CC2C3)n1,True,DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACTFHESERZGHMQ,c1ccc(OCc2nc(-c3cccnc3)no2)cc1,True,SCAFFOLD_GROUP_EXCLUDED
ACTOXUHEUCPTEW,O=C1CCCC(OC2CCC(OC3CCCCO3)CO2)CCCC(OC2CCCCO2)C=CC=CCCO1,True,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACTRVOBWPAIOHC,__ACYCLIC__ACTRVOBWPAIOHC,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACVARNQZDARUBB,O=C(NCc1cc(-c2ccco2)[nH]n1)C1CC(=O)N(c2ccccc2)C1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACVGNKYJVGNLIL,N=c1ccc(-c2ccccc2)n[nH]1,True,DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
ACVGWSKVRYFWRP,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,True,DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACVKFJJSEWGLFI,O=C(NCCc1c[nH]c2ccccc12)NC1CCCCC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACWBBAGYTKWBCD,c1ccccc1,False,DECODED_SAME_PLATE_ION_0p01
ACWBQPMHZXGDFX,c1ccc(-c2ccccc2-c2nn[nH]n2)cc1,False,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;DECODED_SAME_WELL_ION_0p7;EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION;EXPOSED_POPULATION:WUR-NEG-D6-EXCLUDED;EXPOSED_POPULATION:WUR-POS-IDENTITY;EXPOSED_POPULATION:WUR-SEALED;HEADER_READ_WELL_STUDY1;MSNLIB_ANCHOR_CENSUS_DESIGN;MSNLIB_ANCHOR_CENSUS_DETECTED;MSNLIB_ANCHOR_GATE_CALIBRATION;MULTIMS2_ANCHOR_CALIBRATION
ACWCANXGLNLMJB,c1ncc2nc[nH]c2n1,True,DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
ACWKGTGIJRCOOM,c1ccc(Nc2ncnc(-c3ccccc3)n2)cc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
ACWOMSOYIIVIRV,O=C1Nc2cnc(Nc3ccc(C(=O)N4CCC(N5CCNCC5)CC4)cc3)nc2Nc2ccccc21,True,SCAFFOLD_GROUP_EXCLUDED
ACWVUVIRXSVEKE,O=C(Nc1ccccc1)C1CCN(S(=O)(=O)c2ccc3[nH]c(=O)ccc3c2)CC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
