key,scaffold_group_census,in_design12b,reasons
KXKCDXLPXCCBJT,O=C1CCc2cc(NS(=O)(=O)c3ccccc3)ccc2N1Cc1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KXKPYJOVDUMHGS,C1CCC(OC2CCOCC2)OC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KXMTXZACPVCDMH,c1cc2c(c(-c3cccc4c3OCO4)c1)OCO2,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KXMXVCXZBXXOEN,c1ccc(CNCCCn2ccnc2)cc1,False,HEADER_READ_WELL_STUDY1
KXMZDGSRSGHMMK,c1ccc2c(c1)CCCc1cc(-n3cnc(Nc4ccc5c(c4)CCC(N4CCCC4)CC5)n3)nnc1-2,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KXNBWJUWZRKVDR,O=C(NCc1ccc2c(c1)OCO2)c1ccc2c(c1)NC(=O)c1ccccc1O2,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
KXNIWXTYILEWFC,O=C(NC1CCN(c2ccccc2)CC1)N1CCCC1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
KXNYCALHDXGJSF,O=C1C2=C(OCC2)C(=O)c2c1ccc1ccccc21,True,DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
KXOULRSFQGVJFR,O=C(Cn1nnc(-c2ccccc2)n1)N1CCCC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KXOVSLMYWYSTAR,c1ccc2c(c1)CCCO2,True,SCAFFOLD_GROUP_EXCLUDED
KXPTYRARSXVRLU,O=C(NC(=S)Nc1nc(-c2ccccc2)cs1)C1CCC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KXPUBGLGWRCVAE,c1ccc(-c2ccco2)cc1,True,SCAFFOLD_GROUP_EXCLUDED
KXPZNMQARYZTSY,c1ccc2oc(-c3nnc4sc(CN5CCCCCC5)nn34)cc2c1,True,DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
KXQCJZMINVEAEU,O=C(NCc1ccccc1)N1CC2CN(S(=O)(=O)c3ccccc3)CC(C1)O2,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KXQCLUVGUFSBBY,c1ccc(CNCCCn2ccnc2)cc1,False,HEADER_READ_WELL_STUDY1
KXQLYGYNJIAGNF,O=C(Cn1nnnc1-c1ccccc1)N1CCNCC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KXRZBTAEDBELFD,O=S(=O)(Nc1cnccn1)c1ccccc1,True,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
KXSNMBPYLXBZNL,O=C(CCc1ccccc1)Nc1ccon1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KXSOUIKZMJRRKL,O=C(C=Cc1ccccc1)OC1CCCCC1OC(=O)C=Cc1ccccc1,True,SCAFFOLD_GROUP_EXCLUDED
KXTCAXDPNHRBKB,c1ccc(OCc2nc(-c3cnon3)no2)cc1,True,SCAFFOLD_GROUP_EXCLUDED
KXUMNEWSLYWWIA,C=C1CC2C(=O)Nc3ccccc3C(=O)N2C1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KXUZSZSFOVIPKD,O=c1cc(N2CC3CN(c4nccn5nccc45)CC3C2)[nH]c(=O)[nH]1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KXVAOSVMOONRFR,O=C(CCn1[nH]c(=O)c2ccccc2c1=O)OC1CCCCC1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
KXVPDMBZGFUKET,O=C(c1ccccc1)N1CCOCC1,True,SCAFFOLD_GROUP_EXCLUDED
KXWAEKDUAFVAQO,O=S(=O)(c1c[nH]cn1)N1CCOc2ccccc21,False,HEADER_READ_WELL_STUDY1
KXWWYFKVBFUVIZ,c1ccc(N(c2ccccc2)c2ccccc2)cc1,True,DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
KXXJGDUVKQUUNZ,O=C(Cn1cccc1)Nc1cnc2ccccc2c1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KXXZLMLLYMPYJE,c1ccc(Oc2ccccc2)cc1,False,HEADER_READ_WELL_STUDY1
KXYVKKMKSMVGKC,c1cc(N2CCN(c3ccc4nncn4n3)CC2)ncn1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
KXYVTOYVDWKHLD,O=C(NCCc1ccccc1)c1cccc2ccccc12,True,SCAFFOLD_GROUP_EXCLUDED
KXZUMPRITQOCRQ,O=C(c1ccccc1)N1CC(Oc2ccncc2)C1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYAKCEFHQBQOIA,c1ccc(CN2CCCCC2)cc1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
KYAZYFGDCUHBOT,O=S1(=O)CCC(NCc2cnc(-c3ccccc3)o2)C1,False,HEADER_READ_WELL_STUDY1
KYBIHDFUPOSVDG,O=C(NCc1noc(-c2ccccc2)n1)c1ccc(-c2ncon2)cc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
