usi,filepath,dataset,collection,is_update,update_name,create_time,size,size_mb,sample_type,spectra_ms1,spectra_ms2,instrument_vendor,instrument_model,file_processed
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE30_508.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE30_508.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:01:58.436000,90811269,86,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_499.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_499.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:01:58.871000,93657592,89,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_501.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_501.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:01:59.295000,93036177,88,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_502.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_502.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:01:59.698000,94210349,89,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_503.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_503.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:00.068000,92574902,88,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_504.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_504.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:00.492000,92025051,87,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_505.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_505.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:00.928000,90444647,86,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_506.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_506.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:01.303000,89888343,85,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_507.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_507.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:01.682000,91321749,87,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_508.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE45_508.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:02.083000,90447712,86,GNPS,0,0,,,No
