record_id,compound_id,scaffold_group,nce,model,mapping,cosine,js,drop_reason
MSBNK-EAWAG-EC001506__ICEBERG_2_1__K3,MPGIDXBHXRMMSY,C1=NNOCC1,50,ICEBERG_2_1,K3,0.029923267948145173,0.08085363791122768,
MSBNK-EAWAG-EC001506__GLACIER__K1,MPGIDXBHXRMMSY,C1=NNOCC1,50,GLACIER,K1,0.7253810156160966,0.5294459120294019,
MSBNK-EAWAG-EC001506__GLACIER__K2,MPGIDXBHXRMMSY,C1=NNOCC1,50,GLACIER,K2,0.29618602110228287,0.3273189423480286,
MSBNK-EAWAG-EC001506__GLACIER__K3,MPGIDXBHXRMMSY,C1=NNOCC1,50,GLACIER,K3,0.1448975005958973,0.26542202832459894,
MSBNK-EAWAG-EC001507__ICEBERG_2_1__K1,MPGIDXBHXRMMSY,C1=NNOCC1,60,ICEBERG_2_1,K1,0.05497973304501314,0.16252380865524896,
MSBNK-EAWAG-EC001507__ICEBERG_2_1__K2,MPGIDXBHXRMMSY,C1=NNOCC1,60,ICEBERG_2_1,K2,0.028986959988623117,0.0864738492880508,
MSBNK-EAWAG-EC001507__ICEBERG_2_1__K3,MPGIDXBHXRMMSY,C1=NNOCC1,60,ICEBERG_2_1,K3,0.022203150030319235,0.05278078960361132,
MSBNK-EAWAG-EC001507__GLACIER__K1,MPGIDXBHXRMMSY,C1=NNOCC1,60,GLACIER,K1,0.8109177192598526,0.5782102974113321,
MSBNK-EAWAG-EC001507__GLACIER__K2,MPGIDXBHXRMMSY,C1=NNOCC1,60,GLACIER,K2,0.3109122965634931,0.3628663619419513,
MSBNK-EAWAG-EC001507__GLACIER__K3,MPGIDXBHXRMMSY,C1=NNOCC1,60,GLACIER,K3,0.525828078882132,0.46296358156366735,
MSBNK-EAWAG-EC013701__ICEBERG_2_1__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,15,ICEBERG_2_1,K1,0.3828841209369642,0.5144925097023731,
MSBNK-EAWAG-EC013701__ICEBERG_2_1__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,15,ICEBERG_2_1,K2,0.42204928482660714,0.5502169454914303,
MSBNK-EAWAG-EC013701__ICEBERG_2_1__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,15,ICEBERG_2_1,K3,0.43091086804548917,0.5605297474054125,
